county,pov,moe
Hancock,26.298994519484275,11.3
Bledsoe,26.099012315599595,11.1
Pickett,25.331652210399223,19.3
Sequatchie,24.499154684522175,9.5
Lake,20.802446733349317,10.6
Johnson,20.731725540304772,10.5
DeKalb,20.221697051579575,9.700000000000001
Unicoi,20.219745220720426,10
Fentress,19.711272917710737,8.9
Haywood,19.493063671722723,8.3
Cocke,19.342758528935363,8
Morgan,19.102665969521237,7.6
Perry,19.077057521138812,12.3
Lewis,18.943748029295584,11.600000000000001
Crockett,18.589542435331214,6.800000000000001
Scott,18.48390415844618,6.4
Decatur,18.48366852456016,9.3
Henry,18.3097050199589,6.199999999999999
Jackson,18.27922917222404,8.600000000000001
Weakley,18.158366404813087,6
Carter,18.034288048094087,5.699999999999999
Warren,17.983635016234047,5.699999999999999
Grainger,17.96689190215744,5.699999999999999
Hardin,17.730519480873554,6.7
Union,17.261996743476658,8.5
Hawkins,17.257147509332782,4.300000000000001
Madison,17.25463304109929,4.2
Hardeman,17.12293283855751,7.3
Wayne,17.02605720348797,6.5
Lauderdale,16.9190879468464,6.7
Carroll,16.119004720603396,6.4
Chester,16.089334673642732,6.999999999999999
Sullivan,15.995983893218321,3.8
Marshall,15.963244226508333,6.599999999999999
Hamblen,15.878462496877646,4.6
Loudon,15.827371822817046,6.999999999999999
Greene,15.712470983766213,5.2
Shelby,15.690094968077295,1.3
Coffee,15.606792389643608,4.7
Rhea,15.563859195685867,6.199999999999999
White,15.521042227949325,6.599999999999999
Benton,15.506253581358525,6.9
Macon,15.459628490191669,7.500000000000001
Hickman,15.323209172530397,7.6
Campbell,15.29890150674814,5.3
Trousdale,15.199264251450332,11.5
Grundy,15.07627720489258,6.3
Franklin,14.857710923855599,5.2
Cannon,14.82870568280239,7.8
Marion,14.620235779036186,6.5
Monroe,14.571062048430456,5.2
Henderson,14.317591370351884,6.5
Clay,14.268109741811383,8
Bedford,14.250052694320075,5.3
Claiborne,14.188497916280518,5.500000000000001
Overton,13.878958698702787,6.3
Smith,13.513377807476786,5.9
Fayette,13.19791124094159,5.599999999999999
Putnam,13.150793750325382,3.8
Van Buren,13.113340957269651,9.4
Obion,12.969085258025318,4.7
Lawrence,12.679301279562768,4.1000000000000005
McMinn,12.567547237095303,4.9
Humphreys,12.484159666632303,5.599999999999999
Sevier,12.327859893848485,3.5999999999999996
Davidson,12.171320650771229,1.7000000000000002
Anderson,11.880093167426775,4.2
Roane,11.617190318889454,5.3
McNairy,11.590851484000014,4.9
Stewart,11.583959337865297,7.3
Giles,11.292160460316417,4.2
Meigs,11.291832323294537,7.1
Jefferson,10.979409096996143,4.8
Polk,10.975594778638573,5.2
Washington,10.945870485118373,3.4999999999999996
Dyer,10.5761084090512,5.3
Gibson,10.515577773579235,4
Bradley,10.230834422755626,3.2999999999999994
Hamilton,9.943141250013616,2
Tipton,9.917928751303325,4.1000000000000005
Houston,9.566028469090119,6.800000000000001
Lincoln,9.278932896834007,4.6
Montgomery,9.166672078427263,2.3
Cumberland,8.610294568526525,3.0999999999999996
Dickson,8.439991396685583,4.1000000000000005
Robertson,8.264610020016077,3
Knox,8.08192066278925,1.5
Sumner,7.829624180666385,2.3
Maury,7.365201126159486,2.4
Rutherford,6.965147084345487,1.6
Blount,6.85321250600523,2
Cheatham,6.690210356863457,3.4999999999999996
Wilson,6.617116859380181,2
Moore,6.602474909533019,4.8
Williamson,5.30459206215062,0.8
