county,pov,moe
Anderson,23.5,5.4
Andrews,13.2,7.7
Angelina,22.5,4.0
Aransas,29.9,10.2
Archer,20.6,5.9
Armstrong,5.0,5.4
Atascosa,17.2,4.3
Austin,14.5,4.1
Bailey,15.1,16.2
Bandera,20.2,8.8
Bastrop,19.0,4.8
Baylor,7.6,3.9
Bee,27.0,6.8
Bell,21.1,2.3
Bexar,21.4,1.0
Blanco,15.2,8.3
Borden,0.0,19.0
Bosque,17.1,4.4
Bowie,22.8,3.4
Brazoria,8.9,1.2
Brazos,20.7,3.0
Brewster,13.3,10.5
Briscoe,6.4,7.6
Brooks,41.0,20.0
Brown,18.2,4.5
Burleson,16.7,6.8
Burnet,10.1,3.4
Caldwell,18.5,5.2
Calhoun,10.8,5.4
Callahan,11.6,4.7
Cameron,36.5,2.0
Camp,27.8,9.3
Carson,11.1,9.7
Cass,29.0,5.7
Castro,14.6,7.6
Chambers,18.5,5.3
Cherokee,22.4,4.4
Childress,12.4,9.6
Clay,8.6,3.7
Cochran,31.0,11.1
Coke,10.6,8.3
Coleman,23.1,13.0
Collin,7.0,0.7
Collingsworth,23.9,11.2
Colorado,6.8,3.4
Comal,5.1,1.9
Comanche,19.2,7.7
Concho,38.1,20.2
Cooke,24.3,5.2
Coryell,12.7,2.9
Cottle,38.0,18.9
Crane,0.0,4.1
Crockett,0.0,9.0
Crosby,39.7,9.2
Culberson,66.6,31.3
Dallam,11.4,9.4
Dallas,20.7,0.7
Dawson,32.2,10.0
Deaf Smith,22.2,9.5
Delta,18.7,7.5
Denton,8.4,0.9
DeWitt,18.7,6.2
Dickens,7.0,6.2
Dimmit,57.9,16.0
Donley,12.4,11.3
Duval,31.4,14.3
Eastland,16.6,5.5
Ector,23.0,3.7
Edwards,38.5,33.2
Ellis,12.7,2.4
El Paso,26.6,1.5
Erath,15.5,5.6
Falls,18.1,6.1
Fannin,13.5,4.0
Fayette,12.6,4.6
Fisher,17.6,7.6
Floyd,18.6,9.0
Foard,53.1,16.5
Fort Bend,8.4,1.1
Franklin,11.9,7.7
Freestone,12.9,6.5
Frio,34.3,13.9
Gaines,13.8,5.5
Galveston,13.7,1.6
Garza,25.9,12.3
Gillespie,12.2,5.3
Glasscock,4.9,7.3
Goliad,6.0,3.4
Gonzales,15.6,4.8
Gray,21.3,5.8
Grayson,15.8,2.7
Gregg,23.7,3.4
Grimes,20.5,6.6
Guadalupe,11.7,2.5
Hale,24.8,6.1
Hall,28.6,10.0
Hamilton,14.7,7.1
Hansford,11.3,7.2
Hardeman,12.9,9.2
Hardin,15.3,3.8
Harris,23.2,0.7
Harrison,24.4,5.0
Hartley,8.0,6.5
Haskell,11.8,5.0
Hays,11.4,2.4
Hemphill,11.7,11.8
Henderson,23.1,4.1
Hidalgo,37.9,1.7
Hill,19.2,3.9
Hockley,18.4,4.6
Hood,11.5,3.2
Hopkins,17.2,3.8
Houston,23.4,5.8
Howard,15.7,4.4
Hudspeth,26.3,16.7
Hunt,16.7,3.3
Hutchinson,15.6,5.0
Irion,5.2,6.7
Jack,22.5,9.6
Jackson,12.9,7.5
Jasper,33.2,7.0
Jeff Davis,43.6,43.8
Jefferson,26.6,2.5
Jim Hogg,46.1,16.4
Jim Wells,36.1,6.9
Johnson,13.9,2.7
Jones,10.6,4.4
Karnes,34.2,10.7
Kaufman,12.1,1.9
Kendall,6.6,2.6
Kenedy,0.0,69.5
Kent,0.0,28.7
Kerr,16.4,4.0
Kimble,13.8,8.2
King,13.7,24.8
Kinney,46.4,30.2
Kleberg,42.6,9.0
Knox,11.9,7.5
Lamar,23.0,4.0
Lamb,20.1,8.2
Lampasas,9.5,3.9
La Salle,35.1,15.5
Lavaca,14.6,4.7
Lee,13.6,6.5
Leon,19.3,6.0
Liberty,23.7,4.9
Limestone,32.2,6.4
Lipscomb,18.2,5.9
Live Oak,27.9,10.5
Llano,22.3,7.6
Loving,0.0,69.5
Lubbock,17.8,1.7
Lynn,29.5,9.2
McCulloch,12.7,7.8
McLennan,22.4,2.2
McMullen,18.5,20.6
Madison,13.3,5.0
Marion,25.3,11.7
Martin,26.1,10.2
Mason,0.0,5.5
Matagorda,32.2,7.6
Maverick,31.4,6.6
Medina,16.8,4.8
Menard,18.8,16.4
Midland,13.5,3.1
Milam,20.4,7.6
Mills,6.5,4.6
Mitchell,6.3,8.0
Montague,18.2,7.3
Montgomery,11.6,1.2
Moore,16.8,5.8
Morris,19.1,8.1
Motley,6.5,6.0
Nacogdoches,27.2,3.8
Navarro,21.8,4.4
Newton,36.2,7.9
Nolan,13.7,4.1
Nueces,25.1,2.3
Ochiltree,14.6,7.8
Oldham,18.4,9.4
Orange,16.4,3.1
Palo Pinto,19.5,5.4
Panola,23.6,6.8
Parker,8.8,2.1
Parmer,10.7,5.5
Pecos,38.5,13.9
Polk,26.3,3.9
Potter,28.9,3.8
Presidio,68.9,23.5
Rains,12.4,7.0
Randall,10.9,2.3
Reagan,7.0,6.0
Real,38.4,22.5
Red River,27.4,6.1
Reeves,31.8,13.2
Refugio,25.5,10.7
Roberts,20.7,20.6
Robertson,16.2,6.0
Rockwall,4.9,1.5
Runnels,15.2,7.2
Rusk,20.6,5.0
Sabine,19.1,7.5
San Augustine,36.6,13.4
San Jacinto,24.6,7.5
San Patricio,22.7,3.9
San Saba,24.4,9.0
Schleicher,16.6,10.9
Scurry,14.4,7.2
Shackelford,12.7,12.6
Shelby,34.8,6.2
Sherman,15.5,15.1
Smith,17.3,2.3
Somervell,6.2,5.4
Starr,42.8,5.7
Stephens,25.0,9.2
Sterling,0.0,9.8
Stonewall,6.0,6.7
Sutton,23.1,16.2
Swisher,39.8,14.5
Tarrant,15.7,0.9
Taylor,17.6,2.5
Terrell,0.0,35.0
Terry,37.4,9.9
Throckmorton,31.4,17.2
Titus,27.1,5.3
Tom Green,15.8,3.5
Travis,14.1,1.3
Trinity,22.3,7.7
Tyler,30.9,8.2
Upshur,16.6,4.3
Upton,27.9,15.7
Uvalde,33.9,7.9
Val Verde,17.5,4.2
Van Zandt,17.1,3.6
Victoria,22.3,4.3
Walker,24.4,4.5
Waller,13.0,3.2
Ward,18.8,7.4
Washington,14.5,4.7
Webb,28.5,2.6
Wharton,18.0,5.1
Wheeler,24.5,10.8
Wichita,20.6,4.0
Wilbarger,26.7,7.7
Willacy,32.0,7.0
Williamson,6.9,0.9
Wilson,12.0,4.8
Winkler,19.0,9.2
Wise,11.9,3.9
Wood,14.6,4.2
Yoakum,20.3,11.0
Young,26.7,12.6
Zapata,53.4,9.8
Zavala,54.3,12.2
