county,pov,moe
Jeff Davis,44.99697918359738,43.8
Edwards,40.84457684360665,33.2
Culberson,39.39453738695806,31.300000000000004
Kinney,38.51633937869436,30.2
Presidio,33.31787950778001,23.5
Real,32.50792274188096,22.499999999999996
Concho,30.715166310328968,20.2
Brooks,30.566900348485966,20
Cottle,29.701169316517923,18.9
Roberts,29.016422423870697,20.6
Throckmorton,28.3098275436583,17.200000000000003
Foard,27.8439475113304,16.499999999999996
Jim Hogg,27.765262832180536,16.400000000000002
Hudspeth,27.734791997306534,16.7
Dimmit,27.47493923933958,16
Upton,27.074689935902914,15.7
La Salle,27.039463319476457,15.5
Sutton,26.78979617634374,16.2
Swisher,26.28190380031812,14.499999999999998
McMullen,26.24193167427688,20.6
Duval,26.067252184940386,14.299999999999999
Pecos,25.81159697868458,13.899999999999999
Frio,25.789086220192626,13.899999999999999
San Augustine,25.413494762505856,13.4
Reeves,25.216920920812765,13.199999999999998
Young,24.608103539577055,12.6
Zavala,24.494466231450808,12.200000000000001
Coleman,24.43862885484796,13
Menard,24.41537588984402,16.400000000000002
Garza,24.30279530578683,12.3
Marion,23.812610306598838,11.700000000000001
Cochran,23.56720225776405,11.1
Karnes,23.296677239754473,10.7
Collingsworth,23.250077849887187,11.199999999999998
Refugio,23.05780401720229,10.7
Live Oak,23.054346660587335,10.5
Wheeler,23.041578168818553,10.8
Aransas,22.858365188031776,10.2
Dawson,22.743689106640517,10
Martin,22.69892396966052,10.2
Terry,22.69018243970087,9.9
Hall,22.680178536014942,10
Zapata,22.624577439960873,9.8
Crosby,22.152895930732512,9.2
Camp,22.110450386051266,9.3
Lynn,22.077042911770427,9.2
Kleberg,21.999134411593307,9
Stephens,21.862690944300176,9.2
Yoakum,21.67467651008583,11.000000000000002
San Saba,21.629048108792258,9
Jack,21.622365881332808,9.6
Deaf Smith,21.313066369284677,9.5
Tyler,21.310782165797594,8.200000000000001
Newton,21.128396139609926,7.9
Uvalde,21.115878244041188,7.9
Matagorda,20.871386018354134,7.6
Wilbarger,20.832730042035166,7.7
San Jacinto,20.529261974509264,7.500000000000001
Jasper,20.413294329123268,6.999999999999999
Willacy,20.401808153846783,6.999999999999999
Jim Wells,20.348303095614128,6.9
Bee,20.145512629101738,6.800000000000001
Maverick,20.080630132920547,6.599999999999999
Trinity,20.06284002657796,7.7
Bandera,20.0448892073866,8.8
Llano,20.025578362549155,7.6
Limestone,19.94134097691062,6.4
Panola,19.83805831477125,6.800000000000001
Shelby,19.79984364460414,6.199999999999999
Red River,19.626201101041183,6.1000000000000005
Winkler,19.62594201454327,9.2
Lamb,19.553668690109358,8.200000000000001
Hale,19.4698066320369,6.1000000000000005
Starr,19.429008510015176,5.699999999999999
Cass,19.356506453465556,5.699999999999999
Milam,19.31813068319191,7.6
Morris,19.12122902485609,8.1
Houston,19.037736565875836,5.800000000000001
Floyd,19.015358498439365,9
Comanche,18.99372778573117,7.7
Titus,18.993326877027037,5.3
Anderson,18.75471234126994,5.4
Oldham,18.72790371518075,9.4
Cooke,18.69247324029813,5.2
Grimes,18.66103564009773,6.599999999999999
Sabine,18.629333035724756,7.500000000000001
Harrison,18.585460937602537,5
Gray,18.465483967765646,5.800000000000001
Liberty,18.412561338386748,4.9
Archer,18.313738000416436,5.9
Ward,18.229341625559307,7.400000000000001
Delta,18.20747507057242,7.500000000000001
Walker,18.173723536696656,4.5
Potter,17.878082208598432,3.8
Leon,17.874668286291843,6
Polk,17.85578460644661,3.9
Nacogdoches,17.839845432746728,3.8
Cherokee,17.710016917435624,4.4
Henderson,17.68742470784581,4.1000000000000005
Rusk,17.615685453356157,5
Lamar,17.54354588377894,4
Palo Pinto,17.517093019676928,5.4
Navarro,17.5144426676847,4.4
Victoria,17.510240179775124,4.300000000000001
Angelina,17.467348291073932,4
San Patricio,17.418720330473906,3.9
Ector,17.34127348078006,3.7000000000000006
Gregg,17.287843691837608,3.4000000000000004
DeWitt,17.249000835411994,6.199999999999999
Bowie,17.068659075646217,3.4000000000000004
Montague,17.042597006871098,7.3
Webb,16.938331785109735,2.6
Wichita,16.84826305433383,4
Jefferson,16.793051500931565,2.5
Fisher,16.733613043365754,7.6
Bastrop,16.70132809583983,4.8
Nueces,16.576249252791946,2.3
Cameron,16.537083159011576,2
Schleicher,16.527594443265613,10.900000000000002
Caldwell,16.409109049748423,5.2
Chambers,16.384345183558597,5.3
Brazos,16.339513079475086,3
Hidalgo,16.306748110009437,1.7000000000000002
Hill,16.282423454840757,3.9
Lipscomb,16.27293510731702,5.9
Falls,16.177177702698177,6.1000000000000005
McLennan,16.043266540677166,2.2
El Paso,16.028739620985256,1.5
Bell,15.865867995730785,2.3
Sherman,15.864158674737025,15.1
Hockley,15.743434885962259,4.6
Brown,15.48726261764972,4.5
Wharton,15.444492584009422,5.1
Bailey,15.2689221169975,16.2
Harris,15.154856315575207,0.6999999999999998
Bexar,14.980617953634336,1
Burleson,14.84393405827257,6.800000000000001
Dallas,14.628536826682506,0.6999999999999998
Moore,14.443552573870988,5.800000000000001
Val Verde,14.44076503481454,4.2
Atascosa,14.259749014927076,4.300000000000001
Bosque,14.066021089258863,4.4
Medina,14.027532774417534,4.8
King,13.877651061980364,24.799999999999997
Hopkins,13.846250190738491,3.8
Eastland,13.835146378200722,5.500000000000001
Taylor,13.53399955454828,2.5
Van Zandt,13.48293322363999,3.5999999999999996
Robertson,13.296815186477136,6
Lubbock,13.24993446826962,1.7000000000000002
Smith,13.20071436952811,2.3
Upshur,12.903622606140974,4.300000000000001
Hunt,12.796069815358479,3.2999999999999994
Kerr,12.60077326703739,4
Blanco,12.491456874566303,8.3
Howard,12.02440006601055,4.4
Orange,11.996659838966979,3.0999999999999996
Erath,11.897650669182303,5.599999999999999
Gonzales,11.881941372043212,4.8
Runnels,11.83340159813505,7.199999999999999
Hutchinson,11.803345201945998,5
Tom Green,11.74987857055695,3.4999999999999996
Grayson,11.508907713768586,2.7
Hamilton,11.398513076454684,7.1
Castro,11.39372885027839,7.6
Ochiltree,11.060736795917219,7.8
Hardin,10.767920783319818,3.8
Tarrant,10.224141453310832,0.8999999999999999
Lavaca,10.092527840608993,4.7
Scurry,10.034013367475056,7.199999999999999
Wood,9.552291901926559,4.2
Kimble,9.535979925929732,8.200000000000001
Washington,9.372877040859638,4.7
Austin,9.34105836935376,4.1000000000000005
Gaines,8.90310173691316,5.500000000000001
Brewster,8.683673420259849,10.5
Lee,8.257325225222694,6.5
Johnson,8.193763930460669,2.7
Travis,7.897227207134582,1.3
Nolan,7.778748251148363,4.1000000000000005
Andrews,7.614064233533781,7.7
Fannin,7.414984707557448,4
Galveston,7.384517052106182,1.6
Hardeman,7.3719431374250455,9.2
Madison,7.160561092911856,5
Shackelford,7.0368992440449185,12.6
Midland,7.020647393528069,3.0999999999999996
Freestone,6.984371683454881,6.5
Jackson,6.841224180534142,7.500000000000001
Waller,6.4250773448352945,3.2
McCulloch,6.378936418116833,7.8
Donley,6.260050803244173,11.3
Childress,6.170717630278061,9.6
Coryell,5.778342502846077,2.9000000000000004
Ellis,5.546097462868136,2.4
Fayette,5.517268284696154,4.6
Rains,5.45580461322522,6.999999999999999
Gillespie,5.072132503385769,5.3
Franklin,4.9783020797177695,7.7
Knox,4.8191685420653485,7.500000000000001
Wilson,4.746836256972946,4.8
Hemphill,4.72936645554896,11.8
Kaufman,4.484958486971016,1.9
Haskell,4.295969160900634,5
Wise,4.287822641533164,3.9
Dallam,4.0214141870363544,9.4
Callahan,3.945995691198906,4.7
Guadalupe,3.9330631208852678,2.5
Carson,3.723568547693517,9.700000000000001
Hansford,3.6535665741673875,7.199999999999999
Hood,3.627312111651229,3.2
Montgomery,3.544089537397773,1.2
Hays,3.3985064281451316,2.4
Calhoun,3.2794450328873905,5.4
Coke,3.277080887333508,8.3
Parmer,3.2080296748583663,5.500000000000001
Randall,3.168509458288435,2.3
Jones,3.0100747888521666,4.4
Burnet,2.900472301073788,3.4000000000000004
Lampasas,2.8624028194747555,3.9
Brazoria,2.6989755797711825,1.2
Clay,2.689853394949995,3.7000000000000006
Parker,2.6837634886144586,2.1
Hartley,2.623130649955388,6.5
Denton,2.552158647388881,0.8999999999999999
Fort Bend,2.5171631780541404,1.1
Baylor,2.510109388143452,3.9
Dickens,2.4786962637209724,6.199999999999999
Reagan,2.4342177601626167,6
Collin,2.3962601404058343,0.6999999999999998
Colorado,2.3190463900017724,3.4000000000000004
Williamson,2.307078662738223,0.8999999999999999
Kendall,2.2776920231649873,2.6
Mills,2.2768329225184654,4.6
Motley,2.26542089418734,6
Briscoe,2.254496636227502,7.6
Mitchell,2.230577233440825,8
Somervell,2.1828818395310075,5.4
Stonewall,2.149402853062225,6.7
Goliad,2.1465702687884387,3.4000000000000004
Irion,2.1298014882698224,6.7
Armstrong,2.0900320982571765,5.4
Comal,2.088840258181803,1.9
Borden,2.083311683226245,19
Glasscock,2.082411194354905,7.3
Kenedy,2.060630228187153,69.5
Rockwall,2.0519270208296105,1.5
Crane,2.0388409621054207,4.1000000000000005
Crockett,2.037434300516276,9
Kent,2.035805963870688,28.700000000000003
Loving,2.0291709191588674,69.5
Mason,2.0069972875814592,5.500000000000001
Sterling,2.0039754910169822,9.8
Terrell,2.0017960977473668,35
