county,pov,moe
Piute,27.07631264373902,13.8
Garfield,23.285728125561423,10.4
Grand,19.9330480216561,7.400000000000001
San Juan,19.469111515893594,4.6
Carbon,19.44404951686373,6.599999999999999
Sanpete,19.08082011050769,6
Millard,18.622983177311855,5.599999999999999
Emery,18.593925169803136,5.500000000000001
Duchesne,18.10197980181084,4.7
Kane,17.341839308348614,7.500000000000001
Sevier,15.88760205661053,4.2
Cache,14.912425417443414,2.1
Uintah,14.84430554368512,3.7000000000000006
Iron,14.665812970029894,3.9
Juab,14.496095572000591,4.1000000000000005
Rich,14.495377053845502,7.199999999999999
Wayne,14.139987132212129,7.3
Washington,12.077813208507694,2
Weber,11.34790114427654,1.5
Box Elder,11.230210881335307,2.1
Beaver,10.770926685739047,4.5
Salt Lake,10.682408849108722,0.8
Davis,10.509595727175986,1.5
Wasatch,9.746134775287047,2.4
Utah,9.302479305209935,0.658
Tooele,8.52803617321443,1.6
Summit,8.136226254215634,1.9
Morgan,7.355943099419757,1.3999999999999997
Daggett,6.420920759186741,1.7000000000000002
