county,pov,moe
Accomack,23.8,5.3
Albemarle,8.1,2.3
Alleghany,14.3,7.2
Amelia,14.6,7.4
Amherst,13.6,4.7
Appomattox,22.4,5.9
Arlington,6.9,1.6
Augusta,14.0,3.9
Bath,29.5,21.8
Bedford,12.5,4.7
Bland,12.9,12.3
Botetourt,7.6,3.6
Brunswick,30.3,10.0
Buchanan,38.1,7.5
Buckingham,18.5,5.9
Campbell,11.1,3.0
Caroline,18.2,7.1
Carroll,18.4,6.7
Charles City,17.0,6.8
Charlotte,28.4,7.0
Chesterfield,8.0,1.1
Clarke,5.7,4.2
Craig,16.7,12.7
Culpeper,8.4,3.9
Cumberland,8.2,6.0
Dickenson,28.9,9.1
Dinwiddie,14.7,5.2
Essex,28.9,10.8
Fairfax,7.6,0.7
Fauquier,7.5,2.1
Floyd,9.1,5.3
Fluvanna,7.1,5.2
Franklin,23.9,4.7
Frederick,9.1,2.0
Giles,11.9,5.4
Gloucester,10.8,4.9
Goochland,2.8,2.4
Grayson,27.4,8.0
Greene,17.7,5.9
Greensville,13.9,12.5
Halifax,17.8,4.3
Hanover,7.0,1.6
Henrico,12.3,1.7
Henry,22.1,4.7
Highland,12.0,11.5
Isle of Wight,15.4,4.1
James City,10.3,2.7
King and Queen,51.6,10.4
King George,8.5,4.0
King William,11.2,5.1
Lancaster,23.6,8.5
Lee,45.0,10.1
Loudoun,3.8,0.8
Louisa,12.5,4.1
Lunenburg,15.7,6.9
Madison,7.8,6.6
Mathews,14.9,15.0
Mecklenburg,28.4,5.9
Middlesex,10.5,4.3
Montgomery,15.8,3.6
Nelson,11.1,7.1
New Kent,3.8,2.6
Northampton,30.7,8.8
Northumberland,29.9,12.3
Nottoway,18.0,5.2
Orange,21.1,5.7
Page,8.7,3.7
Patrick,9.3,5.2
Pittsylvania,23.3,3.8
Powhatan,6.0,3.8
Prince Edward,21.3,6.8
Prince George,10.8,4.0
Prince William,7.8,1.2
Pulaski,20.1,5.4
Rappahannock,12.1,8.8
Richmond,2.1,3.2
Roanoke,7.7,2.3
Rockbridge,11.8,7.0
Rockingham,9.5,2.4
Russell,17.3,5.9
Scott,20.3,5.7
Shenandoah,19.7,5.1
Smyth,24.4,6.9
Southampton,10.8,4.4
Spotsylvania,10.2,2.4
Stafford,6.4,1.6
Surry,23.5,10.5
Sussex,20.9,9.4
Tazewell,26.7,5.2
Warren,20.8,5.1
Washington,14.7,3.1
Westmoreland,21.9,7.9
Wise,26.7,6.1
Wythe,26.0,6.9
York,4.4,1.7
Alexandria city,14.2,2.9
Bristol city,22.5,8.1
Buena Vista city,29.4,16.8
Charlottesville city,25.5,5.6
Chesapeake city,10.2,1.8
Colonial Heights city,15.5,6.0
Covington city,31.1,13.7
Danville city,39.1,7.0
Emporia city,17.8,13.5
Fairfax city,9.2,4.4
Falls Church city,0.7,1.2
Franklin city,28.6,11.3
Fredericksburg city,31.6,9.1
Galax city,28.6,11.1
Hampton city,21.8,3.4
Harrisonburg city,20.9,4.9
Hopewell city,29.0,7.3
Lexington city,8.0,13.6
Lynchburg city,21.9,4.1
Manassas city,6.0,2.9
Manassas Park city,9.1,6.9
Martinsville city,31.5,9.2
Newport News city,20.4,2.8
Norfolk city,25.0,2.7
Norton city,40.7,21.7
Petersburg city,33.4,8.7
Poquoson city,6.4,5.1
Portsmouth city,25.3,4.3
Radford city,22.8,7.6
Richmond city,30.1,3.7
Roanoke city,27.6,4.5
Salem city,13.6,5.9
Staunton city,9.2,3.8
Suffolk,13.4,3.0
Virginia Beach city,10.6,1.4
Waynesboro city,26.2,6.4
Williamsburg city,11.1,7.1
Winchester city,24.3,5.7
