county,pov,moe
Norton,33.10141194849383,21.7
Bath,29.6457462168237,21.800000000000004
Buena Vista,25.97820032891337,16.8
Covington,24.27065721793329,13.700000000000001
King and Queen,24.100989238759844,10.4
Lee,23.626883136247592,10.1
Northumberland,22.892478505323894,12.3
Franklin,21.73591169228546,11.3
Galax,21.52541438266378,11.1
Essex,21.439957829606268,10.8
Brunswick,21.358675413358025,10
Fredericksburg,21.053188763547833,9.1
Martinsville,21.024787299151278,9.2
Petersburg,20.86808500816974,8.7
Mathews,20.867482817568135,15.000000000000002
Emporia,20.6023528652454,13.5
Northampton,20.54173481218382,8.8
Dickenson,20.255599825158736,9.1
Buchanan,20.09217724517069,7.500000000000001
Surry,20.057292248948656,10.5
Danville,19.9210687212202,6.999999999999999
Craig,19.80294769830116,12.699999999999998
Grayson,18.991576736545447,8
Hopewell,18.95309557105145,7.3
Greensville,18.763467308644312,12.5
Lancaster,18.668095973598174,8.5
Sussex,18.619147929035613,9.4
Charlotte,18.39680101201532,6.999999999999999
Bland,18.309188179023405,12.3
Bristol,18.135144356744533,8.1
Wythe,17.895395806639016,6.9
Radford,17.809106048889824,7.6
Westmoreland,17.80732712342994,7.9
Smyth,17.6605810200939,6.9
Waynesboro,17.546083194134514,6.4
Mecklenburg,17.43199713309606,5.9
Highland,17.38247937746696,11.5
Wise,17.354402883339702,6.1000000000000005
Prince Edward,16.754068697022454,6.800000000000001
Charlottesville,16.733592778513888,5.599999999999999
Tazewell,16.618481745482626,5.2
Winchester,16.579264277895533,5.699999999999999
Caroline,16.32467808014356,7.1
Appomattox,16.275338909667557,5.9
Richmond,16.109662776637446,3.7000000000000006
Accomack,16.083610125205432,5.3
Roanoke,16.070145948623583,4.5
Carroll,16.05408344411733,6.7
Orange,15.72141868073675,5.699999999999999
Rappahannock,15.69368942660612,8.8
Charles City,15.685211369143914,6.800000000000001
Lunenburg,15.568183640496775,6.9
Amelia,15.560870606113935,7.400000000000001
Franklin,15.543475394318696,4.7
Scott,15.40639070901359,5.699999999999999
Buckingham,15.404117014450632,5.9
Portsmouth,15.375345637111163,4.300000000000001
Alleghany,15.327006322679745,7.199999999999999
Lexington,15.21717005816597,13.600000000000001
Pulaski,15.047697088849816,5.4
Henry,15.02353975916024,4.7
Greene,15.01183323096798,5.9
Russell,14.94502615945709,5.9
Warren,14.93390546880563,5.1
Harrisonburg,14.785819099177955,4.9
Colonial Heights,14.699090291242728,6
Shenandoah,14.67265257755845,5.1
Nottoway,14.513174247549701,5.2
Pittsylvania,14.2190743984608,3.8
Lynchburg,14.189373910623369,4.1000000000000005
Rockbridge,14.071252053692426,6.999999999999999
Nelson,13.89564825548793,7.1
Williamsburg,13.807284925804122,7.1
Salem,13.80697800636555,5.9
Dinwiddie,13.686185553691251,5.2
Halifax,13.42238507519923,4.300000000000001
Hampton,13.190822033324572,3.4000000000000004
Norfolk,13.15296147479419,2.7
Giles,12.686117623692192,5.4
Amherst,12.628804674539113,4.7
Isle of Wight,12.559738096708994,4.1000000000000005
Bedford,12.33214163295219,4.7
King William,12.21715501174003,5.1
Manassas Park,12.149544182862137,6.9
Montgomery,12.13386596076779,3.5999999999999996
Fairfax,12.006602627531434,0.6999999999999998
Newport News,11.968202673192703,2.7999999999999994
Augusta,11.837367198940992,3.9
Gloucester,11.6842386281365,4.9
Louisa,11.582732327799436,4.1000000000000005
Loudoun,11.578974431464495,0.8
Patrick,11.19429203647864,5.2
Washington,11.148290265734515,3.0999999999999996
Southampton,11.008310168015868,4.4
Floyd,11.000675961807252,5.3
Cumberland,10.967361364418815,6
Madison,10.939747624561377,6.599999999999999
Alexandria,10.753764823761871,2.9000000000000004
Middlesex,10.748853435035716,4.300000000000001
Prince George,10.677520094648226,4
Suffolk,10.56967165127253,3
Fairfax,10.352009390598083,4.4
Chesterfield,10.296089843263678,1.1
Campbell,9.980090565199253,3
Prince William,9.86846164719674,1.2
Falls Church,9.86846164719674,1.2
Staunton,9.731785484644405,3.8
King George,9.488083978061784,4
Page,9.33210483081512,3.7000000000000006
Culpeper,9.321988590393676,3.9
Henrico,9.317596040161416,1.7000000000000002
James City,9.260292414463493,2.7
Fluvanna,9.097728055549776,5.2
Virginia Beach,9.013205255062868,1.3999999999999997
Spotsylvania,8.995892732960256,2.4
Rockingham,8.880517299163646,2.4
Chesapeake,8.596506718631607,1.7999999999999998
Poquoson,8.433289848935816,5.1
Botetourt,8.382496596593397,3.5999999999999996
Frederick,8.364820149592827,2
Hanover,8.15794886292899,1.6
Arlington,8.15794886292899,1.6
Stafford,8.15794886292899,1.6
Albemarle,8.136515575868845,2.3
Roanoke,7.775175914263624,2.3
York,7.730320666862052,1.7000000000000002
Powhatan,7.565974852169897,3.8
Fauquier,7.453407703127317,2.1
Clarke,7.442389016417334,4.2
Manassas,7.03875427532949,2.9000000000000004
New Kent,6.302758876109184,2.6
Goochland,6.03423607337838,2.4
Richmond,5.923784751957106,3.2
