county,pov,moe
Essex,24.00875200893217,7.7
Windham,22.50875200893217,4.300000000000001
Bennington,21.158752008932172,5
Caledonia,17.604233660648323,3.4000000000000004
Washington,17.452815556851984,3.2
Franklin,17.03364467618193,2.7
Orange,16.929194499055455,2.7
Orleans,16.342224506722253,2.4
Rutland,15.460555766344106,2.7
Chittenden,12.267827134152999,1.7999999999999998
Windsor,8.611129231642845,3
Lamoille,5.400286435566139,3.0999999999999996
Addison,4.212469821047673,2.1
Grand Isle,4.009362684989794,4.300000000000001
