county,pov,moe
Jefferson,21.611746912594214,7.3
Adams,20.914495852918353,7.400000000000001
Wahkiakum,18.841077299487672,11.8
Okanogan,18.819085556579328,4.9
Garfield,18.728798190706453,13.3
Lincoln,17.711408478280017,7.7
Asotin,17.498088261177884,4.9
Ferry,17.21842511859274,6.3
Grays Harbor,17.10633485730205,4.3
Klickitat,16.76123761872379,6.9
Pend Oreille,16.72238053602063,5.4
Mason,16.619802467543906,4.6
Stevens,16.45004628429582,4.5
Grant,16.2904411940239,3.7000000000000006
Kittitas,16.210293484581527,4.8
Yakima,16.03006395739601,2.4
Skagit,16.02953718545405,3.0999999999999996
Franklin,16.020669947271482,3.2
Pacific,15.981265659717694,4.2
Cowlitz,15.756974068790031,2.7
Clallam,15.732152729684154,3.4000000000000004
San Juan,15.71137651433352,3.5000000000000004
Lewis,15.659788892056708,2.9000000000000004
Chelan,15.591713430374012,3.3000000000000003
Benton,15.491898769771323,2
Whatcom,15.427320729460872,2.2
Whitman,15.319860525334384,3.0999999999999996
Spokane,15.31392658523333,1.5
Douglas,15.257322820879377,3.0999999999999996
Walla Walla,15.229101605427427,2.5
Thurston,15.227479594850045,1.8000000000000003
Skamania,15.184517148909613,4.3
Kitsap,15.167790276504189,1.5
Clark,15.160509144900972,1.3
Pierce,15.082544651699195,0.8
Snohomish,15.056632440915749,0.9000000000000001
King,15.046356741314213,0.6
Columbia,15.030414102214559,5.2
Island,15.000335232964252,2.2
