county,pov,moe
Menominee,24.727083309850833,10.7
Richland,19.249633387410046,5.5
Price,19.1308476428307,5.3
Green Lake,19.051475878643,5.599999999999999
Crawford,18.998450689079476,5.700000000000001
Sawyer,18.65672167876547,5.2
Forest,18.503922359673602,5
Vernon,18.2944716096887,4.4
Adams,18.172435612908284,4.3
Door,18.052362941232975,4.9
Iron,18.031043544013382,4.8
Ashland,18.027233368231098,4.5
Langlade,17.880202245036177,4.7
Vilas,17.867528625085406,4.2
Rusk,17.86134434762387,4.4
Florence,17.552420533227398,4.4
Barron,17.495885100406095,3.8
Bayfield,17.479007933686628,3.8
Pepin,17.27344098752332,3.9
Lafayette,17.141985822625827,3.5000000000000004
Douglas,17.115579081038447,3.4000000000000004
Marinette,17.111919616106764,3.6000000000000005
Marquette,17.101540801447914,3.4000000000000004
Clark,17.090281296856244,3.0999999999999996
Washburn,17.085301556352935,3.2
Oneida,17.072697420408513,3.5000000000000004
Waushara,17.014485656545432,3.0999999999999996
Jackson,16.991372630441262,3.0999999999999996
Monroe,16.95397528552622,3.0999999999999996
Grant,16.900742331334676,3
Lincoln,16.75992305399622,2.9000000000000004
Fond du Lac,16.750234647391675,2.9000000000000004
Chippewa,16.71688971600529,2.7999999999999994
Burnett,16.679041938816695,2.7
Juneau,16.540157166368857,2.4
Kenosha,16.514392688390704,2.4
Pierce,16.512430547093125,2.7999999999999994
Buffalo,16.50549046015155,2.7
Manitowoc,16.479911577361154,2.4
Racine,16.426253818583135,2.2
Eau Claire,16.42152187283988,2.5
Kewaunee,16.395245032243096,2.6
Polk,16.351222247145255,2.3
Dunn,16.32951722198817,2.4
Waupaca,16.324081939684692,2.3
Taylor,16.30971391238339,2.3
Wood,16.309109314669037,2.2
Sheboygan,16.306915965610507,2.3
Dodge,16.304284079872417,2.3
Jefferson,16.296183420051587,2.3
Sauk,16.292275569665613,2.2
Shawano,16.268760818117794,2.1
Green,16.267958488890617,2.3
Winnebago,16.233780262763453,2
Columbia,16.21818746412312,2.2
Walworth,16.20080636326261,2.1
Portage,16.13580750326512,2
Rock,16.124751178784543,1.8000000000000003
Iowa,16.012134179942965,1.8000000000000003
Oconto,15.995409322157506,1.8000000000000003
La Crosse,15.952123986192806,1.8000000000000003
Milwaukee,15.949369314380624,1.2
Marathon,15.913068020222909,1.6
Brown,15.901505045646122,1.5
Trempealeau,15.865995757878418,1.6
Calumet,15.8515715017062,1.6
St. Croix,15.842446533291913,1.6
Ozaukee,15.767761530743488,1.5
Outagamie,15.719790553179758,1.3
Washington,15.67095171689519,1.3
Dane,15.613260257312907,1.1
Waukesha,15.47093307484094,0.9000000000000001
