county,pov,moe
Calhoun,29.3859625145029,18.1
Clay,29.248462514502904,11.700000000000001
McDowell,29.124712514502903,9.9
Wirt,27.654582885339547,16.3
Summers,24.230381768615956,11.9
Roane,23.216676082630556,10.6
Ritchie,23.042465618271486,10.4
Hardy,22.835681754663515,10.2
Hampshire,22.53010862113311,9.9
Barbour,22.34979767781414,9.5
Jackson,22.330896058519752,9.5
Pocahontas,22.25780163465294,10
Lincoln,21.935668566333714,9.2
Wyoming,21.771114902462525,8.8
Mingo,21.737775583604172,8.7
Logan,21.342448582561797,8.200000000000001
Webster,20.913750141827222,9
Mason,20.751480292610367,8.200000000000001
Pendleton,20.370989237979657,9.9
Fayette,19.861862557655662,6.4
Greenbrier,19.715817618983717,6.5
Taylor,19.676633907151817,8.200000000000001
Lewis,19.256534553591628,7.1
Mercer,19.088390173648772,6.199999999999999
Raleigh,18.876512525514553,5.3
Monroe,15.538873007255456,11.000000000000002
Marshall,15.519560543329183,6.5
Cabell,15.299636053325763,3.7000000000000006
Marion,15.230310569922192,4.6
Kanawha,15.02353602047932,2.5
Upshur,14.524524664071222,6.3
Braxton,13.282756504241334,8.4
Mineral,11.655963989612598,6.999999999999999
Randolph,10.212873387171298,5.699999999999999
Preston,9.387634823349442,6.5
Nicholas,8.29745293713028,5.699999999999999
Wood,7.154393872231893,3.2999999999999994
Harrison,6.605479599763138,4.2
Putnam,6.159014137190778,5.800000000000001
Wayne,5.65936227854216,5.800000000000001
Morgan,5.31194439178638,7.199999999999999
Monongalia,4.883491160313559,4
Hancock,4.677924241146511,5.3
Doddridge,4.591692346981168,12.699999999999998
Boone,4.3365998991702615,4.300000000000001
Ohio,4.2290422987211045,3.7000000000000006
Tucker,4.162727718022765,5.3
Wetzel,4.10832017490252,5.9
Berkeley,4.060241387472275,2.1
Tyler,4.0421585030022795,7.400000000000001
Brooke,4.021799902999136,5
Jefferson,4.009899256105395,2.3
Grant,4.0047646784341024,7.199999999999999
Gilmer,4.001393151672864,7.199999999999999
Pleasants,4.000120212578298,3
