county,pov,moe
Niobrara,37.24840298129637,22.900000000000002
Hot Springs,27.338841179472478,14.100000000000001
Johnson,23.843421364781904,11.1
Albany,20.91718916023615,8.7
Converse,20.306416297971847,8
Carbon,19.097095340775198,6.1000000000000005
Big Horn,18.88176768997699,6
Platte,17.189795594574115,11.199999999999998
Fremont,17.096231975712158,3.2
Sweetwater,14.905247462735105,4.5
Sublette,12.948822579275458,7.3
Park,12.509204512838727,4.4
Weston,11.793661789167222,7.7
Laramie,10.558211550449817,3
Goshen,9.706729196054175,5.1
Natrona,9.386580756242996,2.9000000000000004
Teton,8.948445969339561,5.800000000000001
Campbell,8.087818906508405,3
Lincoln,7.4155422526674135,3.4999999999999996
Washakie,7.17939194024447,5.9
Sheridan,6.988873149754042,3.5999999999999996
Uinta,6.1395227861151636,4.5
Crook,5.0127855638097785,1.3999999999999997
