county,pov,moe
Somerset,22.699314849560086,7.7
Dorchester,20.29781624254493,6.5
Caroline,17.769795362003514,4.4
Wicomico,17.036710646101717,3.4000000000000004
Allegany,16.919428995321223,3.0999999999999996
Baltimore,16.70456106598202,1.9
Garrett,16.543459720443092,3.9
Washington,16.461643316692996,2.4
Talbot,16.128740916868708,4.4
Kent,15.958319401452695,4.7
Cecil,15.751038912899679,3.2
Worcester,15.080427913276925,3.0999999999999996
Baltimore,14.169956933003755,1.1
Prince George's,13.494811178166596,1.1
Queen Anne's,13.287799340854056,2.4
Harford,12.978127256802368,1.6
St. Mary's,12.936686958328348,2.4
Montgomery,12.022094309870306,0.8
Anne Arundel,11.338491827267484,1
Frederick,11.121752834125624,1.2
Charles,11.043012805107981,1.7000000000000002
Howard,10.28516304714687,1.3
Carroll,9.48788509105315,1
Calvert,8.482961075125855,1.6
