county,pov,moe
Carter,28.326630810830167,14.100000000000001
Worth,25.574585071506334,17.7
Oregon,23.341664492393466,10
Pemiscot,22.82040472824525,7.1
Wayne,22.561693124497612,12.6
Dallas,21.039102361714104,10.2
Wright,20.926167545816813,10.1
Putnam,20.799826665480577,16.1
Reynolds,20.776153503665913,9.8
Mercer,20.517082610688576,15.2
Benton,19.9363895651736,8.3
Mississippi,19.646506164858323,8.1
Ozark,19.21988130978269,10.1
Audrain,19.18661438598453,7.199999999999999
Bates,18.803201180308733,6.599999999999999
Howell,18.7382799574588,6.4
Barry,18.47311831612467,6
Linn,18.236027043629726,7.500000000000001
Iron,17.680397935568664,7.9
Morgan,17.65920233648722,8.4
Vernon,17.646673711369473,7.6
Washington,17.63886712706439,7.7
Bollinger,17.472348818281137,9.4
Miller,17.33206936612087,7.400000000000001
Texas,17.13772783572158,5.9
Laclede,17.082096520245592,6.999999999999999
Randolph,17.065728127019565,6.3
Cedar,17.06486466910056,8
Dunklin,17.02764712574242,5.3
Dent,16.827720767878144,6.599999999999999
Barton,16.823544688349386,6.999999999999999
McDonald,16.822399786601355,5.699999999999999
Butler,16.806349727278683,5.4
Maries,16.771733472751905,9.3
Sullivan,16.66947417056082,7.1
St. Louis,16.65605462808498,2.9000000000000004
Harrison,16.477028936951264,8.200000000000001
Dade,16.462812077920617,7.1
Chariton,16.410036566347465,6.4
Pike,16.351827099509965,7.400000000000001
Webster,16.2442404338943,5.699999999999999
Caldwell,16.036355425877147,6.1000000000000005
Taney,15.959640617667164,4.7
Clark,15.876050572451675,9.8
Monroe,15.859265484602606,7.199999999999999
Jasper,15.834045530977647,3.8
Douglas,15.78908967183269,8.4
Stoddard,15.650508138548663,5.9
Atchison,15.350972987637645,6.7
Gasconade,15.242556005060031,6.4
Buchanan,15.201403107703634,4.1000000000000005
Shelby,15.162637197937617,7.3
Camden,15.130634782909516,4.7
Ripley,15.129664928850367,6
Lewis,14.935234527626736,7.400000000000001
St. Francois,14.798964687962158,4.4
Polk,14.759397007928765,4.6
Montgomery,14.756651260311898,5.800000000000001
Madison,14.68597500518605,7.8
Daviess,14.497706325521984,5.500000000000001
Newton,14.40987222024153,4.300000000000001
New Madrid,14.318130203719823,4.6
Lawrence,14.29455017842397,4.4
Stone,14.018402985670425,5.2
Hickory,14.015773926897337,8.7
Scott,13.93048024832679,3.8
Nodaway,13.793814676210639,4.8
Howard,13.757648960191549,6.3
Gentry,13.732777018311616,6
Warren,13.648122906992723,6.4
Henry,13.580274576347955,5.1
Pettis,13.364009758478959,4.1000000000000005
Pulaski,13.291910971700272,4.1000000000000005
Grundy,13.274808509665318,4.9
Cooper,13.268949856247644,4.6
Crawford,13.111505803657236,5
Holt,12.866035074472437,5.9
Ray,12.706103703700292,4.300000000000001
Marion,12.696654213687891,4.9
Callaway,12.637923799616651,5.3
Ste. Genevieve,12.599411415769096,5.800000000000001
Knox,12.465404916402989,7.3
Cape Girardeau,12.26970891067596,3.4000000000000004
Shannon,12.14721882452004,7.500000000000001
Phelps,11.857693380478612,4.2
Saline,11.841720087441693,4.4
Perry,11.78766307208608,5.1
Moniteau,11.69665463857979,5.800000000000001
Jackson,11.516435200759608,1.3999999999999997
Macon,10.910271892295114,4.1000000000000005
Carroll,10.901731406786698,5.2
Clinton,10.887603139516209,5.599999999999999
St. Clair,10.817141444144223,4.4
Boone,10.664129545353513,2.7
Lincoln,10.661123430847939,3.2
Adair,10.392168754377076,4.300000000000001
Greene,9.520777341442088,1.7000000000000002
Cole,9.511909910481547,2.4
Ralls,9.354927347177547,4.7
Lafayette,9.061561035049357,3.2
St. Louis,8.959488956604254,1
Christian,8.936395202972111,3.2
Livingston,8.728472061776642,3.9
Clay,8.578260756100645,2
DeKalb,8.252650669605528,4.1000000000000005
Franklin,8.18274596434878,1.7999999999999998
Jefferson,8.002519223347228,1.6
Platte,7.7636054382898445,2.5
Cass,7.712955908220795,1.9
Osage,7.628348529922446,4.5
Johnson,7.403117073348224,2.5
Andrew,7.35152250146625,3
Schuyler,6.9005114535032375,3.4000000000000004
St. Charles,6.02572232941552,0.8999999999999999
Scotland,5.779750610727681,3.2999999999999994
