county,pov,moe
Norton,32.28849041583489,21.7
Bath,29.2335837696786,21.800000000000004
Buena Vista,25.947988786283645,16.8
King and Queen,24.57243746579973,10.4
Covington,24.03120476517608,13.700000000000001
Lee,23.626883136247592,10.1
Northumberland,23.04629277098389,12.3
Franklin,22.30760377903214,11.3
Galax,22.164533876087027,11.1
Essex,21.997648119672814,10.8
Brunswick,21.566854387439655,10
Martinsville,21.076412329472145,9.2
Fredericksburg,21.021925487966158,9.1
Dickenson,20.907473060682907,9.1
Northampton,20.789936345611117,8.8
Petersburg,20.76830360705057,8.7
Grayson,20.12425296115889,8
Buchanan,19.98224751257396,7.500000000000001
Hopewell,19.74805186720638,7.3
Danville,19.6590520785167,6.999999999999999
Charlotte,19.509533504431857,6.999999999999999
Wythe,19.38599447099722,6.9
Waynesboro,19.07595255661437,6.4
Wise,18.892326770841446,6.1000000000000005
Surry,18.860089531903398,10.5
Mecklenburg,18.79362502577124,5.9
Emporia,18.63856768997184,13.5
Mathews,18.632835946263462,15.000000000000002
Charlottesville,18.552851104619357,5.599999999999999
Tazewell,18.324400013976785,5.2
Craig,18.033598138025653,12.699999999999998
Lancaster,18.012539075390162,8.5
Roanoke,17.887911662762104,4.5
Portsmouth,17.722874145692703,4.300000000000001
Smyth,17.663808251728057,6.9
Sussex,17.602106735949146,9.4
Bristol,17.518110442089206,8.1
Richmond,17.425077638306927,3.7000000000000006
Radford,17.348820083359882,7.6
Westmoreland,17.21566506670256,7.9
Greensville,17.10296982046223,12.5
Winchester,16.936886674317424,5.699999999999999
Bland,16.71596269164668,12.3
Accomack,16.509702557849234,5.3
Prince Edward,16.46646099473383,6.800000000000001
Appomattox,16.33512631800814,5.9
Franklin,16.286802032213256,4.7
Highland,15.987846034285106,11.5
Caroline,15.913445120596768,7.1
Orange,15.798234820281781,5.699999999999999
Carroll,15.763818106132863,6.7
Norfolk,15.65319338943492,2.7
Henry,15.55917971754663,4.7
Scott,15.457670460896397,5.699999999999999
Buckingham,15.37539260042043,5.9
Charles City,15.360137422537163,6.800000000000001
Pittsylvania,15.30879399463407,3.8
Warren,15.223120871187943,5.1
Lunenburg,15.214479309306622,6.9
Pulaski,15.205335446394821,5.4
Harrisonburg,15.163879592206195,4.9
Amelia,15.073061733142715,7.400000000000001
Lynchburg,14.99020152199542,4.1000000000000005
Greene,14.971532247270353,5.9
Shenandoah,14.941649721829778,5.1
Russell,14.903427666964541,5.9
Alleghany,14.895093084240768,7.199999999999999
Rappahannock,14.885391375230645,8.8
Nottoway,14.728685880696313,5.2
Colonial Heights,14.620308747183438,6
Hampton,14.341322558667896,3.4000000000000004
Halifax,13.992275117696451,4.300000000000001
Dinwiddie,13.871448809369408,5.2
Salem,13.754529802640397,5.9
Rockbridge,13.712826680996566,6.999999999999999
Lexington,13.680418825619366,13.600000000000001
Nelson,13.515579626509261,7.1
Williamsburg,13.428621349866523,7.1
Newport News,13.218378975491365,2.7999999999999994
Isle of Wight,13.144956919691284,4.1000000000000005
Amherst,12.960561131137707,4.7
Montgomery,12.914330461752721,3.5999999999999996
Giles,12.773109528020338,5.4
Bedford,12.645856333276411,4.7
Augusta,12.42960366898339,3.9
King William,12.384613537894056,5.1
Louisa,12.06241363848615,4.1000000000000005
Washington,11.973382615811875,3.0999999999999996
Gloucester,11.889246598651237,4.9
Manassas Park,11.831345167136545,6.9
Alexandria,11.565587522665666,2.9000000000000004
Southampton,11.323978792630216,4.4
Suffolk,11.301393076283631,3
Patrick,11.281483841318366,5.2
Prince George,11.087049994153167,4
Middlesex,11.071027243943702,4.300000000000001
Floyd,11.050373521097095,5.3
Cumberland,10.840014134118462,6
Madison,10.679222166175867,6.599999999999999
Fairfax,10.605031831235637,4.4
Campbell,10.587378147619724,3
Staunton,10.077875484544265,3.8
Henrico,10.077752426221496,1.7000000000000002
James City,9.799522881034923,2.7
King George,9.752261896376586,4
Page,9.648787524783334,3.7000000000000006
Culpeper,9.589695383856617,3.9
Spotsylvania,9.544533884920616,2.4
Rockingham,9.405173698841327,2.4
Virginia Beach,9.234847112576272,1.3999999999999997
Chesapeake,9.163554706252327,1.7999999999999998
Fluvanna,9.059753021156302,5.2
Frederick,8.850720029565782,2
Botetourt,8.590433512950176,3.5999999999999996
Albemarle,8.530219619600352,2.3
Poquoson,8.371102843253853,5.1
Roanoke,8.100368104085046,2.3
Chesterfield,8.035904434726453,1.1
Prince William,7.831464545451701,1.2
Fauquier,7.744396545443612,2.1
Powhatan,7.63822972186298,3.8
Fairfax,7.485595883676793,0.6999999999999998
Clarke,7.443806907752594,4.2
Hanover,7.397888741936806,1.6
Arlington,7.294543270190469,1.6
Stafford,7.1862302603303325,1.6
Manassas,7.163795671848401,2.9000000000000004
York,6.549444313540424,1.7000000000000002
New Kent,6.355721707297528,2.6
Loudoun,6.251937875366358,0.8
Goochland,6.067761794148479,2.4
Richmond,5.887312295007085,3.2
Falls Church,5.1463479509350565,1.2
