county,pov,moe
Alcona,24.1,6.5
Alger,7.0,3.7
Allegan,14.0,2.2
Alpena,21.4,4.6
Antrim,14.6,3.7
Arenac,16.1,3.8
Baraga,14.9,6.4
Barry,10.2,2.9
Bay,22.3,3.2
Benzie,12.0,3.6
Berrien,24.0,3.0
Branch,20.9,4.5
Calhoun,23.1,2.7
Cass,21.0,4.1
Charlevoix,11.1,4.6
Cheboygan,18.9,4.4
Chippewa,27.6,5.7
Clare,33.5,5.0
Clinton,11.7,3.4
Crawford,18.0,4.6
Delta,15.8,4.3
Dickinson,9.7,4.5
Eaton,9.6,1.5
Emmet,9.9,3.5
Genesee,23.1,1.8
Gladwin,18.9,4.5
Gogebic,15.9,5.4
Grand Traverse,16.5,3.4
Gratiot,21.7,4.0
Hillsdale,25.1,4.5
Houghton,11.8,2.8
Huron,15.4,2.6
Ingham,16.7,2.0
Ionia,12.0,2.6
Iosco,20.5,5.1
Iron,21.3,7.1
Isabella,20.2,3.3
Jackson,16.9,2.2
Kalamazoo,13.3,1.9
Kalkaska,17.8,5.6
Kent,14.0,1.2
Keweenaw,11.5,10.1
Lake,25.9,6.6
Lapeer,13.6,2.3
Leelanau,11.2,3.0
Lenawee,14.9,2.1
Livingston,5.3,1.6
Luce,24.9,9.0
Mackinac,25.3,5.7
Macomb,13.8,1.0
Manistee,16.1,3.0
Marquette,12.9,3.3
Mason,25.4,5.7
Mecosta,18.9,3.4
Menominee,11.2,2.5
Midland,12.6,2.4
Missaukee,15.0,4.2
Monroe,14.6,2.6
Montcalm,15.7,2.6
Montmorency,33.9,9.7
Muskegon,18.1,2.4
Newaygo,23.0,4.8
Oakland,8.9,0.6
Oceana,19.0,3.9
Ogemaw,25.9,6.6
Ontonagon,18.2,7.7
Osceola,20.2,4.2
Oscoda,16.9,6.9
Otsego,13.8,3.4
Ottawa,6.0,1.1
Presque Isle,18.6,6.1
Roscommon,27.0,4.8
Saginaw,27.3,3.0
St. Clair,17.3,2.1
St. Joseph,17.3,3.8
Sanilac,23.4,4.0
Schoolcraft,24.2,7.5
Shiawassee,14.0,3.8
Tuscola,14.6,2.3
Van Buren,19.1,2.9
Washtenaw,11.4,1.5
Wayne,30.3,0.9
Wexford,17.8,3.5
