county,pov,moe
Alamance,19.1,2.7
Alexander,19.9,5.6
Alleghany,34.5,8.8
Anson,33.0,9.4
Ashe,17.7,6.6
Avery,11.8,5.3
Beaufort,28.8,5.4
Bertie,27.3,10.6
Bladen,41.1,6.6
Brunswick,13.5,2.8
Buncombe,14.4,2.0
Burke,26.8,4.4
Cabarrus,11.5,2.9
Caldwell,20.0,4.1
Camden,7.1,5.8
Carteret,12.0,2.9
Caswell,22.0,6.4
Catawba,18.8,2.5
Chatham,14.7,3.8
Cherokee,22.8,7.0
Chowan,35.8,12.1
Clay,6.3,5.4
Cleveland,30.0,4.0
Columbus,27.3,5.9
Craven,19.0,4.0
Cumberland,23.6,1.6
Currituck,12.1,5.2
Dare,8.9,4.1
Davidson,21.8,2.8
Davie,18.1,4.2
Duplin,31.2,4.9
Durham,17.1,2.0
Edgecombe,36.7,6.5
Forsyth,23.3,2.3
Franklin,14.0,3.8
Gaston,15.6,1.9
Gates,20.9,12.5
Graham,9.5,7.6
Granville,19.4,4.1
Greene,36.7,7.8
Guilford,20.9,1.5
Halifax,33.5,5.8
Harnett,19.2,2.6
Haywood,18.6,5.0
Henderson,18.0,3.3
Hertford,29.5,7.0
Hoke,21.9,3.7
Hyde,61.9,18.9
Iredell,12.9,1.9
Jackson,27.6,6.5
Johnston,14.8,1.9
Jones,16.0,7.2
Lee,22.4,4.6
Lenoir,33.7,5.3
Lincoln,10.2,2.3
McDowell,18.7,4.2
Macon,20.8,5.8
Madison,12.2,5.4
Martin,32.3,6.1
Mecklenburg,15.5,0.9
Mitchell,13.9,6.1
Montgomery,24.4,9.4
Moore,13.2,2.5
Nash,20.4,3.5
New Hanover,14.7,2.5
Northampton,29.1,6.9
Onslow,16.9,2.9
Orange,11.2,2.2
Pamlico,21.3,6.6
Pasquotank,13.9,3.3
Pender,15.8,3.3
Perquimans,16.4,7.2
Person,31.1,6.2
Pitt,22.8,2.9
Polk,13.5,5.1
Randolph,20.3,2.5
Richmond,37.3,7.0
Robeson,37.9,2.6
Rockingham,29.8,4.2
Rowan,25.3,3.3
Rutherford,24.9,4.0
Sampson,33.8,5.1
Scotland,40.8,5.0
Stanly,20.8,3.6
Stokes,16.3,5.5
Surry,24.0,3.7
Swain,33.0,8.2
Transylvania,19.8,6.6
Tyrrell,30.8,18.3
Union,8.6,1.5
Vance,26.2,5.5
Wake,9.6,0.9
Warren,36.5,8.0
Washington,27.7,10.9
Watauga,8.8,3.0
Wayne,28.4,3.0
Wilkes,28.2,4.8
Wilson,30.5,4.9
Yadkin,22.2,5.8
Yancey,24.0,5.0
