county,pov,moe
Perry,27.062251095674185,13.200000000000001
Greene,25.51741070854105,13.4
Wilcox,24.193863572252262,11.700000000000001
Bullock,24.11904102285268,11.700000000000001
Conecuh,23.911181159550356,13
Hale,23.81786610478882,12.5
Sumter,22.789629453992745,9.2
Lowndes,22.38393143418162,10.1
Coosa,21.66155245632317,10.8
Fayette,20.72711882607598,8.3
Marengo,20.681571142216683,8.5
Bibb,20.651092383975044,8.1
Pickens,20.599862506106213,8
Dallas,20.540591717297094,7.200000000000001
Monroe,20.322185003914104,8.2
Macon,20.0461375701273,7.5
Lamar,19.94217893089315,8.7
Butler,19.766573412197953,7.1
Choctaw,19.755213782766308,7.200000000000001
Russell,19.71994872731846,7.1
Clay,19.637312460829133,7.6
Franklin,19.58769592073891,7.200000000000001
Cleburne,19.42641097292973,7.6
Lawrence,19.229822365144674,7.000000000000001
Washington,19.039793321533434,6.7
Barbour,18.80931815726877,5.4
Randolph,18.774778318629007,6.1000000000000005
Crenshaw,18.7612013759722,6.5
Clarke,18.760444433027224,5.700000000000001
Winston,18.69686000794198,6
Geneva,18.691536720491936,5.700000000000001
Marion,18.666197146204105,6.199999999999999
Pike,18.519500190197352,5.3
Escambia,18.440771940554182,5.4
Colbert,18.403681967530698,5.4
Chambers,18.35363157607918,5.1
Henry,18.121821665253226,5.2
Jackson,18.112043510730018,4.9
Tallapoosa,18.101940999616563,4.9
Covington,18.038636081257042,4.8
Dale,17.98237343497375,4.6
DeKalb,17.909132818672713,4.4
Cherokee,17.813917634826222,4.9
Talladega,17.60677914586678,4.1
Walker,17.406603575200332,4
Chilton,17.37294724284812,4.2
Coffee,17.168201647138794,3.5000000000000004
Marshall,17.050953027053144,3.3000000000000003
Autauga,16.91592304046063,3.5000000000000004
St. Clair,16.877515036026246,3.4000000000000004
Limestone,16.85232807546831,3.3000000000000003
Lee,16.81386610166935,3.2
Etowah,16.767587458690983,2.9000000000000004
Calhoun,16.763766994032725,2.9000000000000004
Montgomery,16.754332360448537,2.7
Cullman,16.74955740323115,3.0999999999999996
Blount,16.706052344998547,3
Tuscaloosa,16.664687984569817,2.7999999999999994
Lauderdale,16.659965629305475,2.9000000000000004
Morgan,16.65816437373053,2.9000000000000004
Elmore,16.58401185997124,2.9000000000000004
Houston,16.385183895520004,2.2
Mobile,16.05884138488376,1.7000000000000002
Baldwin,16.034400929417483,1.9
Jefferson,16.02724257439228,1.7000000000000002
Madison,15.934667059044552,1.7000000000000002
Shelby,15.767761530743488,1.5
