county,pov,moe
Apache,24.246782849978533,3.2
La Paz,21.39112276815316,8.2
Gila,20.078728799356544,5.3
Santa Cruz,19.56001981734942,5.599999999999999
Navajo,18.80592776319789,2.7
Greenlee,18.775062904350676,8.3
Graham,17.62792537657309,4.4
Mohave,17.558232586923054,3.3000000000000003
Yuma,16.99561852562627,2.7
Cochise,16.749484752422333,2.9000000000000004
Yavapai,16.48815995338387,2.9000000000000004
Coconino,16.17405925425856,2.5
Pima,15.753417756851526,1.3
Pinal,15.711927040055324,1.5
Maricopa,15.286276339725624,0.6
