county,pov,moe
Alameda,9.4,0.7
Alpine,15.1,10.0
Amador,6.0,2.4
Butte,18.1,2.3
Calaveras,16.2,5.2
Colusa,15.4,4.4
Contra Costa,10.1,0.9
Del Norte,17.2,5.3
El Dorado,9.8,1.9
Fresno,27.2,1.4
Glenn,21.9,6.0
Humboldt,20.4,2.6
Imperial,28.0,3.1
Inyo,11.2,6.0
Kern,26.2,1.4
Kings,23.0,3.2
Lake,21.1,3.8
Lassen,14.9,4.7
Los Angeles,18.1,0.4
Madera,28.4,3.7
Marin,7.1,1.3
Mariposa,30.4,9.6
Mendocino,20.6,4.0
Merced,25.8,2.4
Modoc,23.8,13.3
Mono,16.5,7.6
Monterey,17.9,2.0
Napa,9.1,2.0
Nevada,10.4,2.7
Orange,11.2,0.6
Placer,6.8,1.1
Plumas,14.9,5.9
Riverside,14.8,0.7
Sacramento,17.3,1.1
San Benito,11.0,3.4
San Bernardino,18.6,0.8
San Diego,12.6,0.5
San Francisco,8.9,1.0
San Joaquin,17.4,1.0
San Luis Obispo,11.4,2.0
San Mateo,6.4,0.9
Santa Barbara,14.9,1.4
Santa Clara,6.4,0.6
Santa Cruz,10.9,2.0
Shasta,14.0,1.9
Sierra,22.4,18.1
Siskiyou,21.0,4.9
Solano,11.4,1.4
Sonoma,10.2,1.4
Stanislaus,18.2,1.4
Sutter,17.8,3.4
Tehama,22.8,4.6
Trinity,28.7,12.3
Tulare,24.7,1.6
Tuolumne,11.2,3.5
Ventura,12.3,1.0
Yolo,14.0,2.5
Yuba,19.7,3.5
