county,pov,moe
Trinity,25.946563798777678,12.3
Mariposa,25.24925542664248,9.6
Sierra,24.640645426896292,18.1
Modoc,22.906783481556964,13.3
Madera,18.202370171807072,3.7000000000000006
Glenn,18.071046122973954,6
Alpine,17.704460427397535,10
Imperial,17.588271560044472,3.0999999999999996
Tehama,17.528734314022987,4.6
Mono,17.39905158370217,7.6
Siskiyou,17.331654930384115,4.9
Mendocino,16.841513963673613,4
Lake,16.823101456021192,3.8
Del Norte,16.796329705066842,5.3
Kings,16.7869952869303,3.2
Merced,16.66903470227203,2.4
Calaveras,16.590344827853652,5.2
Plumas,16.558262844538795,5.9
Yuba,16.49314042648674,3.5000000000000004
Lassen,16.241328028700394,4.7
Colusa,16.232009664373223,4.4
Sutter,16.221530367814086,3.4000000000000004
Humboldt,16.17716237176648,2.6
Fresno,16.091167301879807,1.3999999999999997
Tulare,16.020385308417094,1.6
Kern,16.00524966531668,1.3999999999999997
Inyo,15.907203290588296,6
Butte,15.850072734204693,2.3
Monterey,15.725406119914684,2
Yolo,15.589876826863097,2.5
Tuolumne,15.529201919509838,3.5000000000000004
Stanislaus,15.52228621491053,1.3999999999999997
San Benito,15.49394132230252,3.4000000000000004
Shasta,15.448306388415952,1.9
Sacramento,15.376523244290919,1.1
Santa Barbara,15.369757285144797,1.3999999999999997
San Joaquin,15.34566809696397,1
Nevada,15.344481930896087,2.7
San Luis Obispo,15.314277259582795,2
San Bernardino,15.309635344513847,0.8
Santa Cruz,15.28464043023742,2
Solano,15.219994081707956,1.3999999999999997
El Dorado,15.209004486093578,1.9
Ventura,15.18405550611629,1
Riverside,15.182669382220555,0.6999999999999998
Napa,15.17920577924401,2
Sonoma,15.170399012047739,1.3999999999999997
Los Angeles,15.147838736383424,0.4
Contra Costa,15.106903536955024,0.9000000000000001
San Diego,15.096552975080801,0.5
Orange,15.09072032905883,0.6
San Francisco,15.083793953717805,1
Alameda,15.068832281169575,0.6999999999999998
Marin,15.041330401740977,1.3
Placer,15.025474377726287,1.1
San Mateo,15.01048802886546,0.9000000000000001
Santa Clara,15.00699201924364,0.6
Amador,15.000365708688273,2.4
