county,pov,moe
San Juan,49.99974680150905,31.6
Jackson,49.99938690797065,24.3
Huerfano,29.77663766987596,15.8
Bent,25.52197041098386,13.5
Costilla,21.82273800612569,12.9
Gilpin,21.784095857064877,18.5
Otero,21.27344569305346,6.800000000000001
Saguache,20.84918427910448,11.9
Sedgwick,20.457380390283404,11.700000000000001
Baca,19.989943524027193,9.1
Las Animas,19.848207635981435,9.2
Hinsdale,19.640449284930543,30.099999999999998
Yuma,19.13081207569895,9.2
Dolores,18.872912783862827,12.200000000000001
Rio Blanco,18.85601779092537,9.4
Prowers,18.461958118807203,7.8
Cheyenne,18.152195316925255,8.9
Phillips,18.130485755271827,8.8
Delta,18.10428809411769,6.199999999999999
Mineral,17.906649198383064,10.7
Alamosa,17.847095152220827,7.6
Kiowa,17.763218847087362,7.7
Logan,17.760427655521973,7.400000000000001
Conejos,17.614136426146896,6.1000000000000005
Crowley,17.486845550954214,6.5
Rio Grande,17.455681550963167,8
Moffat,17.3427587930117,6.5
Park,17.143305242879332,7.3
Gunnison,17.054677272691915,7.9
Montezuma,17.036209838134592,5.800000000000001
Fremont,17.005008258286892,4.5
Lake,16.96571678128987,7.6
Morgan,16.898297378627053,4.9
Montrose,16.835627137616058,4.9
Lincoln,16.581568335408488,5.700000000000001
Washington,16.54270809117115,5.1
Pueblo,16.4855399934707,3
Pitkin,16.47526104916624,5.9
Kit Carson,16.4567572942165,4.7
Chaffee,16.453139935758905,4.9
Archuleta,16.358247288964048,5
La Plata,16.35571933942635,3.4000000000000004
Eagle,16.35224971514905,4.7
Grand,16.264850493688808,5.3
San Miguel,16.211220492592716,4.9
Mesa,16.153358175021143,3.2
Custer,16.152257785004537,5.1
Summit,16.131916509955506,4.8
Clear Creek,16.100177198546685,4.9
Teller,15.89610057038144,3.8
Garfield,15.860151199958999,3.0999999999999996
Routt,15.640501183613859,2.7999999999999994
Denver,15.581111442436852,1.5
Larimer,15.554936258038065,2
Adams,15.495850948729814,1.3999999999999997
Weld,15.450768113802265,1.3999999999999997
Broomfield,15.439988451023574,1.9
Elbert,15.421042176083322,2
El Paso,15.410731527143732,1.3
Ouray,15.369546675035984,2.1
Jefferson,15.276621960507036,1.1
Boulder,15.273476900947802,1.1
Arapahoe,15.270905353751472,0.9000000000000001
Douglas,15.073683963600166,0.4
