county,pov,moe
Butte,31.08397206122277,13.8
Custer,24.978935140648673,14.800000000000002
Boundary,24.511668200313544,10.899999999999999
Lincoln,22.84314992568735,10.8
Boise,22.647398088113064,10.899999999999999
Valley,22.584918838750475,12
Washington,21.39112276815316,8.2
Camas,20.769962210057408,10.5
Adams,20.65623745891669,9.1
Power,20.424842817403594,9
Gooding,20.153874096821344,7.200000000000001
Jerome,20.08139571133159,6.5
Clark,20.013008859016605,9.6
Owyhee,19.88088617222716,6.3
Minidoka,19.874242228142148,6.5
Benewah,19.86932619395564,7.000000000000001
Oneida,19.387579941417115,7.000000000000001
Shoshone,19.30727639681714,6
Lewis,19.290071435189677,4.9
Gem,19.022031534233903,5.700000000000001
Teton,18.85412578592204,6.800000000000001
Clearwater,18.760782806928955,6
Blaine,18.623998114836894,6.199999999999999
Fremont,18.45483767601018,5.3
Nez Perce,18.338966532998153,4.8
Bear Lake,18.31915641846663,5.4
Payette,18.11530613095471,5.3
Twin Falls,18.01686346595286,4.3
Madison,17.958344841509014,4.4
Lemhi,17.88249465063168,5.1
Franklin,17.850290673850605,5.1
Cassia,17.606385349848814,4.3
Bonner,17.53511525414277,3.9
Idaho,17.37726897375965,4.4
Elmore,17.370541150678438,3.9
Latah,17.31204283222202,4
Caribou,16.99617997993307,3.9
Bannock,16.928343209113084,3
Bingham,16.8375020092781,3.0999999999999996
Jefferson,16.834159942129194,3.2
Bonneville,16.41070466307383,2.4
Kootenai,16.34815095039205,2.3
Canyon,16.007662392184766,1.7000000000000002
Ada,15.661285420408477,1.2
