county,pov,moe
Pulaski,25.295408480485122,9.1
Johnson,24.654676014159698,10.7
Pope,24.499045379742903,11.700000000000001
Warren,21.688186274253493,9.7
Perry,21.307649675998892,8
Alexander,21.209328059471815,10.3
Union,21.079360681901786,7.8
Scott,19.71755620206594,9.2
Gallatin,19.458053977386463,7.200000000000001
Bond,19.024632062918336,6.5
Stark,18.591953990539366,8.6
Hamilton,18.519909355186492,7.9
Lawrence,18.512840461690093,7.200000000000001
Jackson,18.438815165293853,4.8
Clay,18.310658210078635,6.6000000000000005
Hardin,18.25227620690374,8.7
Coles,18.140953647303444,5.1
Mason,17.977455230719798,6.800000000000001
Fayette,17.959599393184536,6.1000000000000005
White,17.923698149408782,6.6000000000000005
Wayne,17.877359260293357,5.800000000000001
Franklin,17.863469735398652,4.6
Schuyler,17.86004443180632,8.8
Montgomery,17.848746071580383,6.7
Hancock,17.751626066843944,5.800000000000001
Massac,17.740172242358543,6.6000000000000005
Edgar,17.73365238301507,6.1000000000000005
Wabash,17.605038874453168,6.199999999999999
Vermilion,17.603110580547778,3.9
Marion,17.58666770954401,4.2
Carroll,17.57830633673506,6.1000000000000005
Saline,17.52950248544641,4.8
Greene,17.365395407349002,5.1
De Witt,17.32928114837241,6
Henderson,17.292060814878436,6.5
Edwards,17.251358637004337,6.1000000000000005
McDonough,17.226254501034354,4.8
Stephenson,17.11842832593088,4.7
Fulton,17.111034031334754,4.4
Jasper,17.082124124980407,7.200000000000001
Whiteside,17.005011658017626,4.5
Macoupin,16.945114978286234,4.1
Lee,16.906105972337212,5.3
Effingham,16.89042234040761,4.9
Marshall,16.848737265740958,4.4
Richland,16.796873092038265,4.9
Jefferson,16.775112452188456,3.5000000000000004
DeKalb,16.752450866928424,3.8
Morgan,16.732547454520283,3.8
Williamson,16.700743923331572,4
LaSalle,16.687674940942763,3.0999999999999996
Knox,16.650773360004443,3.6000000000000005
Christian,16.63694994469818,4.8
Macon,16.605167617007822,3.2
Calhoun,16.590511484360036,5.5
Ford,16.581781958300247,4.1
Adams,16.562530817336427,4
Logan,16.55656809494666,4.3
Rock Island,16.550736613709915,2.6
Randolph,16.550115782855446,4.2
Pike,16.530261373288084,4.2
Cass,16.490203514462113,5
Bureau,16.488150932915126,3.5000000000000004
Peoria,16.48359299828028,2.7999999999999994
Moultrie,16.400791303594385,4.7
Boone,16.39188869916693,4
Winnebago,16.37181619544056,2.1
Washington,16.367437800557603,5.2
Brown,16.29255365956955,5.4
Putnam,16.291407022167625,4.5
Jersey,16.178517695792845,5.2
St. Clair,16.160096215468332,2.3
Menard,16.14754989132283,4.4
Douglas,16.095318448282438,4
Livingston,16.087549562209837,3.3000000000000003
Kankakee,16.085027311909922,2.3
Sangamon,16.081750634517896,2.4
Cumberland,16.06930785327809,4.1
Shelby,16.067935487075378,3.9
Ogle,16.00442768390815,3.5000000000000004
Henry,15.9466260457486,3.2
Champaign,15.935070854354105,2.6
Mercer,15.915625315688953,3.6000000000000005
Piatt,15.89567296811685,4.4
Clark,15.80070841281785,3.6000000000000005
Iroquois,15.791228099439492,2.7999999999999994
Crawford,15.740939625109235,3.3000000000000003
Jo Daviess,15.65830560903889,2.7999999999999994
Woodford,15.611519325132026,3.2
Tazewell,15.60242514655534,2.2
Grundy,15.589168822662348,2.7
Madison,15.550063191440286,1.5
Clinton,15.523705620144307,2.4
McLean,15.427684589431745,1.6
McHenry,15.39656433514431,1.8000000000000003
Kendall,15.370601457607712,2.2
Monroe,15.354585825758813,2.3
Kane,15.327844773181665,1.1
Lake,15.29881561485694,1.1
Cook,15.26733488773568,0.6
Will,15.20778118049077,0.9000000000000001
DuPage,15.13812438325253,0.6999999999999998
