county,pov,moe
Crawford,34.9773602612326,15.1
Switzerland,23.41757632878709,10.8
Martin,22.742646840618743,10.6
Parke,22.539883681372324,9.5
Orange,19.855164175738622,8.1
Blackford,19.714089599802964,8.9
Miami,19.256049921831714,5.2
Fulton,19.149198085466683,7.000000000000001
Scott,18.802391167348745,6.9
Sullivan,18.61183027586688,7.7
Warren,18.535745008957523,6.6000000000000005
Vermillion,18.508649170588885,6.7
Ohio,18.42700651630294,7.9
Jay,18.37068533876614,6.4
Fayette,18.34402090249118,5.9
Grant,18.31655870935708,3.7000000000000006
Shelby,18.29671641562499,5.5
Greene,18.248605660892046,5.3
Benton,18.214842731875063,5.9
Owen,18.21431364450684,6
Newton,18.17084360668068,6.800000000000001
Tipton,18.146099117329868,6.4
LaPorte,17.743719747284306,3.8
Pike,17.700111581381524,6.5
Jennings,17.44729468977106,4.7
Jackson,17.40052284497726,5.5
Washington,17.356876975068587,5.4
Vigo,17.317823356851616,3.0999999999999996
Dubois,17.239550202483578,5.1
Randolph,17.171659253841813,4.1
Henry,17.16208519644503,4.2
Pulaski,17.065800249884006,5.1
Wabash,16.946897040397445,4.6
Knox,16.922896515056447,4.3
Wayne,16.90012783938969,3.0999999999999996
Rush,16.894350657861416,5.3
Delaware,16.868556970439013,3.0999999999999996
Cass,16.86520212157687,4
Decatur,16.843219375194323,6
Adams,16.799690600082887,4.5
Madison,16.796855367619706,3.0999999999999996
Montgomery,16.76145895548696,3.8
Whitley,16.723640861291226,4.6
Steuben,16.71167220395531,5.1
Jefferson,16.671158687187518,3.9
Posey,16.606624125019017,5
Marshall,16.59801688868015,4.1
Brown,16.577695491926686,5.599999999999999
Huntington,16.53213551668864,4.2
DeKalb,16.52946761984926,3.8
Clay,16.46619626580432,4.4
Vanderburgh,16.440878252746085,2.6
Howard,16.422370085951037,3.2
Starke,16.381028597484697,4
Carroll,16.3718964019111,4.5
Gibson,16.300891914533715,4.3
Tippecanoe,16.237053363805412,2.7999999999999994
Monroe,16.215176617578823,3
Elkhart,16.18658738411522,2.5
Perry,16.15792603835792,3.5000000000000004
Union,16.1499686029257,5.2
Fountain,16.145317024564232,3.7000000000000006
Putnam,16.139755362137414,3.6000000000000005
Ripley,16.134644071296485,3.9
Lawrence,16.11436251038682,3.6000000000000005
Bartholomew,16.101121729263546,2.9000000000000004
Daviess,16.10056356723477,3.4000000000000004
Lake,16.089671403830895,1.7000000000000002
St. Joseph,16.07752373470311,2
Clinton,16.07643561979645,3.4000000000000004
Dearborn,16.068194050551394,3.3000000000000003
Franklin,16.02720599606927,3.8
Floyd,16.026562977409355,2.6
Morgan,15.959424431782276,2.9000000000000004
White,15.949956070190307,3.7000000000000006
Spencer,15.908467381212551,3.7000000000000006
Harrison,15.865015575637281,3.2
Clark,15.799662745763657,2.3
Jasper,15.771423872878756,3.2
Marion,15.75351999287278,1.3
Kosciusko,15.74290834025788,2.4
Allen,15.682983491069882,1.5
Noble,15.613829311630104,2.5
Johnson,15.579732352010984,2.2
Porter,15.561404983432977,1.8000000000000003
Wells,15.529456564863672,2.6
Warrick,15.483421079997662,2.3
Hancock,15.321291753910993,1.9
Boone,15.317226975480594,1.9
Hendricks,15.311913061372431,1.6
LaGrange,15.231251625494876,1.5
Hamilton,15.148341847332361,0.9000000000000001
