county,pov,moe
Oxford,19.761856091742374,4.4
Washington,18.9889823528302,2.9000000000000004
Piscataquis,18.784327417913303,5.3
Somerset,18.75769734682235,4.2
Franklin,18.29699180778991,4.8
Sagadahoc,17.816503712604636,5.700000000000001
Androscoggin,17.80585877626236,3.6000000000000005
Waldo,17.669171912817927,4.1
Lincoln,17.65436572976882,4.3
Aroostook,17.355786480676947,2.9000000000000004
Kennebec,17.193065958439313,3
Knox,17.083010391768568,3.9
Hancock,16.789856193240034,3.3000000000000003
Penobscot,16.48150645382446,2.4
York,15.941477875227674,2.3
Cumberland,15.41464716607904,1.3
