county,pov,moe
Mahnomen,27.136402490596822,4.2
Lake of the Woods,23.360624256023726,11
Watonwan,22.577120256609188,8.1
Koochiching,21.877321532197726,7.5
Pipestone,18.800283752738057,5
Todd,18.323334919098937,4.3
Nobles,18.27178258532019,5.599999999999999
Grant,18.267182272231743,6.1000000000000005
Mower,18.13650617275243,4.3
Clay,17.892332370288422,4.4
Cass,17.883799297825206,3.7000000000000006
Wilkin,17.880827099722005,6.9
Carlton,17.80438507313159,4.8
Martin,17.719204149552027,5.2
Big Stone,17.71801759967308,5.5
Beltrami,17.709916404476942,3.0999999999999996
Cottonwood,17.653833186186503,4.8
Chippewa,17.507262171768247,5.800000000000001
Faribault,17.49269062203564,4.2
Roseau,17.367140140798917,4.6
Wadena,17.293901196095902,5
Pennington,17.285024772794866,4.7
Kandiyohi,17.275072909609015,3.6000000000000005
Cook,17.17688897988502,5.5
Mille Lacs,16.981733509386466,3.7000000000000006
Jackson,16.9789677653869,4.5
Sibley,16.9290893414696,5.4
Aitkin,16.867491390699136,3.6000000000000005
Traverse,16.739180989277347,4.6
Polk,16.670997806127673,3.3000000000000003
Stearns,16.646706184903596,3.2
Nicollet,16.628293578103744,3.9
Pope,16.617544203211075,4.2
Itasca,16.594054167658037,3
Renville,16.59126736376475,3.3000000000000003
Swift,16.586135509901148,3.4000000000000004
Rice,16.57265233414792,3.8
Becker,16.565113944358938,2.7
Isanti,16.543612185736652,3.9
Marshall,16.51172545721316,4.4
Kanabec,16.50403238610238,3.8
Freeborn,16.431430093551345,3.2
Crow Wing,16.41781632035075,2.7999999999999994
Red Lake,16.394758452836243,4.1
Benton,16.37279959672526,3.5000000000000004
Lyon,16.351663045084596,3.0999999999999996
Norman,16.321783437673613,3.7000000000000006
Kittson,16.266991911680773,4
Ramsey,16.24001406829747,1.7000000000000002
Goodhue,16.210782404230986,2.9000000000000004
Lac qui Parle,16.201658773402894,3.3000000000000003
Blue Earth,16.18962900702537,2.7999999999999994
Fillmore,16.18962900702537,2.7999999999999994
Pine,16.133652876522564,2.6
Le Sueur,16.06507929940018,3.0999999999999996
Rock,16.06507929940018,3.0999999999999996
Morrison,16.030319428641512,2.7
Yellow Medicine,15.99636450589049,2.9000000000000004
Brown,15.992444029204325,3.2
Douglas,15.990241851590739,3
Redwood,15.983175360056915,2.7
Wabasha,15.947525104096233,2.9000000000000004
Stevens,15.920788465083326,3.0999999999999996
Hubbard,15.893096917347036,2.5
Clearwater,15.875960590285962,2.5
St. Louis,15.813024103535936,1.7000000000000002
Steele,15.808487130296752,2.5
McLeod,15.795354115043406,2.7999999999999994
Lake,15.75247704429449,3.0999999999999996
Winona,15.711468674661141,2.2
Otter Tail,15.693947316882426,2
Meeker,15.682305270077974,2.2
Lincoln,15.653326594499939,2.3
Murray,15.623782211979947,2.3
Sherburne,15.537711799696243,2.4
Scott,15.536173549438601,2.1
Waseca,15.49336331949617,2.4
Chisago,15.485109401873022,1.9
Houston,15.477006810803726,2.1
Olmsted,15.46484039767143,1.6
Dodge,15.359899588614237,1.7000000000000002
Hennepin,15.319504988607575,0.8
Anoka,15.312460545195622,1.1
Wright,15.279231880556498,1.3999999999999997
Dakota,15.232635827808233,0.9000000000000001
Washington,15.15766060491058,0.9000000000000001
Carver,15.154167750329917,1
