county,pov,moe
Worth,28.795472316623282,17.7
Carter,27.708791690146462,14.099999999999998
Wayne,24.94138738020051,12.6
Putnam,23.85582049672176,16.1
Mercer,23.384691670862928,15.2
Oregon,23.294978070516585,10
Pemiscot,22.5749550583382,7.1
Dallas,22.510036564402093,10.2
Wright,22.221483479938804,10.1
Reynolds,22.152041159178477,9.8
Ozark,21.457065947262766,10.1
Benton,21.295553692415996,8.3
Mississippi,20.40433034393972,8.1
Audrain,20.04438330757689,7.200000000000001
Bollinger,19.981251937425018,9.4
Linn,19.961341320590144,7.5
Morgan,19.740524308110402,8.4
Maries,19.718742291124396,9.3
Iron,19.665489982314977,7.9
Vernon,19.617219492914927,7.6
Washington,19.560276129134905,7.7
Clark,19.55010753541708,9.8
Bates,19.50559359168014,6.6000000000000005
Howell,19.496898447310578,6.4
Cedar,19.37531988633337,8
Miller,19.22394624563813,7.400000000000001
Harrison,19.197096368064408,8.2
Barry,19.155357426434875,6
Douglas,19.13912024338166,8.4
Laclede,18.984285739699132,7.000000000000001
Sullivan,18.89421616242089,7.1
Pike,18.876434654793233,7.400000000000001
Barton,18.872411521958522,7.000000000000001
Randolph,18.87101610425278,6.3
Dade,18.816911188448554,7.1
Texas,18.750606027951314,5.9
Dent,18.735309606001017,6.6000000000000005
Hickory,18.70691957506735,8.7
Monroe,18.66387652640182,7.200000000000001
Shelby,18.597092592462634,7.3
Madison,18.567261964451898,7.8
Chariton,18.52032616018753,6.4
Lewis,18.51909763555972,7.400000000000001
McDonald,18.51227730717403,5.700000000000001
Dunklin,18.43682668595166,5.3
Butler,18.423036187302856,5.4
Atchison,18.360057182274964,6.7
Caldwell,18.32664990670112,6.1000000000000005
Gasconade,18.21900342279409,6.4
Webster,18.18034770477976,5.700000000000001
Stoddard,18.117536369592198,5.9
Shannon,18.07661612512436,7.5
Ripley,18.05323043866818,6
Knox,18.023336954536255,7.3
Warren,17.909285388436462,6.4
Montgomery,17.891725632682267,5.800000000000001
Howard,17.872531495452677,6.3
Gentry,17.752365293995766,6
Daviess,17.734126289341802,5.5
Taney,17.721133101849883,4.7
Holt,17.585238365492,5.9
Stone,17.57741752605668,5.2
Camden,17.548519150996462,4.7
Ste. Genevieve,17.494550203988858,5.800000000000001
Henry,17.461631597428664,5.1
Moniteau,17.417395220766714,5.800000000000001
Polk,17.4166425202666,4.6
Nodaway,17.37915463943694,4.8
St. Francois,17.365409750587837,4.4
Callaway,17.358340306253396,5.3
New Madrid,17.354468694280033,4.6
Jasper,17.341518204782684,3.8
Grundy,17.3232748923128,4.9
Crawford,17.321483436437283,5
Buchanan,17.274608547541437,4.1
Clinton,17.260643590063122,5.599999999999999
Lawrence,17.258653092601563,4.4
Newton,17.233068476132335,4.3
Marion,17.227421625521664,4.9
Cooper,17.2202951663082,4.6
Perry,17.16622218450017,5.1
Carroll,17.133120513419556,5.2
Pettis,17.038166870236616,4.1
Pulaski,17.038166870236616,4.1
Ray,17.014546723369538,4.3
Scott,16.97340935100067,3.8
Saline,16.939902504356034,4.4
St. Louis,16.934883703385825,2.9000000000000004
Phelps,16.9034259194662,4.2
St. Clair,16.839699348558177,4.4
Adair,16.76956602464612,4.3
Ralls,16.758867473261894,4.7
Macon,16.730565029902795,4.1
Cape Girardeau,16.641087731619105,3.4000000000000004
DeKalb,16.513696193799518,4.1
Osage,16.505865997754388,4.5
Livingston,16.454569336509376,3.9
Lincoln,16.38059652015893,3.2
Lafayette,16.23815553285147,3.2
Christian,16.225910909945053,3.2
Boone,16.223630948228273,2.7
Schuyler,16.125398552872262,3.4000000000000004
Scotland,16.05256588312372,3.3000000000000003
Andrew,16.047925455406624,3
Cole,16.006648020342393,2.4
Platte,15.926125104453476,2.5
Johnson,15.922985484024096,2.5
Clay,15.778966202307206,2
Greene,15.726610641333583,1.7000000000000002
Jackson,15.720751588541912,1.3999999999999997
Cass,15.706244198627745,1.9
Franklin,15.682714500285769,1.8000000000000003
Jefferson,15.598763395152984,1.6
St. Louis,15.422089031683608,1
St. Charles,15.290302280672444,0.9000000000000001
