county,pov,moe
Humphreys,31.400226404486485,14.7
Jefferson,31.291650248876486,13.3
Tunica,29.540605309024283,15.8
Quitman,23.261695285661403,10.6
Winston,22.351591908455948,11
Kemper,21.842379663471313,11.1
Jefferson Davis,21.738512216546056,11.9
Montgomery,21.084242127476532,14.000000000000002
Holmes,20.92796515098303,9.1
Coahoma,20.713806411791964,6.9
Claiborne,20.599804326492695,13.699999999999998
Franklin,20.400672569589382,11.5
Leflore,20.390337848141034,8.1
Sharkey,20.076363529640094,12.6
Pike,19.78286441984252,7.5
Tallahatchie,19.63992979041776,8.7
Amite,19.59486469339506,9.4
Marion,19.332809177363835,10.4
Noxubee,19.195960168723563,9.7
Chickasaw,19.12423042083895,7.8
Covington,19.102231337170934,9.8
Yalobusha,19.069808341095122,10.2
Sunflower,18.922770305884452,6.5
Copiah,18.881458981124137,7.7
Newton,18.872565275921946,8.1
Yazoo,18.82186972193893,6.199999999999999
Bolivar,18.758686736248258,5.599999999999999
Wilkinson,18.756728858777873,10.3
Neshoba,18.68136905629156,6.1000000000000005
Attala,18.660307144562722,7.9
Adams,18.51213668875754,6.7
Benton,18.432070401352057,10.7
Stone,18.285060925623796,9.1
Washington,18.27103310824025,5
Grenada,18.107318236694958,8.1
Perry,18.01508988529994,9.4
Marshall,17.97056296988714,7.9
Jasper,17.97052911828455,10.1
Choctaw,17.952796744694147,10.1
Calhoun,17.82771304931953,8.3
Wayne,17.774946419144342,8.7
Carroll,17.763571462581915,11.400000000000002
Leake,17.750834728835375,7.1
Scott,17.55810386590417,7.8
Clay,17.554054571998048,7.3
Lawrence,17.514894414300603,8.5
Lauderdale,17.27134881759818,5.3
George,17.215513099977787,7.400000000000001
Jones,17.073777976487964,5.3
Tippah,17.022540118394136,7.9
Lincoln,16.918103480919267,5.599999999999999
Greene,16.829527388662914,7.6
Tate,16.791314043721734,8
Warren,16.766422606739045,5.9
Webster,16.656965490442605,7.400000000000001
Smith,16.60286005802867,6.9
Clarke,16.555600966461718,6.199999999999999
Pontotoc,16.510579184261047,5.599999999999999
Simpson,16.48572888790967,7.000000000000001
Tishomingo,16.46348092254792,6.3
Forrest,16.434313779229544,4.6
Hancock,16.330847680568684,6.800000000000001
Lowndes,16.191178023684145,4.2
Panola,16.14697706726184,5.2
Issaquena,16.097452851625626,18.9
Oktibbeha,16.06875333878755,5.700000000000001
Hinds,16.025340549726433,2.9000000000000004
Prentiss,15.962787047268186,6.7
Lamar,15.915758490354348,4
Alcorn,15.69610645166042,4.4
Pearl River,15.691212522687085,4
Monroe,15.649580340652127,5.5
Walthall,15.643272434180734,6.6000000000000005
Harrison,15.643254759891482,2.4
Lee,15.516746601669617,3.3000000000000003
Lafayette,15.51108884787066,5
Jackson,15.485428625810854,3.0999999999999996
Union,15.4119676047224,4.6
Madison,15.186613594028882,2.9000000000000004
Rankin,15.14410508327676,3.4000000000000004
DeSoto,15.116293460468222,1.9
Itawamba,15.000700941652525,4.6
