county,pov,moe
Bernalillo,21.5,1.6
Catron,31.5,20.0
Chaves,29.4,4.3
Cibola,33.2,6.7
Colfax,33.1,11.0
Curry,25.4,5.2
De Baca,12.1,11.9
Doña Ana,30.0,3.1
Eddy,12.8,4.1
Grant,32.7,7.5
Guadalupe,23.2,14.8
Harding,25.4,14.6
Hidalgo,38.6,14.0
Lea,21.1,3.8
Lincoln,26.9,9.1
Los Alamos,2.8,1.9
Luna,31.9,7.0
McKinley,45.1,4.4
Mora,29.1,19.7
Otero,24.5,4.7
Quay,41.4,15.7
Rio Arriba,27.6,5.7
Roosevelt,30.7,9.0
Sandoval,10.9,1.7
San Juan,32.0,3.6
San Miguel,31.1,8.9
Santa Fe,17.5,2.6
Sierra,41.5,17.3
Socorro,34.7,10.1
Taos,18.7,5.8
Torrance,26.5,7.9
Union,23.7,14.3
Valencia,22.3,4.2
