county,pov,moe
Sierra,33.92744927111626,17.3
Quay,32.06449580977798,15.7
Catron,28.6950672920405,20
Hidalgo,28.006544521364553,14.000000000000002
Mora,27.281017405596874,19.7
Colfax,23.02854118868913,11
Harding,22.878353378946347,14.6
Socorro,22.871992677847185,10.1
McKinley,22.659447070364138,4.4
Guadalupe,22.316366860752517,14.800000000000002
Union,22.21277212225963,14.3
San Miguel,20.99903980919954,8.9
Roosevelt,20.971954245309632,9
Grant,20.3866242213055,7.5
Lincoln,20.20765234740968,9.1
Cibola,19.909909353880963,6.7
Luna,19.869717546687298,7.000000000000001
Torrance,19.45087891342196,7.9
De Baca,18.537072088388875,11.9
Rio Arriba,18.35209752061533,5.700000000000001
Curry,17.805988874693217,5.2
Chaves,17.712097975599622,4.3
San Juan,17.51438177089531,3.6000000000000005
Otero,17.447513617637494,4.7
Taos,17.37403405808878,5.800000000000001
Valencia,17.001751167422384,4.2
Doña Ana,17.001480319687072,3.0999999999999996
Lea,16.72354288169465,3.8
Eddy,16.265219838973294,4.1
Santa Fe,16.00878415155044,2.6
Bernalillo,15.73787404923302,1.6
Sandoval,15.472599051231944,1.7000000000000002
Los Alamos,15.292918725626844,1.9
