county,pov,moe
Forest,28.016067100994853,16.7
Mifflin,23.146667104132806,6.199999999999999
Sullivan,22.16338092411945,7.9
Philadelphia,19.62339142498927,1.6
Cameron,19.550954707605122,9
Jefferson,17.377191564634764,3.4000000000000004
Potter,17.0107392155845,3.9
McKean,16.96929123616964,4.3
Greene,16.89984266832695,4.7
Cambria,16.888700067645882,3
Carbon,16.859116376119843,3.9
Clearfield,16.731131654897027,3.2
Mercer,16.697397822078738,2.7999999999999994
Luzerne,16.695191363516372,2
Venango,16.668683392788544,3.3000000000000003
Fayette,16.58862196838226,2.7999999999999994
Lawrence,16.542024672559972,3.3000000000000003
Columbia,16.53436440897179,3.6000000000000005
Warren,16.424063606935544,3.6000000000000005
Erie,16.368192127164612,2.3
Fulton,16.314648247429385,3.9
Pike,16.297839662934354,4.2
Wyoming,16.266588453111115,3.0999999999999996
Huntingdon,16.252092363162543,3.2
Lycoming,16.236015773893943,2.9000000000000004
Blair,16.19756389749775,2.9000000000000004
Northumberland,16.18487306903943,2.9000000000000004
Tioga,16.119760774582804,2.6
Bradford,16.11497328387722,2.7
Susquehanna,16.085446793098136,2.9000000000000004
Wayne,16.0401215264187,3.5000000000000004
Lebanon,16.00120563786934,2.9000000000000004
Schuylkill,15.97315919381212,2.6
Montour,15.96617609877638,5.700000000000001
Crawford,15.909818415542151,2.3
Clinton,15.903678843842114,3.3000000000000003
Monroe,15.896991289877741,3.0999999999999996
Lehigh,15.861387852382064,1.9
Juniata,15.853735497389621,4
Lackawanna,15.852424671650994,2
Clarion,15.79179856901341,2.7
Beaver,15.777191240480704,2.1
Somerset,15.751150397166603,2.4
Indiana,15.742188831023915,2.6
Franklin,15.732092761479107,2.6
Union,15.707035252191453,4
Armstrong,15.682988397911698,3.2
Dauphin,15.672474481052895,1.7000000000000002
Elk,15.649423174901706,3.6000000000000005
Berks,15.626026082202465,1.5
Bedford,15.539000192335712,2.4
Snyder,15.49690342803292,2.7
Adams,15.389860531085207,2.3
Washington,15.364240223011723,1.8000000000000003
Northampton,15.35933346155714,1.6
Perry,15.346311757734487,2.4
Delaware,15.301675921259648,1.3
Westmoreland,15.265030422655268,1.2
Allegheny,15.249932241539629,0.9000000000000001
Cumberland,15.177021708144231,1.3999999999999997
York,15.162274402969375,1
Centre,15.139930667878353,2
Lancaster,15.13044000077915,1.2
Butler,15.044118123720377,1.3999999999999997
Chester,15.026993582776857,1.1
Montgomery,15.014055618875355,0.8
Bucks,15.00012190289609,0.8
