county,pov,moe
Allendale,30.200274129493422,20.1
McCormick,27.593107605327166,18.5
Lee,27.31987328816877,10.3
Dillon,26.745419779021635,8.9
Barnwell,23.569721776862156,8.6
Marion,21.104145612595783,7.5
Marlboro,20.689658074087568,7.3
Union,19.084682214832803,6.800000000000001
Bamberg,18.75019847544943,8.2
Calhoun,18.555965510528075,9.1
Fairfield,18.3521552854882,9.3
Georgetown,18.182030893602377,7.000000000000001
Williamsburg,18.02414963879825,8
Jasper,17.991708480596998,8.3
Hampton,17.780560057276375,6.800000000000001
Darlington,17.767539055163727,5.599999999999999
Orangeburg,17.75909262883557,4.1
Clarendon,17.584112132543726,6.199999999999999
Chesterfield,17.139537683452595,5.3
Chester,17.029717334409096,6
Abbeville,16.935482095332222,5.599999999999999
Greenwood,16.880967097569314,4.6
Laurens,16.802234024456023,5
Colleton,16.60869148524295,6.4
Cherokee,16.475635583855748,4.3
Edgefield,16.45870105454118,5.700000000000001
Newberry,16.351830936984317,5.1
Saluda,16.327515043521622,6.1000000000000005
Oconee,16.012762361742357,4.3
Kershaw,15.929300182592529,3.8
Florence,15.850261173427135,3.0999999999999996
Dorchester,15.780558762277833,3.7000000000000006
Sumter,15.686370732142251,3
Anderson,15.61236793965817,2.6
Beaufort,15.599734441684904,3
Horry,15.575586457088676,2.7
Aiken,15.532950423230254,2.5
Richland,15.513560627222187,2.1
Lancaster,15.407680165937515,3.4000000000000004
Charleston,15.36770211560654,2.2
Spartanburg,15.367294841052953,1.9
Berkeley,15.24041999337731,2.2
Lexington,15.20360608060123,1.9
Pickens,15.193717796557069,2.7999999999999994
Greenville,15.126335962880036,1.3999999999999997
York,15.000274281516205,1.8000000000000003
