county,pov,moe
Mellette,29.42738044179014,13.600000000000001
Bennett,26.44539299604504,17.8
Jackson,25.125361952391522,13.699999999999998
Jones,24.96594560224939,16.9
Faulk,24.010108608018015,15.2
Oglala Lakota,23.750513399135986,8.8
Douglas,22.922646942039552,15.1
Fall River,21.37030005753339,11.600000000000001
Tripp,21.35228063392556,9.1
Corson,21.177258582422414,6.6000000000000005
Buffalo,21.162097763367015,9.6
Todd,21.065696788037442,6.1000000000000005
Ziebach,20.767598595650412,7.400000000000001
Bon Homme,20.423012379119836,11
Lyman,20.093148916278015,8.3
Roberts,19.88600993337833,8.2
Dewey,19.860045173727265,7.3
Charles Mix,19.47057091806858,8
Potter,19.2284795941363,10.1
Miner,19.087054891946405,9.8
Walworth,18.98080893556354,9.1
Perkins,18.60347833023005,8.3
Brule,18.548987621693374,7.7
Hutchinson,18.524333758759745,9
Day,18.400609919213657,7.1
Haakon,18.295936288500236,8.3
Lake,18.00125282961774,7.1
Davison,17.997181391318637,6.800000000000001
Hanson,17.997162248061173,7.7
Edmunds,17.98134772913778,7.8
Jerauld,17.80817854977281,7.200000000000001
Custer,17.763153182939917,7.000000000000001
Sully,17.719117329448867,7.7
Clay,17.64775917672913,6.3
Hyde,17.49873425948019,6.7
Grant,17.40844919365603,6.199999999999999
Hamlin,17.344850365654512,6
Gregory,17.339990816718732,5.4
Spink,17.231773266802637,5.3
Turner,17.089609977199952,5.2
Hughes,17.056723240159904,5.2
Brown,16.803187234525137,4.4
Marshall,16.771703642665774,4.8
Lawrence,16.755111593608007,4.5
Beadle,16.685185988812723,4.5
Moody,16.663874148415854,4.1
McCook,16.63081311424827,4.4
Yankton,16.63081311424827,4.4
Kingsbury,16.50077677398999,4.1
McPherson,16.482017642373485,4.1
Sanborn,16.479986107425784,4.2
Stanley,16.461723857294054,4.5
Hand,16.434854505398988,4.3
Clark,16.394453446260922,4
Brookings,16.377215270759816,3.9
Aurora,16.356268280678602,3.8
Pennington,16.28302408031396,2.9000000000000004
Codington,16.268198065389125,3.2
Meade,16.246544208136807,3.5000000000000004
Campbell,16.207307355881802,3.7000000000000006
Union,16.116528383373723,3
Butte,16.048244793987713,3.0999999999999996
Lincoln,16.004875545036352,2.7
Deuel,15.967712303392311,2.7999999999999994
Minnehaha,15.69220372917475,1.8000000000000003
Harding,15.606022781192443,1.9
