county,pov,moe
Culberson,46.21234733803568,31.3
Jeff Davis,44.17436513414481,43.8
Presidio,39.709118971579066,23.5
Kenedy,37.167675417302526,69.5
Loving,37.167675417302526,69.5
Kinney,36.01954313895151,30.2
Edwards,35.429935840687335,33.2
Real,28.824172021241672,22.499999999999996
Dimmit,28.469864954807427,16
Foard,27.79618333852002,16.5
Brooks,27.79333416726861,20
Concho,27.353532961409794,20.2
Cottle,26.540626216654196,18.9
Jim Hogg,26.360673697236503,16.4
Terrell,26.163577548281847,35
King,25.23562089394755,24.799999999999997
Zavala,24.65308971045658,12.200000000000001
Roberts,24.570000578798645,20.6
Throckmorton,24.479818741966994,17.2
McMullen,24.227213761044304,20.6
Kent,24.154133589591115,28.7
Swisher,24.104172490447727,14.499999999999998
La Salle,24.048894044106884,15.5
Pecos,23.55349723450464,13.900000000000002
Hudspeth,23.493518596505936,16.7
Upton,23.19021244806147,15.7
Frio,23.0147397003216,13.900000000000002
San Augustine,23.006828976916225,13.4
Duval,22.881477209891166,14.3
Sutton,22.826585705006686,16.2
Zapata,22.638171113158656,9.8
Menard,22.382823532149853,16.4
Reeves,22.320778124186237,13.200000000000001
Bailey,21.850088310785832,16.2
Young,21.4491917332235,12.6
Sherman,21.428937143787735,15.1
Coleman,21.280593466980672,13
Garza,21.215948724386497,12.3
Karnes,21.160051037916638,10.7
Cochran,21.07966740881233,11.1
Borden,21.06022781192443,19
Terry,20.989208331383296,9.9
Kleberg,20.901977668814048,9
Marion,20.856317109026335,11.700000000000001
Crosby,20.767497291069876,9.2
Dawson,20.58074532821631,10
Aransas,20.491290789356686,10.2
Collingsworth,20.481387717062674,11.199999999999998
Live Oak,20.47753061813028,10.5
Refugio,20.37293722801558,10.7
Wheeler,20.33692213100366,10.8
Hall,20.27466599194811,10
Martin,20.171155351327148,10.2
Shackelford,20.11016714033004,12.6
Yoakum,20.0766322097038,11
Lynn,19.921918734401988,9.2
Camp,19.843861371004643,9.3
Schleicher,19.728612745486526,10.899999999999999
Hemphill,19.701908064245067,11.8
Newton,19.691296305186818,7.9
Jack,19.593033696424474,9.6
Stephens,19.58289554385573,9.2
Donley,19.558786525202386,11.3
Uvalde,19.52693957499055,7.9
Deaf Smith,19.523053009432363,9.5
Tyler,19.48426755215479,8.2
San Saba,19.440291539368985,9
Brewster,19.30349538294463,10.5
Matagorda,19.241366449444396,7.6
Oldham,19.203441590909325,9.4
Winkler,19.155410379521737,9.2
Jim Wells,19.091120363488134,6.9
Bandera,19.05460929468447,8.8
Floyd,19.038048344949722,9
Jasper,18.967813610640103,7.000000000000001
Wilbarger,18.941172725858806,7.7
Willacy,18.894360414162133,7.000000000000001
Childress,18.872951384242732,9.6
Carson,18.824046376192825,9.7
Lamb,18.771924680212916,8.2
Starr,18.749581973626363,5.700000000000001
Hardeman,18.74436194379149,9.2
Dallam,18.725659735874515,9.4
San Jacinto,18.71215522423873,7.5
Trinity,18.67202825770467,7.7
Morris,18.664662867453664,8.1
Maverick,18.63760486610361,6.6000000000000005
Llano,18.624339579033183,7.6
Shelby,18.602759245914488,6.199999999999999
Limestone,18.571677010058437,6.4
Blanco,18.515648950803893,8.3
Milam,18.513280163884545,7.6
Bee,18.497139633483908,6.800000000000001
Comanche,18.489491248281965,7.7
Sabine,18.393206358753396,7.5
Kimble,18.390253694915998,8.2
Delta,18.37066320271001,7.5
Fisher,18.353210664410113,7.6
Ward,18.331274032799325,7.400000000000001
Panola,18.3119119422896,6.800000000000001
Ochiltree,18.269900082259436,7.8
Montague,18.25346359596337,7.3
Coke,18.24294960044859,8.3
Castro,18.186056490406628,7.6
McCulloch,18.163436801156692,7.8
Red River,18.157102217530987,6.1000000000000005
Andrews,18.15038296080399,7.7
Sterling,18.125801713518918,9.8
Franklin,18.079097691519465,7.7
Grimes,18.056038384882427,6.6000000000000005
Jackson,18.052468975916973,7.5
Runnels,18.04971957178169,7.200000000000001
Hale,18.02892888723509,6.1000000000000005
Cass,18.02556461689571,5.700000000000001
Scurry,18.00795361515247,7.200000000000001
Knox,17.999121128103372,7.5
Hamilton,17.98158934944713,7.1
Burleson,17.954968615516968,6.800000000000001
