county,pov,moe
Piute,29.343740784460703,13.8
Garfield,24.70414305727288,10.4
Grand,20.51446896183257,7.400000000000001
San Juan,20.190367762402527,4.6
Carbon,20.144074423147664,6.6000000000000005
Sanpete,20.138522246025794,6
Emery,19.03868443659398,5.5
Kane,18.857351035089987,7.5
Duchesne,18.451239427634853,4.7
Millard,18.320623435561618,5.599999999999999
Rich,17.411770652451136,7.200000000000001
Wayne,17.40124881673545,7.3
Sevier,17.175760382268113,4.2
Uintah,16.86203704357526,3.7000000000000006
Juab,16.84605767601904,4.1
Iron,16.823352220676682,3.9
Beaver,16.30719777108593,4.5
Cache,16.14382552728661,2.1
Washington,15.8335245497217,2
Box Elder,15.774379552492066,2.1
Wasatch,15.739394184820291,2.4
Weber,15.56252374579475,1.5
Davis,15.51154685771818,1.5
Summit,15.443591418314256,1.9
Tooele,15.378028493411389,1.6
Salt Lake,15.297503251214417,0.8
Daggett,15.26208517556086,1.7000000000000002
Morgan,15.21959211004148,1.3999999999999997
Utah,15.19197200354936,0.6
