county,pov,moe
Menominee,25.449106572430974,10.7
Richland,19.44032972321421,5.5
Price,19.322852283435704,5.3
Green Lake,19.196522371351367,5.599999999999999
Crawford,19.129819125239365,5.700000000000001
Sawyer,18.776575671356404,5.2
Forest,18.614003355217474,5
Vernon,18.42938294876511,4.4
Adams,18.2939658294302,4.3
Door,18.113627031558575,4.9
Ashland,18.10949927047559,4.5
Iron,18.092746959609958,4.8
Vilas,17.950468804431637,4.2
Langlade,17.93181441708633,4.7
Rusk,17.928714324004037,4.4
Florence,17.584717096188974,4.4
Barron,17.559007690327277,3.8
Bayfield,17.541159314493783,3.8
Pepin,17.30161320759047,3.9
Lafayette,17.178228061803562,3.5000000000000004
Douglas,17.15548402734909,3.4000000000000004
Clark,17.14714220796831,3.0999999999999996
Marquette,17.140583295346403,3.4000000000000004
Marinette,17.13934266471615,3.6000000000000005
Washburn,17.13494186222022,3.2
Oneida,17.10407317651795,3.5000000000000004
Waushara,17.06341236463921,3.0999999999999996
Jackson,17.034815134399828,3.0999999999999996
Monroe,16.99277724965652,3.0999999999999996
Grant,16.941947383706523,3
Lincoln,16.788220419546537,2.9000000000000004
Fond du Lac,16.779981012632796,2.9000000000000004
Chippewa,16.74661284422164,2.7999999999999994
Burnett,16.711707904071336,2.7
Juneau,16.57534074921277,2.4
Kenosha,16.546373479804977,2.4
Pierce,16.51996864023383,2.7999999999999994
Buffalo,16.517791106167888,2.7
Manitowoc,16.507511325141976,2.4
Racine,16.46095131723313,2.2
Eau Claire,16.43500217534093,2.5
Kewaunee,16.401534062047048,2.6
Polk,16.369963009318198,2.3
Dunn,16.33977627081672,2.4
Waupaca,16.338663620881874,2.3
Wood,16.32868191499289,2.2
Taylor,16.32326291154752,2.3
Sheboygan,16.320202001313653,2.3
Dodge,16.31714740532674,2.3
Sauk,16.310399400217406,2.2
Jefferson,16.308021099517003,2.3
Shawano,16.288951767768577,2.1
Green,16.277994308159563,2.3
Winnebago,16.256259437618315,2
Columbia,16.228128248248662,2.2
Walworth,16.21380350489331,2.1
Portage,16.148001740272743,2
Rock,16.146430803061943,1.8000000000000003
Iowa,16.021297585312517,1.8000000000000003
Oconto,16.002498555403232,1.8000000000000003
Milwaukee,15.994050026532392,1.2
La Crosse,15.954501458044623,1.8000000000000003
Marathon,15.922664470899516,1.6
Brown,15.916438088734658,1.5
Trempealeau,15.870584709630583,1.6
Calumet,15.854439700188427,1.6
St. Croix,15.84446760759503,1.6
Ozaukee,15.767761530743488,1.5
Outagamie,15.725712146692391,1.3
Washington,15.671724505934591,1.3
Dane,15.618359339549881,1.1
Waukesha,15.47167129700676,0.9000000000000001
