county,pov,moe
Barbour,32.5,9.5
Berkeley,13.4,2.1
Boone,16.1,4.3
Braxton,22.2,8.4
Brooke,12.5,5.0
Cabell,23.7,3.7
Calhoun,53.9,18.1
Clay,38.9,11.7
Doddridge,16.3,12.7
Fayette,30.2,6.4
Gilmer,5.9,7.2
Grant,11.0,7.2
Greenbrier,27.8,6.5
Hampshire,28.6,9.9
Hancock,16.5,5.3
Hardy,30.6,10.2
Harrison,19.1,4.2
Jackson,32.0,9.5
Jefferson,11.5,2.3
Kanawha,23.9,2.5
Lewis,25.3,7.1
Lincoln,28.1,9.2
Logan,33.0,8.2
McDowell,38.1,9.9
Marion,23.7,4.6
Marshall,23.4,6.5
Mason,27.6,8.2
Mercer,26.2,6.2
Mineral,20.5,7.0
Mingo,37.8,8.7
Monongalia,17.1,4.0
Monroe,22.3,11.0
Morgan,17.4,7.2
Nicholas,19.3,5.7
Ohio,15.5,3.7
Pendleton,24.2,9.9
Pleasants,4.7,3.0
Pocahontas,27.7,10.0
Preston,19.4,6.5
Putnam,19.0,5.8
Raleigh,28.0,5.3
Randolph,19.9,5.7
Ritchie,32.4,10.4
Roane,36.6,10.6
Summers,36.8,11.9
Taylor,24.8,8.2
Tucker,14.9,5.3
Tyler,13.1,7.4
Upshur,23.2,6.3
Wayne,19.0,5.8
Webster,25.5,9.0
Wetzel,14.5,5.9
Wirt,33.1,16.3
Wood,19.3,3.3
Wyoming,31.3,8.8
