state,fips,county,moe
MD,24001,Allegany,3.1
MD,24003,Anne Arundel,1.0
MD,24005,Baltimore,1.1
MD,24009,Calvert,1.6
MD,24011,Caroline,4.4
MD,24013,Carroll,1.0
MD,24015,Cecil,3.2
MD,24017,Charles,1.7
MD,24019,Dorchester,6.5
MD,24021,Frederick,1.2
MD,24023,Garrett,3.9
MD,24025,Harford,1.6
MD,24027,Howard,1.3
MD,24029,Kent,4.7
MD,24031,Montgomery,0.8
MD,24033,Prince George's,1.1
MD,24035,Queen Anne's,2.4
MD,24037,St. Mary's,2.4
MD,24039,Somerset,7.7
MD,24041,Talbot,4.4
MD,24043,Washington,2.4
MD,24045,Wicomico,3.4
MD,24047,Worcester,3.1
MD,24510,Baltimore,1.9
MO,29001,Adair,4.3
MO,29003,Andrew,3.0
MO,29005,Atchison,6.7
MO,29007,Audrain,7.2
MO,29009,Barry,6.0
MO,29011,Barton,7.0
MO,29013,Bates,6.6
MO,29015,Benton,8.3
MO,29017,Bollinger,9.4
MO,29019,Boone,2.7
MO,29021,Buchanan,4.1
MO,29023,Butler,5.4
MO,29025,Caldwell,6.1
MO,29027,Callaway,5.3
MO,29029,Camden,4.7
MO,29031,Cape Girardeau,3.4
MO,29033,Carroll,5.2
MO,29035,Carter,14.1
MO,29037,Cass,1.9
MO,29039,Cedar,8.0
MO,29041,Chariton,6.4
MO,29043,Christian,3.2
MO,29045,Clark,9.8
MO,29047,Clay,2.0
MO,29049,Clinton,5.6
MO,29051,Cole,2.4
MO,29053,Cooper,4.6
MO,29055,Crawford,5.0
MO,29057,Dade,7.1
MO,29059,Dallas,10.2
MO,29061,Daviess,5.5
MO,29063,DeKalb,4.1
MO,29065,Dent,6.6
MO,29067,Douglas,8.4
MO,29069,Dunklin,5.3
MO,29071,Franklin,1.8
MO,29073,Gasconade,6.4
MO,29075,Gentry,6.0
MO,29077,Greene,1.7
MO,29079,Grundy,4.9
MO,29081,Harrison,8.2
MO,29083,Henry,5.1
MO,29085,Hickory,8.7
MO,29087,Holt,5.9
MO,29089,Howard,6.3
MO,29091,Howell,6.4
MO,29093,Iron,7.9
MO,29095,Jackson,1.4
MO,29097,Jasper,3.8
MO,29099,Jefferson,1.6
MO,29101,Johnson,2.5
MO,29103,Knox,7.3
MO,29105,Laclede,7.0
MO,29107,Lafayette,3.2
MO,29109,Lawrence,4.4
MO,29111,Lewis,7.4
MO,29113,Lincoln,3.2
MO,29115,Linn,7.5
MO,29117,Livingston,3.9
MO,29119,McDonald,5.7
MO,29121,Macon,4.1
MO,29123,Madison,7.8
MO,29125,Maries,9.3
MO,29127,Marion,4.9
MO,29129,Mercer,15.2
MO,29131,Miller,7.4
MO,29133,Mississippi,8.1
MO,29135,Moniteau,5.8
MO,29137,Monroe,7.2
MO,29139,Montgomery,5.8
MO,29141,Morgan,8.4
MO,29143,New Madrid,4.6
MO,29145,Newton,4.3
MO,29147,Nodaway,4.8
MO,29149,Oregon,10.0
MO,29151,Osage,4.5
MO,29153,Ozark,10.1
MO,29155,Pemiscot,7.1
MO,29157,Perry,5.1
MO,29159,Pettis,4.1
MO,29161,Phelps,4.2
MO,29163,Pike,7.4
MO,29165,Platte,2.5
MO,29167,Polk,4.6
MO,29169,Pulaski,4.1
MO,29171,Putnam,16.1
MO,29173,Ralls,4.7
MO,29175,Randolph,6.3
MO,29177,Ray,4.3
MO,29179,Reynolds,9.8
MO,29181,Ripley,6.0
MO,29183,St. Charles,0.9
MO,29185,St. Clair,4.4
MO,29186,Ste. Genevieve,5.8
MO,29187,St. Francois,4.4
MO,29189,St. Louis,1.0
MO,29195,Saline,4.4
MO,29197,Schuyler,3.4
MO,29199,Scotland,3.3
MO,29201,Scott,3.8
MO,29203,Shannon,7.5
MO,29205,Shelby,7.3
MO,29207,Stoddard,5.9
MO,29209,Stone,5.2
MO,29211,Sullivan,7.1
MO,29213,Taney,4.7
MO,29215,Texas,5.9
MO,29217,Vernon,7.6
MO,29219,Warren,6.4
MO,29221,Washington,7.7
MO,29223,Wayne,12.6
MO,29225,Webster,5.7
MO,29227,Worth,17.7
MO,29229,Wright,10.1
MO,29510,St. Louis,2.9
VA,51001,Accomack,5.3
VA,51003,Albemarle,2.3
VA,51005,Alleghany,7.2
VA,51007,Amelia,7.4
VA,51009,Amherst,4.7
VA,51011,Appomattox,5.9
VA,51013,Arlington,1.6
VA,51015,Augusta,3.9
VA,51017,Bath,21.8
VA,51019,Bedford,4.7
VA,51021,Bland,12.3
VA,51023,Botetourt,3.6
VA,51025,Brunswick,10.0
VA,51027,Buchanan,7.5
VA,51029,Buckingham,5.9
VA,51031,Campbell,3.0
