seq_index,condition,status,n_failed_attempts,failed_participants,exclusion_reasons,sequence
0,animated-pixel,excluded,1,5a0f46bb7542890001aa7503,not_completed,anim_NE_NY_3;anim_WE_CO_3;anim_SO_MD_4;anim_MW_OH_2;anim_NE_NJ_4;anim_NE_ME_2;anim_WE_WY_1;anim_SO_WV_3;anim_MW_MI_4;anim_WE_AZ_2;anim_SO_TN_2;anim_NE_VT_1;anim_WE_HI_4;anim_SO_KY_1;anim_MW_MO_3;anim_MW_KS_1;anim_WE_NV_4
2,hop,excluded,1,fc19958a-2e30-498e-a1d2-1dafb1991057,missing_prolific_id,hom_MW_IL_4;hom_NE_MA_4;hom_WE_NM_1;hom_SO_KY_2;hom_NE_VT_3;hom_WE_WA_4;hom_WE_OR_3;hom_SO_WV_4;hom_MW_ND_3;hom_SO_AR_1;hom_NE_CT_2;hom_NE_RI_1;hom_MW_OH_1;hom_WE_HI_4;hom_MW_WI_2;hom_SO_VA_3;hom_WE_UT_2
5,hop,excluded,1,65c6bbe7f9428763522fa244,missing_prolific_id,hom_WE_HI_4;hom_NE_MA_4;hom_MW_IN_1;hom_SO_MD_3;hom_WE_NV_3;hom_NE_VT_3;hom_WE_UT_1;hom_MW_OH_4;hom_WE_MT_2;hom_MW_KS_2;hom_SO_GA_2;hom_NE_CT_2;hom_SO_TX_1;hom_MW_SD_3;hom_WE_AZ_4;hom_NE_RI_1;hom_SO_MS_4
6,sorted-pixel,excluded,1,664b8bef90cdb799d4c4c35d,not_completed,spix_SO_AL_1;spix_WE_CO_2;spix_WE_OR_1;spix_WE_NM_3;spix_MW_IA_4;spix_SO_TN_4;spix_NE_RI_1;spix_WE_WY_4;spix_NE_VT_3;spix_NE_MA_4;spix_MW_SD_2;spix_WE_HI_4;spix_NE_CT_2;spix_SO_AR_2;spix_MW_IN_3;spix_MW_MO_1;spix_SO_TX_3
7,threshold-pixel,excluded,1,6978dc467e0a1271d435937b,missing_prolific_id,tpix_SO_WV_2;tpix_MW_ND_4;tpix_WE_ID_2;tpix_NE_CT_3;tpix_WE_CO_1;tpix_SO_NC_4;tpix_NE_NH_2;tpix_NE_ME_4;tpix_SO_GA_1;tpix_MW_MN_2;tpix_MW_OH_3;tpix_NE_MA_1;tpix_MW_MI_1;tpix_WE_UT_4;tpix_SO_AR_3;tpix_WE_HI_4;tpix_WE_WA_3
9,threshold-pixel,excluded,2,65c10e1bba59f80070501946;67f1354157bc12085650777c,not_completed,tpix_NE_PA_1;tpix_WE_CO_4;tpix_WE_MT_1;tpix_NE_NH_4;tpix_MW_OH_1;tpix_WE_NM_2;tpix_SO_LA_4;tpix_WE_CA_3;tpix_WE_HI_4;tpix_MW_ND_3;tpix_MW_WI_2;tpix_MW_IL_4;tpix_SO_TN_3;tpix_NE_VT_2;tpix_SO_FL_1;tpix_SO_VA_2;tpix_NE_ME_3
11,threshold-pixel,excluded,1,564dd73edc21cd000dba8ce1,not_completed,tpix_WE_HI_4;tpix_WE_WA_2;tpix_MW_IN_4;tpix_NE_ME_3;tpix_NE_VT_2;tpix_SO_MD_3;tpix_SO_MS_4;tpix_MW_NE_3;tpix_NE_PA_1;tpix_MW_IA_2;tpix_NE_NH_4;tpix_SO_TX_1;tpix_MW_ND_1;tpix_WE_ID_3;tpix_WE_NM_4;tpix_WE_AZ_1;tpix_SO_GA_2
12,threshold-pixel-sorted,excluded,1,641357b26802e397b5627d5e,not_completed,tpxs_SO_SC_2;tpxs_WE_HI_4;tpxs_MW_KS_1;tpxs_SO_WV_1;tpxs_WE_OR_3;tpxs_NE_VT_4;tpxs_WE_NM_1;tpxs_SO_LA_3;tpxs_WE_WA_4;tpxs_NE_NH_3;tpxs_SO_OK_4;tpxs_MW_MO_3;tpxs_MW_OH_2;tpxs_WE_UT_2;tpxs_NE_RI_2;tpxs_NE_NY_1;tpxs_MW_MI_4
13,sorted-pixel,excluded,1,662973533159df515afdd606,not_completed,spix_NE_RI_2;spix_MW_WI_4;spix_MW_KS_3;spix_WE_MT_1;spix_SO_NC_4;spix_SO_WV_2;spix_SO_GA_1;spix_WE_HI_4;spix_SO_AR_3;spix_WE_NM_2;spix_WE_CO_4;spix_NE_NH_3;spix_NE_VT_4;spix_MW_IA_1;spix_WE_CA_3;spix_NE_NY_1;spix_MW_MI_2
15,pixel,excluded,1,14f077ef-5bb4-4643-b663-878dfdc21e3d,invalid_prolific_id,pix_SO_OK_1;pix_NE_VT_3;pix_NE_CT_2;pix_SO_FL_3;pix_MW_OH_2;pix_MW_MI_4;pix_MW_MO_3;pix_WE_NV_4;pix_NE_RI_1;pix_MW_KS_1;pix_SO_AL_2;pix_WE_HI_4;pix_WE_WY_1;pix_NE_MA_4;pix_SO_VA_4;pix_WE_CO_3;pix_WE_AZ_2
