state_file,county,pov,pr_exceed,moe
AKData1,Kusilvak Census Area,19.105744978565976,0.903,5.2
AKData1,Bethel Census Area,17.358113026402876,0.9020000000000004,3
AKData1,Yukon-Koyukuk Census Area,19.225690602299625,0.901,5.4
AKData2,Kusilvak Census Area,19.199638000033683,0.908,5.2
AKData2,Bethel Census Area,17.390113882373488,0.905,3
AKData2,Yukon-Koyukuk Census Area,19.244603447525172,0.9019999999999999,5.4
AKData3,Kusilvak Census Area,19.44156359489975,0.9200000000000002,5.2
AKData3,Bethel Census Area,17.445145958097658,0.9099999999999999,3
AKData3,Yukon-Koyukuk Census Area,19.225690602299625,0.901,5.4
AKData4,Kusilvak Census Area,19.78621873289986,0.9349999999999999,5.2
AKData4,Bethel Census Area,17.562440535519087,0.92,3
AKData4,Yukon-Koyukuk Census Area,19.302204988272276,0.9049999999999999,5.4
ALData1,Perry,25.42227571482132,0.903,13.199999999999998
ALData1,Sumter,22.231546614302143,0.902,9.2
ALData1,Wilcox,24.15566297164919,0.901,11.7
ALData2,Perry,25.660619538547035,0.9079999999999999,13.199999999999998
ALData2,Sumter,22.329682572612025,0.9049999999999999,9.2
ALData2,Wilcox,24.19664080297121,0.902,11.7
ALData3,Perry,26.274738356283976,0.9199999999999999,13.199999999999998
ALData3,Sumter,22.498447604832823,0.91,9.2
ALData3,Wilcox,24.15566297164919,0.901,11.7
ALData4,Perry,27.149632168130424,0.935,13.199999999999998
ALData4,Sumter,22.858150975591865,0.9199999999999999,9.2
ALData4,Wilcox,24.3214441412566,0.905,11.7
ARData1,Nevada,23.606273128147908,0.903,10.900000000000002
ARData1,Phillips,19.716226052805748,0.9020000000000001,6
ARData1,Lee,23.529634734271465,0.9009999999999999,10.900000000000002
ARData2,Nevada,23.80308734622445,0.908,10.900000000000002
ARData2,Phillips,19.780227764746975,0.905,6
ARData2,Lee,23.56781066259711,0.902,10.900000000000002
ARData3,Nevada,24.31020061238602,0.92,10.900000000000002
ARData3,Phillips,19.89029191619532,0.9100000000000001,6
ARData3,Lee,23.529634734271465,0.9009999999999999,10.900000000000002
ARData4,Nevada,25.03265080550164,0.9349999999999999,10.900000000000002
ARData4,Phillips,20.12488107103817,0.9199999999999999,6
ARData4,Lee,23.68408043929034,0.9050000000000001,10.900000000000002
AZData1,Apache,17.526612294502137,0.9029999999999999,3.2
AZData1,Navajo,17.122301723762586,0.9020000000000001,2.7
AZData1,Gila,19.14743707262741,0.9010000000000001,5.3
AZData2,Apache,17.584392615405342,0.9079999999999999,3.2
AZData2,Navajo,17.15110249413614,0.9050000000000001,2.7
AZData2,Gila,19.16599967997841,0.902,5.3
AZData3,Apache,17.73326990455369,0.9199999999999999,3.2
AZData3,Navajo,17.200631362287893,0.9100000000000001,2.7
AZData3,Gila,19.14743707262741,0.9010000000000001,5.3
AZData4,Apache,17.945365374092223,0.9349999999999999,3.2
AZData4,Navajo,17.306196481967177,0.9199999999999998,2.7
AZData4,Gila,19.222534525526495,0.905,5.3
CAData1,Mariposa,22.579836883506413,0.903,9.6
CAData1,Trinity,24.668263408251786,0.9020000000000001,12.3
CAData1,Madera,17.895380597871966,0.901,3.7000000000000006
CAData2,Mariposa,22.753177846216023,0.9079999999999998,9.6
CAData2,Trinity,24.7994669177313,0.9050000000000001,12.3
CAData2,Madera,17.90833939923021,0.902,3.7000000000000006
CAData3,Mariposa,23.199809713661075,0.9199999999999999,9.6
CAData3,Trinity,25.025098428200405,0.91,12.3
CAData3,Madera,17.895380597871966,0.901,3.7000000000000006
CAData4,Mariposa,23.836096122276672,0.935,9.6
CAData4,Trinity,25.506006195628256,0.92,12.3
CAData4,Madera,17.947807121593968,0.905,3.7000000000000006
COData1,San Juan,39.95029640820861,0.903,31.6
COData1,Jackson,34.10071551386328,0.902,24.3
COData1,Huerfano,27.364057688210018,0.901,15.8
COData2,San Juan,40.52087707712776,0.9079999999999999,31.6
COData2,Jackson,34.359922447225244,0.905,24.3
COData2,Huerfano,27.41939527238847,0.902,15.8
COData3,San Juan,41.991040307467706,0.9199999999999999,31.6
COData3,Jackson,34.80568226059104,0.91,24.3
COData3,Huerfano,27.364057688210018,0.901,15.8
COData4,San Juan,44.08548306916072,0.935,31.6
COData4,Jackson,35.7557683377046,0.92,24.3
COData4,Huerfano,27.587933113833696,0.9049999999999999,15.8
CTData1,Greater Bridgeport,16.184349513047877,0.9030000000000001,1.5
CTData1,South Central Connecticut,16.179056513201438,0.9020000000000001,1.5
CTData1,Capitol,15.782535296722152,0.9010000000000001,1
CTData2,Greater Bridgeport,16.211434038471253,0.9079999999999999,1.5
CTData2,South Central Connecticut,16.195056941186742,0.9049999999999998,1.5
CTData2,Capitol,15.786037675467623,0.9019999999999998,1
CTData3,Greater Bridgeport,16.281220267759544,0.9200000000000002,1.5
CTData3,South Central Connecticut,16.22257297904883,0.9100000000000001,1.5
CTData3,Capitol,15.782535296722152,0.9010000000000001,1
CTData4,Greater Bridgeport,16.38064001910573,0.9350000000000002,1.5
CTData4,South Central Connecticut,16.281220267759544,0.9200000000000002,1.5
CTData4,Capitol,15.796704627457828,0.9049999999999998,1
FLData1,Franklin,26.13288542265004,0.903,14.1
FLData1,Hardee,22.231546614302143,0.902,9.2
FLData1,Gadsden,19.851718839677343,0.9009999999999998,6.199999999999999
FLData2,Franklin,26.387479961629793,0.908,14.1
FLData2,Hardee,22.329682572612025,0.9049999999999999,9.2
FLData2,Gadsden,19.87343358789927,0.9019999999999999,6.199999999999999
FLData3,Franklin,27.043470516939703,0.9199999999999999,14.1
FLData3,Hardee,22.498447604832823,0.91,9.2
FLData3,Gadsden,19.851718839677343,0.9009999999999998,6.199999999999999
FLData4,Franklin,27.978016179593865,0.9350000000000002,14.1
FLData4,Hardee,22.858150975591865,0.9199999999999999,9.2
FLData4,Gadsden,19.93956869023854,0.905,6.199999999999999
GAData1,Telfair,24.31688283597663,0.9029999999999999,11.8
GAData1,Hancock,33.00026276820861,0.902,22.9
GAData1,Treutlen,29.08563534099875,0.901,18
GAData2,Telfair,24.529947769307203,0.908,11.8
GAData2,Hancock,33.244535968784284,0.905,22.9
GAData2,Treutlen,29.14867815841724,0.902,18
GAData3,Telfair,25.07893277304174,0.9199999999999999,11.8
GAData3,Hancock,33.664614146812134,0.91,22.9
GAData3,Treutlen,29.08563534099875,0.901,18
GAData4,Telfair,25.861034816965077,0.935,11.8
GAData4,Hancock,34.55996275446236,0.92,22.9
GAData4,Treutlen,29.34068329424092,0.905,18
HIData4,Hawaii,20.338080226580292,0.9249999999999999,6.1000000000000005
HIData4,Maui,18.50349908680526,0.915,4.2
HIData4,Honolulu,21.897868664529884,0.905,8.658
IAData1,Clarke,24.71166600699259,0.903,12.3
IAData1,Osceola,23.017584289769772,0.902,10.2
IAData1,Crawford,21.182028844105005,0.9009999999999999,7.9
IAData2,Clarke,24.933759115464287,0.908,12.3
IAData2,Osceola,23.126387200069857,0.905,10.2
IAData2,Crawford,21.20969763619423,0.902,7.9
IAData3,Clarke,25.506006195628256,0.92,12.3
IAData3,Osceola,23.31349625753204,0.91,10.2
IAData3,Crawford,21.182028844105005,0.9009999999999999,7.9
IAData4,Clarke,26.32124815666699,0.935,12.3
IAData4,Osceola,23.712297820764896,0.9200000000000002,10.2
IAData4,Crawford,21.29396655691685,0.905,7.9
IDData1,Butte,25.89601552004047,0.903,13.8
IDData1,Lewis,18.85158460979136,0.902,4.9
IDData1,Boundary,23.529634734271465,0.9009999999999999,10.900000000000002
