county,pov,moe
Adair,12.6,4.3
Andrew,7.7,3.0
Atchison,19.1,6.7
Audrain,30.8,7.2
Barry,30.4,6.0
Barton,22.5,7.0
Bates,29.9,6.6
Benton,33.5,8.3
Bollinger,21.0,9.4
Boone,15.7,2.7
Buchanan,22.6,4.1
Butler,27.3,5.4
Caldwell,22.0,6.1
Callaway,15.1,5.3
Camden,21.8,4.7
Cape Girardeau,17.8,3.4
Carroll,12.5,5.2
Carter,38.9,14.1
Cass,9.5,1.9
Cedar,22.1,8.0
Chariton,22.3,6.4
Christian,10.4,3.2
Clark,16.5,9.8
Clay,10.9,2.0
Clinton,12.0,5.6
Cole,13.2,2.4
Cooper,17.8,4.6
Crawford,16.5,5.0
Dade,21.5,7.1
Dallas,32.5,10.2
Daviess,18.8,5.5
DeKalb,9.3,4.1
Dent,23.3,6.6
Douglas,18.5,8.4
Dunklin,28.1,5.3
Franklin,10.1,1.8
Gasconade,19.2,6.4
Gentry,16.1,6.0
Greene,13.8,1.7
Grundy,17.2,4.9
Harrison,19.8,8.2
Henry,17.8,5.1
Hickory,13.7,8.7
Holt,14.6,5.9
Howard,15.9,6.3
Howell,30.9,6.4
Iron,24.8,7.9
Jackson,20.0,1.4
Jasper,26.3,3.8
Jefferson,9.7,1.6
Johnson,9.3,2.5
Knox,12.8,7.3
Laclede,23.5,7.0
Lafayette,10.7,3.2
Lawrence,19.9,4.4
Lewis,17.3,7.4
Lincoln,14.1,3.2
Linn,28.8,7.5
Livingston,9.6,3.9
McDonald,26.3,5.7
Macon,13.4,4.1
Madison,16.0,7.8
Maries,19.5,9.3
Marion,15.8,4.9
Mercer,22.4,15.2
Miller,23.6,7.4
Mississippi,29.1,8.1
Moniteau,13.0,5.8
Monroe,19.6,7.2
Montgomery,18.9,5.8
Morgan,23.2,8.4
New Madrid,19.8,4.6
Newton,20.3,4.3
Nodaway,18.7,4.8
Oregon,36.4,10.0
Osage,6.5,4.5
Ozark,27.6,10.1
Pemiscot,43.2,7.1
Perry,13.6,5.1
Pettis,18.8,4.1
Phelps,15.7,4.2
Pike,20.6,7.4
Platte,9.4,2.5
Polk,20.7,4.6
Pulaski,18.8,4.1
Putnam,22.3,16.1
Ralls,9.7,4.7
Randolph,26.2,6.3
Ray,16.8,4.3
Reynolds,32.2,9.8
Ripley,19.6,6.0
St. Charles,5.5,0.9
St. Clair,13.1,4.4
Ste. Genevieve,14.0,5.8
St. Francois,21.5,4.4
St. Louis,13.4,1.0
Saline,14.8,4.4
Schuyler,6.2,3.4
Scotland,5.2,3.3
Scott,20.3,3.8
Shannon,12.5,7.5
Shelby,18.5,7.3
Stoddard,20.9,5.9
Stone,18.7,5.2
Sullivan,22.2,7.1
Taney,24.1,4.7
Texas,27.4,5.9
Vernon,25.8,7.6
Warren,15.8,6.4
Washington,24.9,7.7
Wayne,34.8,12.6
Webster,22.8,5.7
Worth,34.4,17.7
Wright,31.5,10.1
"St. Louis city, Missouri ",29.1,2.9
