county,pov,moe
Beaverhead,13.1,6.4
Big Horn,31.1,5.5
Blaine,24.0,6.5
Broadwater,11.6,8.0
Carbon,12.9,5.6
Carter,22.3,12.9
Cascade,17.1,3.3
Chouteau,15.6,5.7
Custer,6.8,4.0
Daniels,22.7,15.7
Dawson,6.3,3.7
Deer Lodge,30.0,10.6
Fallon,5.9,6.6
Fergus,24.2,10.6
Flathead,11.0,2.7
Gallatin,8.1,3.2
Garfield,7.8,10.4
Glacier,32.9,8.2
Golden Valley,10.5,7.8
Granite,2.0,2.6
Hill,21.4,6.7
Jefferson,4.7,3.0
Judith Basin,26.9,17.5
Lake,25.0,5.7
Lewis and Clark,10.8,2.7
Liberty,33.3,18.2
Lincoln,31.7,9.1
McCone,1.7,2.6
Madison,7.0,3.1
Meagher,25.6,14.6
Mineral,22.2,9.2
Missoula,9.9,2.2
Musselshell,17.6,9.6
Park,18.8,7.9
Petroleum,0.0,30.7
Phillips,4.8,3.1
Pondera,30.9,8.2
Powder River,11.7,8.5
Powell,5.2,6.1
Prairie,12.2,10.4
Ravalli,12.6,3.5
Richland,4.4,3.0
Roosevelt,36.5,6.6
Rosebud,26.7,8.8
Sanders,23.6,9.1
Sheridan,9.8,5.1
Silver Bow,19.0,4.9
Stillwater,7.3,4.0
Sweet Grass,3.8,5.2
Teton,21.0,10.9
Toole,11.7,9.4
Treasure,16.9,11.3
Valley,16.3,7.5
Wheatland,27.6,15.3
Wibaux,30.5,16.4
Yellowstone,13.4,1.9
