county,pov,moe
Perry,29.53934400180807,13.199999999999998
Wilcox,24.759747456100357,11.700000000000001
Sumter,23.695390316286346,9.2
Greene,23.041800624465715,13.4
Hale,22.197607008124425,12.5
Bullock,21.963758076378966,11.700000000000001
Lowndes,20.912806330563537,10.1
Conecuh,20.383046905001116,13
Pickens,19.568426560234435,8
Dallas,19.250092592538,7.199999999999999
Bibb,18.4447886092262,8.1
Fayette,18.347933718801624,8.3
Barbour,18.135236211483857,5.4
Marengo,17.977485845855966,8.5
Macon,17.710517533630956,7.500000000000001
Butler,17.40724801333476,7.1
Russell,17.20485017134972,7.1
Monroe,17.09485978545894,8.200000000000001
Choctaw,16.970634406204745,7.199999999999999
Coosa,16.75446810544761,10.8
Franklin,16.223198320355298,7.199999999999999
Pike,16.162597004331975,5.3
Clarke,16.086974427766993,5.699999999999999
Chambers,15.635821366549338,5.1
Geneva,15.594312358364798,5.699999999999999
DeKalb,15.511962884309796,4.4
Escambia,15.31085783840024,5.4
Clay,15.008447577518549,7.6
Dale,14.995506901073059,4.6
Colbert,14.666438790270428,5.4
Jackson,14.66033805823575,4.9
Randolph,14.531279855162852,6.1000000000000005
Covington,14.476997384878432,4.8
Tallapoosa,14.435338216160993,4.9
Winston,14.219174261692014,6
Talladega,14.167733629375205,4.1000000000000005
Lawrence,14.137673041874555,6.999999999999999
Washington,13.815876686592466,6.7
Montgomery,13.590623735050375,2.7
Cleburne,13.488681714689395,7.6
Marion,12.85616278311254,6.199999999999999
Lamar,12.730784756074357,8.7
Crenshaw,12.676131823702393,6.5
Coffee,12.631429200156827,3.4999999999999996
Marshall,12.563703252844716,3.2999999999999994
Henry,12.5068539265587,5.2
Houston,11.710473288003602,2.2
Walker,11.697246847215828,4
Etowah,11.410109295905094,2.9000000000000004
Cherokee,11.395832406475655,4.9
Calhoun,11.282178267849211,2.9000000000000004
Mobile,11.18264884527782,1.7000000000000002
Tuscaloosa,10.405841299715163,2.7999999999999994
Jefferson,10.25936731229417,1.7000000000000002
Lauderdale,9.737851737080097,2.9000000000000004
Chilton,9.616089362414204,4.2
Morgan,9.575192458554357,2.9000000000000004
Blount,9.466966270134423,3
Lee,9.214850179107165,3.2
Cullman,8.740454590941038,3.0999999999999996
Limestone,8.608790359609435,3.2999999999999994
St. Clair,8.397728383774805,3.4000000000000004
Autauga,7.815265341961158,3.4999999999999996
Madison,7.488111598367968,1.7000000000000002
Elmore,7.210950912761602,2.9000000000000004
Baldwin,6.4966139995498935,1.9
Shelby,5.742495175610478,1.5
