county,pov,moe
La Paz,20.32321748325273,8.200000000000001
Gila,19.222534525526495,5.3
Santa Cruz,18.727241662813363,5.599999999999999
Apache,17.945365374092223,3.2
Navajo,17.306196481967177,2.7
Mohave,17.089647600182772,3.2999999999999994
Yuma,15.149018771367714,2.7
Graham,14.944246919264273,4.4
Cochise,14.425139494966178,2.9000000000000004
Yavapai,12.119574506090853,2.9000000000000004
Pima,11.372955161383489,1.3
Greenlee,10.25846500459093,8.3
Maricopa,9.912209931388297,0.658
Pinal,9.565456331197364,1.5
Coconino,9.138730751916132,2.5
