county,pov,moe
Trinity,26.62535879242632,12.3
Mariposa,25.574068364951323,9.6
Sierra,23.173198454910686,18.1
Modoc,22.595009156389743,13.3
Alpine,18.519640174679168,10
Madera,18.086415862185582,3.7000000000000006
Mono,17.554029192541865,7.6
Glenn,17.472482217365403,6
Tehama,16.906181780857914,4.6
Imperial,16.860416562376397,3.0999999999999996
Siskiyou,16.827734480574495,4.9
Del Norte,16.438389801596827,5.3
Plumas,16.402556127207816,5.9
Merced,16.398061725750846,2.4
Lake,16.304307773866515,3.8
Kings,16.303086493685647,3.2
Mendocino,16.30110562705802,4
Calaveras,16.268569803187393,5.2
Tulare,15.922822147324828,1.6
Yuba,15.90093711375919,3.4999999999999996
Fresno,15.831893208543807,1.3999999999999997
Kern,15.823676574294604,1.3999999999999997
Lassen,15.784138821254428,4.7
Colusa,15.734769389858865,4.4
Inyo,15.708005721770531,6
Sutter,15.469445700132942,3.4000000000000004
Humboldt,15.372978972521139,2.6
Butte,14.819274119050116,2.3
Monterey,14.34255862301638,2
Stanislaus,13.911875778309007,1.3999999999999997
Tuolumne,13.651136227148191,3.4999999999999996
Yolo,13.521532215196494,2.5
San Benito,13.401050780656776,3.4000000000000004
San Bernardino,13.309717741997048,0.8
Sacramento,13.004844041620602,1.1
San Joaquin,12.991010664782651,1
Los Angeles,12.943940831480061,0.658
Shasta,12.942345414195191,1.9
Santa Barbara,12.602647328347919,1.3999999999999997
San Luis Obispo,12.60137533434712,2
Nevada,12.341507125731297,2.7
Riverside,11.978850819657886,0.6999999999999998
Solano,11.908624988860275,1.3999999999999997
Ventura,11.813482855986033,1
Santa Cruz,11.805271894014165,2
San Diego,11.707493866687502,0.658
Orange,11.240525620735141,0.658
El Dorado,11.052713081310255,1.9
Sonoma,11.034185193903037,1.3999999999999997
Napa,10.706685251905226,2
Contra Costa,10.611439744212003,0.8999999999999999
Alameda,10.209722040053537,0.6999999999999998
San Francisco,9.918511059674943,1
Marin,9.792751462496472,1.3
Placer,9.40589091130418,1.1
San Mateo,8.963905319675863,0.8999999999999999
Santa Clara,8.389586597034663,0.658
Amador,7.916263025537762,2.4
