county,pov,moe
Franklin,27.043470516939706,14.100000000000001
Lafayette,24.114473321860018,13.5
Glades,23.22160894797832,11.8
Taylor,22.739876338449303,11.5
Hardee,22.498447604832823,9.2
Dixie,22.06573641124979,10.4
DeSoto,21.441744644438966,9.1
Hamilton,21.38067693899734,9.1
Washington,21.369678824768254,9.2
Madison,21.080910870555485,8.7
Calhoun,20.879671957824492,8.600000000000001
Liberty,20.656749014715196,8.3
Jefferson,20.160015615591416,7.500000000000001
Sumter,20.151154162465957,7.3
Bradford,20.147235363440007,7.6
Gadsden,19.851718839677346,6.199999999999999
Hendry,19.595115309613902,6.7
Jackson,19.55515375751285,6.599999999999999
Okeechobee,19.375645656454875,6.3
Putnam,19.220404088590865,6
Union,18.578617963484785,10.1
Holmes,17.66978305065,8.4
Levy,17.30518236584258,5.800000000000001
Citrus,15.996860077708222,3.8
Highlands,15.861276827179637,4.2
Baker,15.741967127330383,6.199999999999999
Suwannee,15.398350910118284,4.8
Escambia,14.740760897971514,2.4
Columbia,14.4136707761257,4
Walton,13.572307657088034,4.4
St. Lucie,13.386266397026656,2.6
Martin,13.383254880075532,4
Gulf,13.197889070454377,6.9
Polk,13.101051644694156,1.3999999999999997
Marion,13.096853405898184,1.9
Charlotte,13.02877886448596,3.2999999999999994
Duval,12.396029043397325,1.3999999999999997
Leon,12.323614084497795,2.2
Osceola,11.844888226507196,2
Indian River,11.709409276694851,2.9000000000000004
Miami-Dade,11.62021732198308,0.8999999999999999
Alachua,11.464443532251355,2.7999999999999994
Bay,11.392131767102756,2.4
Orange,11.27129863554405,1.1
Hernando,11.007005038488185,2.7999999999999994
Hillsborough,10.878926408107652,1
Lee,10.825277815170766,1.5
Collier,10.465552251454014,2.3
Pasco,10.403156876162342,1.6
Gilchrist,10.12228178414608,5.4
Monroe,10.00232483937058,3.5999999999999996
Broward,9.982922000835536,1
Manatee,9.95724111865764,2.2
Okaloosa,9.893754439989365,2.6
Flagler,9.863366630635756,3.0999999999999996
Volusia,9.811463814006283,1.7000000000000002
Palm Beach,9.662516337197047,1.1
Lake,9.659563142054953,2.5
Clay,9.233682308745578,3.0999999999999996
Nassau,8.838114817405716,3.8
Pinellas,8.556980563231912,1.2
Brevard,8.470306888864027,2
Sarasota,7.749528279067373,2
Seminole,7.246409825855812,1.2
Santa Rosa,7.113035810330954,2.1
St. Johns,6.54082778704873,1.6
Wakulla,6.1713692331043655,3.5999999999999996
