county,pov,moe
Hancock,33.664614146812134,22.900000000000002
Webster,32.74472687265474,25.1
Clay,31.13100940604307,23.6
Quitman,30.877423689866728,23.5
Treutlen,29.08563534099875,18
Clinch,26.18225100092878,15.9
Telfair,25.07893277304174,11.8
Warren,24.404621270268958,13.600000000000001
Randolph,24.07905700381871,13.3
Pulaski,24.0120989742411,13.100000000000001
Calhoun,23.978080680545393,13
Lanier,23.814006337586793,12.5
McIntosh,23.5085136976809,12.399999999999999
Brooks,23.40380781371334,12.200000000000001
Early,22.765073524143393,11.199999999999998
Irwin,22.48027662338668,11.1
Screven,22.478054452426786,10.8
Taylor,22.36816663553191,10.6
Miller,22.35347367241656,10.8
Wilkinson,22.195488703034155,10.5
Jeff Davis,22.189448057882043,10.6
Appling,22.13629482469558,10.2
Crisp,21.73399993787631,9.6
Charlton,21.55241984909,9.5
Terrell,21.512533047125107,9.2
Lincoln,21.501802564995305,9.5
Dooly,21.47866360076299,9.2
Wilcox,21.27215349957321,9.2
Atkinson,21.07194451007603,8.600000000000001
Mitchell,20.970157604340645,8.5
Ben Hill,20.74448335749809,8.200000000000001
Grady,20.303999911551994,7.8
Sumter,20.249655255643876,7.8
Decatur,20.226870738188065,7.500000000000001
Tift,20.00613884122916,7.400000000000001
Meriwether,19.606162481077455,6.800000000000001
Elbert,19.48221971391327,6.599999999999999
Colquitt,19.09583508990756,5.9
Ware,19.036871405401637,5.800000000000001
Laurens,18.29787715193147,4.8
Stewart,18.295302685205534,18.1
Dougherty,18.209978571765664,4.6
Bibb,18.004531729680327,4.300000000000001
Madison,17.943325191800987,8.8
Macon,17.84939835199366,7.500000000000001
Candler,17.607317443728462,10.1
Butts,17.583239619458478,7.6
Talbot,17.433611454268792,11.5
Upson,17.341976449351375,7.9
Johnson,17.282430796732662,12
Wheeler,17.25149257114843,14.800000000000002
Richmond,17.22672857454982,3.2999999999999994
Bacon,16.985002050477455,9.2
Wilkes,16.945647524921462,11.000000000000002
Jefferson,16.903598853293765,7.6
Worth,16.793955291956607,7.1
Franklin,16.736202922948294,9.3
Peach,16.623980551432837,7.3
Berrien,16.34736542969862,6.999999999999999
Glascock,16.086300625839367,17.6
Jenkins,16.04824058065997,14.7
McDuffie,15.714903465023813,7.400000000000001
Toombs,15.644274325407675,6.9
Putnam,15.569666356622164,8.9
Emanuel,15.568121572743513,7.3
Spalding,15.567672430198723,5.800000000000001
Evans,15.352601333952192,8.1
Baker,15.036303667156714,13.4
Chattooga,14.95798896541427,5.2
Turner,14.947904133823625,10.3
Coffee,14.88205713125457,6.4
Cook,14.78731363971349,7.500000000000001
Greene,14.639319397136386,7.7
Glynn,14.594481174509477,5
Burke,14.461171361509997,8
Towns,14.331169849918329,8.4
Dodge,13.834846015759434,6.7
Wayne,13.82861411351613,6
Thomas,13.794178282202743,4.9
White,13.687288306918225,8.600000000000001
Tattnall,13.242546321968158,7.400000000000001
Union,13.204982343874747,9
Troup,13.160697989633501,5.4
Echols,13.093841826919029,11.600000000000001
Gilmer,12.94656454495929,8.1
Brantley,12.905773724747727,9.700000000000001
Pierce,12.817936782997613,6
Washington,12.554075709225668,6.9
Baldwin,12.457066528717949,6.199999999999999
Montgomery,12.390314630299327,7.500000000000001
Lowndes,12.387134281952536,3.5999999999999996
Bleckley,12.371070973596025,5.699999999999999
Taliaferro,12.331098863758406,14.900000000000002
Rabun,12.053921312126809,8
Bulloch,12.022746336401823,5.1
Polk,11.787217557195378,5
Clarke,11.71641013339065,4.4
Heard,11.643594937110452,6.599999999999999
Camden,11.506989131701772,3.4999999999999996
Seminole,11.49104314623663,8.7
Floyd,11.480895298018593,3.2
Muscogee,11.356620176175984,2.7
Pickens,11.308958666904816,5.1
Twiggs,11.263158204576811,8.600000000000001
Fannin,11.172769979894111,7.8
Jones,10.952274522057573,6.4
Carroll,10.86647346936569,4.6
Crawford,10.695450085534716,6.1000000000000005
Clayton,10.534166774945469,2.7
Oglethorpe,10.498091871463144,6.800000000000001
Monroe,10.450270221585972,6.1000000000000005
Chattahoochee,10.34735374948674,7.199999999999999
Dawson,10.213448844373051,9.2
Whitfield,10.199271495960346,4.6
Haralson,10.115407393925826,6.4
Jasper,9.728058784937978,8.200000000000001
Long,9.695793920061838,7.400000000000001
Marion,9.662196779917249,8.3
Walton,9.659191567890781,3.4000000000000004
Murray,9.61668724339792,4.6
Hall,9.464236399059518,2.3
Liberty,9.405559029903184,3.2999999999999994
Banks,9.37410045976522,5.800000000000001
Stephens,9.147123234366553,6.4
Walker,9.113386165775887,4
Gordon,8.922707897469923,4.4
Lamar,8.84786656425732,7.3
Chatham,8.496168405880358,2.1
Rockdale,8.450470321790666,3.9
Habersham,8.362212614404003,4
DeKalb,8.355787433530658,1.6
Newton,8.245125685234553,3.9
Lumpkin,8.147445378241365,5
Douglas,8.130088971748968,3.8
Catoosa,7.93610936733003,4.9
Lee,7.689346666153185,5.4
Fulton,7.52165590525412,1.3
Schley,7.51728801543691,6.4
Morgan,7.42138686967052,5.2
Bartow,6.930235972961764,2.5
Hart,6.9229600777882,4
Henry,6.864164151076385,2.5
Gwinnett,6.816764390736036,1.2
Houston,6.677073941195298,2
Barrow,6.658900228483292,2.5
Coweta,6.462722084784516,2.6
Harris,6.4052330897652565,3.8
Pike,6.402100333330332,4.2
Columbia,6.394443764467105,3
Jackson,5.9727711913790325,2.7
Bryan,5.964363426199412,3.2
Cobb,5.9627371595042975,0.8999999999999999
Cherokee,5.627113157858132,1.7000000000000002
Paulding,5.557689447250371,2
Effingham,5.429678179960966,1.9
Fayette,5.271858432814873,1.6
Oconee,5.261943755123304,3
Forsyth,4.91601400252358,1.2
Dade,4.777254844642442,3.5999999999999996
