county,pov,moe
Clarke,28.54802509259389,12.3
Osceola,24.64054143762182,10.2
Crawford,21.589914948990838,7.9
Cherokee,19.766022487499068,8.3
Franklin,19.68908125372091,7.9
Lucas,19.604266975249494,7.8
Montgomery,19.528674527698907,7.8
Appanoose,19.436980745133887,7.6
Emmet,19.388251311823314,7.6
Audubon,19.12621472299941,9.4
Cass,18.93911589601725,6.599999999999999
Humboldt,18.259632759229966,7.7
Wapello,18.180712187288677,5.3
Palo Alto,18.16192467500226,8.1
Wayne,17.916923207830514,7.1
Davis,17.65228643825147,9
Decatur,17.593801017591158,6.999999999999999
Tama,17.582991908655345,4.4
Des Moines,17.455529276126008,4.300000000000001
Wright,17.377712969074054,5.500000000000001
Ringgold,17.087665313825877,7.199999999999999
Jefferson,17.0757459191837,7.7
Page,16.923233441873816,5.9
Clay,16.88062772106134,5.2
Monona,16.62136542266973,5.800000000000001
Butler,16.54783433583012,5.1
Lee,16.519191787342827,4.4
Monroe,16.440896852087832,7.3
O'Brien,16.31973684853875,5.800000000000001
Floyd,16.243424386744067,5.500000000000001
Clayton,16.107037212043036,5.1
Van Buren,16.049240972263235,5.9
Henry,16.018696713396313,4.4
Jones,16.004598899103815,5.4
Muscatine,15.947057173455237,4.2
Union,15.79190272758732,5.2
Clinton,15.791593405955576,3.7000000000000006
Greene,15.770374592406952,5.500000000000001
Webster,15.661684543811742,3.9
Guthrie,15.657072049794307,4.2
Allamakee,15.574458488849952,4.300000000000001
Marshall,15.476322824202141,4
Woodbury,15.436681268876251,2.7999999999999994
Black Hawk,15.366630033090717,2.7999999999999994
Kossuth,15.236146697946381,4.1000000000000005
Iowa,15.078407315647343,5.1
Pottawattamie,15.03757265999428,3.0999999999999996
Louisa,14.895617365998284,4.4
Adair,14.888619790696772,5.4
Mahaska,14.881711530782713,4.300000000000001
Winneshiek,14.756497296860513,5
Sac,14.725485689276915,4.5
Keokuk,14.715236616932378,4
Jackson,14.701818408602977,4.300000000000001
Worth,14.472295068627053,5.1
Fayette,14.45172745660082,3.9
Howard,14.388419183638288,5.2
Hardin,13.835249427421326,3.9
Cerro Gordo,13.785655562226696,3.5999999999999996
Scott,13.776893506482072,1.9
Ida,13.704432850184917,4.2
Hancock,13.700498877809949,4.5
Cedar,13.329123339126017,3.5999999999999996
Hamilton,12.816602145853723,3.5999999999999996
Madison,12.777005553312867,4.2
Buchanan,12.600536437071833,3.2
Dubuque,12.493872105814576,2.7
Polk,12.475871989799206,1.3999999999999997
Johnson,12.47522374132691,2.4
Pocahontas,12.469928972542428,4.1000000000000005
Washington,12.429067393899158,3.7000000000000006
Calhoun,12.342048985342462,3.4000000000000004
Harrison,12.241144901358915,3.2
Jasper,12.0348615969977,2.9000000000000004
Linn,11.822293274622888,1.6
Marion,11.654851257988405,3.0999999999999996
Winnebago,11.488356238373138,3.4000000000000004
Story,11.387606031161724,2.5
Grundy,11.26375029650499,2.9000000000000004
Fremont,11.23305250688297,3.7000000000000006
Poweshiek,11.199237980612917,3.4999999999999996
Boone,11.070658553631823,2.7999999999999994
Bremer,10.934531839340062,2.9000000000000004
Mills,10.67741646229349,3.2
Benton,10.099580852463939,1.9
Dickinson,9.948445844392737,2.7999999999999994
Taylor,9.927114520289528,3
Warren,9.776087625802997,2.1
Buena Vista,9.65077455544635,2.1
Plymouth,9.63903474620387,3.0999999999999996
Sioux,9.506116880491486,2.6
Adams,9.38934044472896,4.300000000000001
Shelby,8.998374358508201,2.7
Dallas,8.763666970853432,1.7999999999999998
Carroll,8.494169594633165,2.1
Delaware,8.084989816134868,2.4
Chickasaw,7.692891951832556,2.3
Mitchell,7.248902013365497,2.4
Lyon,6.27950614287142,1.6
