county,pov,moe
Butte,28.798772068042755,13.8
Boundary,23.884030314421494,10.900000000000002
Lincoln,21.577394925118476,10.8
Washington,20.119360595577803,8.200000000000001
Custer,19.99579770446285,14.800000000000002
Lewis,19.395973275427316,4.9
Gooding,19.313034309391874,7.199999999999999
Boise,19.181118928350653,10.900000000000002
Jerome,19.091743148414277,6.5
Minidoka,18.991474084360647,6.5
Owyhee,18.900775055007646,6.3
Shoshone,18.624029545240393,6
Valley,17.774421568242648,12
Gem,17.05266992016424,5.699999999999999
Benewah,16.860676423683504,6.999999999999999
Adams,15.871253005476149,9.1
Twin Falls,15.595815728909221,4.300000000000001
Nez Perce,15.405654899599346,4.8
Fremont,15.060768003452685,5.3
Oneida,15.025911976954681,6.999999999999999
Power,14.917442393258037,9
Madison,14.661625583446689,4.4
Clearwater,14.65485113941409,6
Bonner,13.785707777013384,3.9
Bear Lake,13.590950596345078,5.4
Bannock,12.672690957770982,3
Cassia,12.25452033503518,4.300000000000001
Elmore,12.142715056163295,3.9
Blaine,11.764476561534865,6.199999999999999
Payette,11.75157223220763,5.3
Teton,11.090168781644586,6.800000000000001
Bingham,10.75427472819445,3.0999999999999996
Camas,10.697008565458757,10.5
Latah,9.9644659760337575,4
Bonneville,9.828536214684233,2.4
Lemhi,9.722863720896672,5.1
Canyon,9.620421983125775,1.7000000000000002
Kootenai,9.362589204503596,2.3
Franklin,9.342309259884688,5.1
Jefferson,9.181301381515434,3.2
Clark,8.745849488756395,9.6
Idaho,7.642461558095949,4.4
Ada,7.349763798870127,1.2
Caribou,5.980757225847724,3.9
