county,pov,moe
Crawford,28.898442858997686,15.1
Switzerland,22.167135248799656,10.8
Martin,21.99317638961129,10.6
Parke,21.322999249415528,9.5
Orange,20.250602141733236,8.1
Fulton,19.51105703732388,6.999999999999999
Scott,19.382051419919677,6.9
Miami,19.142864062780713,5.2
Fayette,18.768946422380537,5.9
Benton,18.736036618508596,5.9
Blackford,18.628741469684524,8.9
Shelby,18.554795584049096,5.500000000000001
Greene,18.46592834103872,5.3
Grant,18.160343327140207,3.7000000000000006
Warren,17.61451127170328,6.599999999999999
Sullivan,17.564964752568113,7.7
LaPorte,17.499635094956762,3.8
Owen,17.418900429880065,6
Vermillion,17.37643745967291,6.7
Jay,17.293793102116542,6.4
Vigo,17.051193247439922,3.0999999999999996
Tipton,17.041881142431585,6.4
Wayne,17.021304042077638,3.0999999999999996
Ohio,17.01876135837326,7.9
Delaware,17.015386973944402,3.0999999999999996
Newton,17.006965072949733,6.800000000000001
Madison,16.991914847385225,3.0999999999999996
Vanderburgh,16.656041941821996,2.6
Jennings,16.27127439257971,4.7
Randolph,16.160383724029774,4.1000000000000005
Lake,16.114979744731954,1.7000000000000002
Pike,16.113634457569027,6.5
Henry,15.908571648349909,4.2
Jackson,15.883212383231799,5.500000000000001
Marion,15.832878516721838,1.3
Washington,15.758716128436726,5.4
Dubois,15.711931017818806,5.1
Cass,15.491886914475645,4
St. Joseph,15.426554273206552,2
Knox,15.408073208664911,4.300000000000001
Montgomery,15.205910377106763,3.8
Pulaski,15.150852676593285,5.1
Wabash,15.03828273978055,4.6
Rush,14.641548747129091,5.3
Jefferson,14.595521950419469,3.9
Adams,14.578708550054559,4.5
Howard,14.489167400017907,3.2
Elkhart,14.456487502397074,2.5
Whitley,14.317531096444167,4.6
Steuben,14.231740922915833,5.1
DeKalb,14.101541953144292,3.8
Marshall,14.096627783811927,4.1000000000000005
Tippecanoe,14.020989496187722,2.7999999999999994
Huntington,13.911762829483667,4.2
Clay,13.598640193193928,4.4
Posey,13.54257434252002,5
Monroe,13.518092773657939,3
Starke,13.455963415186044,4
Decatur,13.374907447707587,6
Bartholomew,12.863686655683487,2.9000000000000004
Allen,12.826079723052574,1.5
Floyd,12.726228903428414,2.6
Perry,12.579810969906813,3.4999999999999996
Brown,12.492437137621527,5.599999999999999
Daviess,12.375620853363381,3.4000000000000004
Dearborn,12.169942882097851,3.2999999999999994
Carroll,12.125069685660923,4.5
Putnam,12.11592702183422,3.5999999999999996
Morgan,12.089558457457123,2.9000000000000004
Clinton,12.043256274953492,3.4000000000000004
Fountain,11.966356693688345,3.7000000000000006
Clark,11.8732312089133,2.3
Gibson,11.812046507207427,4.300000000000001
Lawrence,11.621941368999186,3.5999999999999996
Ripley,11.325518556805783,3.9
Franklin,10.932087726930858,3.8
Kosciusko,10.71146683569757,2.4
Union,10.524317945958254,5.2
Porter,10.48386093840358,1.7999999999999998
White,10.343393572985148,3.7000000000000006
Harrison,10.303618939968917,3.2
Spencer,9.960496699804496,3.7000000000000006
Johnson,9.500852921957325,2.2
Jasper,9.42832385471595,3.2
Noble,9.37133406309675,2.5
Warrick,8.540455974368454,2.3
Wells,8.447227263709586,2.6
Hendricks,7.8270560555539745,1.6
Hancock,7.6425894455136545,1.9
Boone,7.303082731208149,1.9
Hamilton,6.668817170988184,0.8999999999999999
LaGrange,6.040545442192043,1.5
