county,pov,moe
Stanton,37.46707049431078,28.200000000000003
Barber,27.7939308437131,13.899999999999999
Phillips,26.18932367176668,13.100000000000001
Cheyenne,24.310627227108466,14.2
Wallace,24.29483074086684,13.999999999999998
Mitchell,23.931501090192857,13.999999999999998
Stevens,23.314179544248393,13
Jewell,22.25480966511887,10.900000000000002
Ness,21.924361220583734,10.8
Kearny,21.915610451069664,10.6
Russell,21.37776313464373,9.8
Decatur,20.72039715378451,8.9
Osborne,20.205372580299112,8.200000000000001
Chautauqua,20.12846562410934,7.9
Greenwood,19.791930414883037,7.400000000000001
Allen,19.447503777146025,6.800000000000001
Clark,19.411392551204965,11.600000000000001
Neosho,18.930488612768734,6.1000000000000005
Morton,18.9242891843629,12.200000000000001
Barton,18.35892970593001,5.2
Crawford,18.170911279019062,4.8
Montgomery,18.03121073546388,4.6
Harper,17.998400345283983,7.400000000000001
Geary,17.980165701322324,4.5
Cowley,17.786196800243697,4.4
Lincoln,17.696236261067483,11.9
Edwards,17.64192817838191,7.500000000000001
Clay,17.47852224331806,9.2
Wichita,17.28882739614782,8.4
Riley,17.227332784438612,3.4999999999999996
Elk,17.213392941499,7.400000000000001
Logan,16.899635566545847,9.3
Woodson,16.767408635848273,7.9
Wyandotte,16.709021655474963,2.6
Finney,16.276976752354887,5.800000000000001
Lyon,16.241947462659002,5.3
Republic,16.104240502086476,7.3
Anderson,16.09130185525985,8.9
Greeley,16.079814901638194,8.5
Seward,15.888521256230353,5.500000000000001
Comanche,15.755214558492012,10.7
Hamilton,15.728124936103411,10.4
Washington,15.65577216357587,7.3
Sherman,15.204453532641951,8.600000000000001
Bourbon,15.154889191078524,5.3
Wilson,15.056414103737051,5.3
Brown,14.886759792072393,3.8
Rice,14.703994750515271,6.1000000000000005
Ford,14.638120880619464,4.4
Osage,14.599631031109423,5.2
Jackson,14.576778426558473,6.199999999999999
Stafford,14.256285791646677,6.3
Atchison,14.101597658667847,5.9
Morris,14.10099363709243,7.6
Lane,13.941297860726046,10.5
Sedgwick,13.74519918722667,1.3999999999999997
Haskell,13.394969306417723,6.199999999999999
Harvey,13.273044994672354,5
Reno,13.205005228341191,3.5999999999999996
Coffey,13.112367327975086,4.300000000000001
Kingman,13.079087097577831,6.199999999999999
Chase,13.007200605126542,7.199999999999999
Hodgeman,12.834449901099863,7.1
Ottawa,12.813478170600007,4.8
Cloud,12.785411429554895,5.599999999999999
Saline,12.656869237666424,3.9
Sumner,12.51860701408552,4.2
Pratt,12.445756572323383,5.9
Cherokee,12.384200067508178,4.4
Shawnee,12.090631820718762,2.2
Trego,12.031216752243617,8.7
Graham,11.940059145912997,6.199999999999999
Ellsworth,11.622359870146832,4.9
Doniphan,11.46037770713697,5.3
Dickinson,11.412693664495627,4.1000000000000005
Labette,11.22717243064804,4
Rawlins,11.183032574150351,6.7
Linn,11.062420724717677,4.6
Ellis,10.880003362927068,3.7000000000000006
Marshall,10.66538984573892,5.599999999999999
Pottawatomie,10.4445633287722,4.7
Rush,10.191731709818798,5.500000000000001
McPherson,9.92806444167412,3.8
Grant,9.696534621261288,5.4
Pawnee,9.431027813104755,5.2
Nemaha,9.082974355114853,3.9
Leavenworth,9.052817758949368,2.2
Butler,8.949825621445735,2.7
Douglas,8.939776545903037,2.5
Norton,8.740832529494497,3.4999999999999996
Meade,8.537349082254902,4.1000000000000005
Smith,8.326012782633985,3.4000000000000004
Miami,8.023165015692163,3.2999999999999994
Thomas,7.6500084137783695,4.8
Jefferson,7.632567313275505,3
Gray,7.596424474435944,3.7000000000000006
Franklin,7.584821318212262,2.5
Marion,7.455840034406794,2.9000000000000004
Scott,6.89523984137743,4.8
Johnson,6.666918888281671,0.6999999999999998
Wabaunsee,6.651060599235685,2.3
Kiowa,6.603975653258658,2.9000000000000004
Gove,6.218988108456737,3.4000000000000004
Rooks,5.5941924819620255,1.6
Sheridan,5.1491839711543514,1.9
