county,pov,moe
Leslie,30.53066291102226,14.100000000000001
Wolfe,24.725156409233424,16.499999999999996
Lee,23.581921561929825,14.299999999999999
Fulton,23.4835654245983,14.2
Elliott,23.06739644307913,13.999999999999998
Hickman,22.652114488392677,13.4
Knox,22.183148522149594,7.6
Menifee,22.077474195851305,11.9
Magoffin,21.80324837722486,11.700000000000001
Floyd,21.2562483692951,7.500000000000001
Knott,19.906492444164677,8.4
Harlan,19.870018874285105,8.3
Breathitt,19.862365642574538,8.4
Clay,19.79575775783179,8.1
Marion,19.575927243047193,11.199999999999998
Wayne,19.24495624937674,7.400000000000001
Casey,18.997499246580944,9.3
Crittenden,18.975460886462756,11.3
Todd,18.907836630252394,11.000000000000002
Clinton,18.888175588006213,11.399999999999999
Livingston,18.846221211208146,12.3
McCreary,18.72579314944526,9.1
Owsley,18.648407863718184,15.8
Breckinridge,18.596913620830108,9.5
Lewis,18.407626187113223,9.6
Lawrence,18.37407328007713,9.2
Rowan,18.1039376049722,9.1
Letcher,17.982924553466315,8
Metcalfe,17.902140568350475,9.1
Carroll,17.699448268033354,10.4
Cumberland,17.6942200749216,11.8
Rockcastle,17.682292416872254,7.9
Carlisle,17.68115355247958,9.3
Bracken,17.220215773443666,11.000000000000002
Estill,17.204114368606575,7.9
Trigg,17.079349106693634,9.700000000000001
Fleming,16.65309685519497,8.4
Perry,16.531629939856035,8.4
Robertson,16.505038203834122,14.100000000000001
Bell,16.494174230757594,7.1
Martin,16.38368450260075,9.700000000000001
Powell,16.360766442527193,8.3
Bath,16.349086058467194,6.7
Adair,16.266935558209678,6.9
Barren,16.100355449631934,6
Carter,15.983297463187322,6.599999999999999
Green,15.950766975061656,7.6
Grayson,15.90455207212067,6.800000000000001
Hart,15.780082905926825,6.800000000000001
Monroe,15.73307948222922,7.3
Hopkins,15.596826683789766,5.800000000000001
Allen,15.556225718238661,7.7
Pike,15.393829721178747,4.7
Larue,15.358122918200422,7.7
Morgan,15.28176994060767,7.3
Graves,15.21618846926865,6.7
Gallatin,15.177294388492596,8.3
Garrard,14.983197977557348,8.200000000000001
Russell,14.793804830367785,6.199999999999999
Mason,14.573279565351429,6.4
Hancock,14.527787047704782,7.6
Johnson,14.454907116234473,6.800000000000001
Logan,14.441850942717727,7.3
Butler,14.382486028280205,6.199999999999999
Pulaski,14.38232423091456,4.2
Henry,14.291109741434424,7.3
Whitley,13.919173436764137,5.699999999999999
Jackson,13.915560541807787,8.5
Laurel,13.901896957153518,4.5
Calloway,13.564624163120481,6.999999999999999
Union,13.330098851153718,6.199999999999999
Muhlenberg,13.295553977472835,5.9
Boyd,13.043719687496374,4.9
Harrison,12.805541607961876,6.599999999999999
Henderson,12.694718205044936,4.2
Ballard,12.67351663057285,6.1000000000000005
Edmonson,12.633076622424582,7.7
Clark,12.409705196469229,5
Pendleton,12.271552155195483,5.9
Taylor,12.252012488707926,7.6
McCracken,12.08033284026102,4.2
Greenup,11.913175463773007,4.9
Ohio,11.72787260776758,5.800000000000001
Franklin,11.685695731806748,4.4
Anderson,11.590158461869446,6.599999999999999
Meade,11.528489360070546,5.1
Montgomery,11.483593800332399,5.3
Warren,10.970005568032153,3.0999999999999996
Caldwell,10.799110955199717,5.500000000000001
Nicholas,10.665281094372247,7.3
Mercer,10.453035960639872,6.599999999999999
Lincoln,10.380947036402002,5.2
Bourbon,10.33130726424656,5.3
Webster,10.315516719130308,6.1000000000000005
Kenton,10.241418865991292,3.2999999999999994
Christian,10.157199698461204,3.4000000000000004
Marshall,10.024416776516967,5
Jessamine,9.82443722688121,4.2
Madison,9.646743241827583,3
Jefferson,9.564956700591457,1.2
Boyle,9.408103744505942,4.2
Daviess,9.178402007991016,2.6
Simpson,9.166877510254324,5.599999999999999
Washington,9.166326580041307,4.8
Fayette,9.093201843564355,2.3
Spencer,9.05438201582324,5.1
Owen,9.029266465603088,6
Bullitt,9.005269245045438,3.7000000000000006
Grant,8.977320003535883,4.7
Lyon,8.853411770130784,8.4
Nelson,7.710729038653852,3.4999999999999996
Woodford,7.640616555074498,4.6
Hardin,7.528579809390429,2.3
Scott,7.3144911530940355,2.7999999999999994
Campbell,7.137988317633069,2.7
Shelby,6.842117873476488,3.4999999999999996
McLean,6.634965636399645,3.5999999999999996
Trimble,6.235564521026764,4.7
Boone,6.044677614668354,2.1
Oldham,5.241452073033284,2.1
