county,pov,moe
East Carroll,24.73727403497253,11.399999999999999
Catahoula,22.977200796003906,11.5
Tensas,22.824467065912508,9.6
Bienville,21.82010055867073,9.700000000000001
St. Helena,21.79835625709957,9.9
Madison,21.729803551810516,8.600000000000001
Union,21.306560460544215,9
Red River,21.233472143473644,9.2
Claiborne,21.158591033694393,8.7
Morehouse,20.707300952464383,8.200000000000001
Jackson,20.656759500905487,8.1
Evangeline,20.44321792547429,7.9
Concordia,20.150063379826918,7.3
Franklin,19.839360499779648,6.999999999999999
Lincoln,18.942983363566825,5.800000000000001
Acadia,18.768983260462267,5.599999999999999
Webster,18.478749084053934,5.1
Avoyelles,17.942921160997876,4.300000000000001
St. Landry,17.6336206990802,3.9
West Feliciana,17.368337188056927,12.399999999999999
West Carroll,17.340664207982137,9.6
Washington,16.692155471078358,5.800000000000001
Iberia,16.322569603985784,4.4
Caldwell,16.29210975958559,8.1
Winn,15.82141707511198,7.500000000000001
Richland,15.534759307533449,5.699999999999999
Sabine,15.509544857174106,5
Allen,14.988030304887632,6.9
St. Bernard,14.843778689191895,5.2
Ouachita,14.55967760332987,3
Cameron,14.30749101770461,15.9
LaSalle,14.198214447388152,7.400000000000001
Natchitoches,13.921279182031181,4.7
De Soto,13.836905037327195,5.599999999999999
Orleans,13.722269823190187,2.5
Caddo,13.584900074083903,2.9000000000000004
Tangipahoa,12.965298809240643,3.8
Pointe Coupee,12.81502356174605,7.400000000000001
St. Mary,12.65392328542295,4.300000000000001
Vermilion,11.855424801567926,4.7
Rapides,11.7520059032514,3.4999999999999996
Iberville,11.49526082784261,5.9
West Baton Rouge,11.462168498202141,7.500000000000001
Calcasieu,11.216226571729962,3.0999999999999996
Plaquemines,10.921694722576971,5.699999999999999
Vernon,10.838555083843525,3.9
Lafayette,10.798194771514789,3
St. Martin,10.537567982914995,4.8
Lafourche,10.507301098382133,4.2
St. James,10.29790612722413,6.3
East Baton Rouge,9.995418771847643,2.1
Bossier,9.986752540951436,3
Jefferson,9.657241646069869,2
Jefferson Davis,9.4149932963394,5.2
Terrebonne,9.334644823057708,3.5999999999999996
East Feliciana,8.950062691408773,6.7
Grant,8.775387319770866,5
Beauregard,8.023735615460176,4
St. John the Baptist,7.938853085675035,5.2
Assumption,7.866912042956669,6
St. Tammany,7.708794296275956,2.1
Ascension,6.416200202456392,2.7
St. Charles,6.382630267820913,4.4
Livingston,5.437931976012039,3.0999999999999996
