county,pov,moe
Lake of the Woods,22.25307348351688,11.000000000000002
Watonwan,21.91858944590153,8.1
Koochiching,20.97528470593372,7.500000000000001
Grant,18.88674943850393,6.1000000000000005
Mahnomen,18.865792053496044,4.2
Nobles,18.60159027507084,5.599999999999999
Pipestone,18.286580106682628,5
Carlton,18.09669429777525,4.8
Cottonwood,18.067943455237167,4.8
Clay,17.865269888302493,4.4
Todd,17.84415832937952,4.300000000000001
Mower,17.81765758189583,4.300000000000001
Faribault,17.718051850755884,4.2
Cass,17.454956141498407,3.7000000000000006
Mille Lacs,17.350225006268712,3.7000000000000006
Kandiyohi,17.33702230972071,3.5999999999999996
Martin,17.25591782816486,5.2
Beltrami,17.06329449191454,3.0999999999999996
Wilkin,17.05958919975482,6.9
Big Stone,17.023613505556114,5.500000000000001
Itasca,16.899679636529793,3
Roseau,16.78749552770435,4.6
Becker,16.731090305145933,2.7
Chippewa,16.726620175872974,5.800000000000001
Pennington,16.56196859599623,4.7
Wadena,16.53123911691407,5
Aitkin,16.35034911444274,3.5999999999999996
Cook,16.175017887235448,5.500000000000001
Jackson,16.15829825611293,4.5
Ramsey,16.11049064410852,1.7000000000000002
Stearns,15.964919065225855,3.2
Polk,15.886008419167045,3.2999999999999994
Renville,15.699510017831528,3.2999999999999994
Swift,15.646272822014312,3.4000000000000004
Crow Wing,15.643163775729995,2.7999999999999994
Sibley,15.444905434089016,5.4
Nicollet,15.412336063768034,3.9
Freeborn,15.390894719043374,3.2
Traverse,15.274805792916826,4.6
Rice,15.223370362423406,3.8
Lyon,15.194055513051557,3.0999999999999996
Pope,15.13111085820064,4.2
Isanti,15.109066254765896,3.9
Kanabec,14.969908777637839,3.8
Blue Earth,14.751042793939545,2.7999999999999994
Pine,14.71049257079027,2.6
Goodhue,14.702183247396638,2.9000000000000004
Fillmore,14.681903996453514,2.7999999999999994
Benton,14.664042028909424,3.4999999999999996
Marshall,14.445369301200085,4.4
Norman,14.30334861760159,3.7000000000000006
St. Louis,14.258649223997011,1.7000000000000002
Lac qui Parle,14.189226468854264,3.2999999999999994
Red Lake,13.920077649009865,4.1000000000000005
Morrison,13.754165448578739,2.7
Redwood,13.502318919604678,2.7
Le Sueur,13.382449242436998,3.0999999999999996
Kittson,13.272191186879233,4
Hubbard,13.1941810987187,2.5
Rock,13.186348272585718,3.0999999999999996
Clearwater,12.925641165195076,2.5
Yellow Medicine,12.875187156645648,2.9000000000000004
Douglas,12.768473941596422,3
Wabasha,12.55417040358641,2.9000000000000004
Brown,12.382348917264933,3.2
Otter Tail,12.293424333245955,2
Hennepin,12.25102764947339,0.8
Steele,12.031371298160568,2.5
Stevens,12.017347265833086,3.0999999999999996
Winona,11.634231399936882,2.2
Meeker,11.302482999720992,2.2
McLeod,11.150035994879099,2.7999999999999994
Lincoln,10.881257197643993,2.3
Olmsted,10.629585796485014,1.6
Murray,10.591465427793805,2.3
Lake,10.45170444388421,3.0999999999999996
Anoka,10.246311120342538,1.1
Chisago,10.011351128816903,1.9
Scott,9.959831552879706,2.1
Dakota,9.683727094537515,0.8999999999999999
Houston,9.56230095765099,2.1
Sherburne,9.494774765797265,2.4
Waseca,8.893859299178313,2.4
Dodge,8.883638153079735,1.7000000000000002
Wright,8.119412473745733,1.3999999999999997
Washington,7.519267948600106,0.8999999999999999
Carver,6.703149515811233,1
