county,pov,moe
Hyde,33.89831826710203,18.9
Tyrrell,23.297588044551524,18.3
Chowan,22.48312081711095,12.1
Bladen,20.921106860779652,6.599999999999999
Anson,20.71126620444345,9.4
Alleghany,20.4230207819948,8.8
Warren,19.96508119101294,8
Swain,19.96455096147493,8.200000000000001
Greene,19.8581417467752,7.8
Richmond,19.390893446072248,6.999999999999999
Washington,19.203835210897896,10.900000000000002
Scotland,19.075243263496098,5
Edgecombe,19.06282783595672,6.5
Bertie,18.95913275975148,10.6
Gates,18.770400083903464,12.5
Person,18.714001766420783,6.199999999999999
Martin,18.680081888593726,6.1000000000000005
Halifax,18.536478046562216,5.800000000000001
Lenoir,18.24307728728275,5.3
Sampson,18.13177197388297,5.1
Montgomery,18.09516689355791,9.4
Duplin,17.945677328488642,4.9
Hertford,17.666285993454807,6.999999999999999
Northampton,17.553488672874266,6.9
Jackson,17.06687041284646,6.5
Wilson,16.87598837621391,4.9
Beaufort,16.738096729121473,5.4
Cherokee,16.67572889473371,6.999999999999999
Columbus,16.64823608499784,5.9
Robeson,16.63669725936571,2.6
Vance,16.321270121858646,5.500000000000001
Rockingham,16.313850620777302,4.2
Cleveland,16.29715134517266,4
Wilkes,16.287319637392212,4.8
Caswell,16.136087124444224,6.4
Pamlico,16.066688976056675,6.599999999999999
Yadkin,15.861266112494915,5.800000000000001
Yancey,15.744275968883878,5
Burke,15.73843679829058,4.4
Transylvania,15.484915310455497,6.599999999999999
Macon,15.427701144738684,5.800000000000001
Rutherford,15.282170632470644,4
Wayne,15.21262155342892,3
Lee,15.179654719566246,4.6
Alexander,14.96371174040029,5.599999999999999
Surry,14.92726052422272,3.7000000000000006
Rowan,14.822572465071495,3.2999999999999994
Perquimans,14.769046451311127,7.199999999999999
Ashe,14.703897370507551,6.599999999999999
Jones,14.575235671836435,7.199999999999999
Hoke,14.290151092394277,3.7000000000000006
Caldwell,13.95243670495893,4.1000000000000005
Haywood,13.923776989684153,5
Pitt,13.84273832944006,2.9000000000000004
Stanly,13.746767446695998,3.5999999999999996
Granville,13.71264873565689,4.1000000000000005
Stokes,13.630525271167496,5.500000000000001
Nash,13.573944617468516,3.4999999999999996
McDowell,13.374315124384767,4.2
Craven,13.373825096465131,4
Forsyth,13.346951885991706,2.3
Davidson,13.34169153426814,2.7999999999999994
Davie,13.194718572847302,4.2
Mitchell,12.864540279838298,6.1000000000000005
Cumberland,12.63239422257374,1.6
Randolph,12.458995654760967,2.5
Henderson,12.264701636085325,3.2999999999999994
Alamance,12.184600283039865,2.7
Harnett,12.164083286299972,2.6
Catawba,11.821311216900396,2.5
Guilford,11.777221583392269,1.5
Polk,11.731979832212444,5.1
Chatham,11.606806847717307,3.8
Onslow,11.603384620607876,2.9000000000000004
Pender,11.58995985775979,3.2999999999999994
Madison,11.451753591141134,5.4
Franklin,11.248533229516909,3.8
Currituck,11.130779295037996,5.2
Durham,10.913880082318935,2
Avery,10.805813358500599,5.3
Graham,10.753632032684385,7.6
Pasquotank,10.590156395772985,3.2999999999999994
New Hanover,10.41878933259647,2.5
Gaston,10.365496995801186,1.9
Johnston,10.196916920310189,1.9
Brunswick,10.096333117178881,2.7999999999999994
Buncombe,9.9897602317641,2
Mecklenburg,9.783675264882705,0.8999999999999999
Moore,9.662426509602208,2.5
Carteret,9.36705950098975,2.9000000000000004
Iredell,9.217014394482288,1.9
Cabarrus,9.047371637220186,2.9000000000000004
Dare,8.558516258679976,4.1000000000000005
Orange,8.53636668939314,2.2
Lincoln,8.405882354224087,2.3
Camden,7.915278002058741,5.800000000000001
Wake,7.786354375407158,0.8999999999999999
Watauga,7.744642931929284,3
Union,6.965637375844258,1.5
Clay,6.736150026949529,5.4
