county,pov,moe
Sierra,31.35111439910368,17.299999999999997
Quay,28.09641325305774,15.7
Hidalgo,23.401881249441782,13.999999999999998
Catron,21.153915948882513,20
Socorro,20.912806330563534,10.1
McKinley,19.84644800060269,4.4
Colfax,19.178183664191582,11.000000000000002
Mora,19.06970006640431,19.7
Cibola,18.826057244196335,6.7
Grant,16.963873201630385,7.500000000000001
San Miguel,16.13567786169121,8.9
Luna,15.885927551956916,6.999999999999999
Roosevelt,15.850222424147262,9
Harding,15.292294999760333,14.6
Union,14.35453549772497,14.299999999999999
Lincoln,14.237934152246115,9.1
Guadalupe,14.070164960432836,14.800000000000002
San Juan,14.048426649043375,3.5999999999999996
Torrance,13.31494364901177,7.9
Rio Arriba,12.693189154052249,5.699999999999999
Chaves,12.292617618561689,4.300000000000001
Doña Ana,11.544716218625172,3.0999999999999996
Curry,11.337857621127215,5.2
Otero,10.329575617398,4.7
De Baca,9.15481783355255,11.9
Valencia,9.053314917217921,4.2
Taos,8.808213800263104,5.800000000000001
Lea,8.208790526675742,3.8
Bernalillo,7.641530446843638,1.6
Eddy,7.255221888958757,4.1000000000000005
Santa Fe,7.121957552108579,2.6
Sandoval,5.828531021103295,1.7000000000000002
Los Alamos,5.239144679422685,1.9
