county,pov,moe
Hardin,21.83317476138423,8
Vinton,21.287758120347206,9.700000000000001
Hocking,19.8977190690945,7.6
Adams,19.62088683925541,5.800000000000001
Harrison,19.559231127671506,7.199999999999999
Coshocton,19.03621897076888,6.1000000000000005
Scioto,18.865792053496044,4.2
Pike,18.619428231031804,5.599999999999999
Noble,18.60205214472638,8.8
Marion,18.31563663455369,5.1
Guernsey,18.279352190388103,5
Fayette,17.754905863003,4.300000000000001
Ross,17.738838596090226,4.300000000000001
Morgan,17.568770296774417,6.4
Gallia,17.46252006492609,6.3
Lawrence,17.37744675333075,3.7000000000000006
Jefferson,17.322682719518408,3.4999999999999996
Jackson,17.22183869677136,5.4
Carroll,17.172471436427823,6.9
Ashtabula,17.158030853854296,3.2999999999999994
Meigs,17.059289705127284,6.1000000000000005
Crawford,17.038952761535484,4.8
Trumbull,16.730505057734778,2.6
Clark,16.660891643760912,2.6
Perry,16.44007844555967,5.2
Washington,16.322889376329886,3.8
Mahoning,16.319467243322883,2
Belmont,16.264841749167466,4.300000000000001
Lucas,16.24981754747838,1.9
Brown,16.23157394108147,5.2
Ashland,16.218982820139587,6.3
Clinton,16.207312495378375,4.300000000000001
Montgomery,16.143143848674697,1.7999999999999998
Williams,16.071171683533272,5.500000000000001
Muskingum,15.859238256396093,3.4999999999999996
Monroe,15.69122542265865,6.199999999999999
Cuyahoga,15.652033561960529,1
Knox,15.51418217758949,4.2
Pickaway,15.441642014822449,4
Athens,15.182182280315118,3.9
Sandusky,14.920757869464262,4.1000000000000005
Richland,14.88044755233992,2.9000000000000004
Highland,14.81018196051273,3.4999999999999996
Columbiana,14.787927916433926,3.2999999999999994
Henry,14.699748780793854,4.1000000000000005
Shelby,14.699199464190151,4.2
Erie,14.518375691226085,3.4999999999999996
Defiance,14.364597698955055,4.300000000000001
Champaign,14.32223860606216,4.6
Logan,14.275410146410822,4.300000000000001
Allen,14.22064455423875,3
Madison,14.12924510452653,3.8
Lorain,13.920641631903901,1.7999999999999998
Preble,13.751451467071597,3.2
Seneca,13.66234531908044,3.2
Tuscarawas,13.496276676480454,2.7
Hamilton,13.467571428127584,1.2
Morrow,13.445655213196957,4.300000000000001
Franklin,13.397692949042028,1.3
Stark,13.28414718090613,1.5
Darke,13.182668819220906,3.4000000000000004
Holmes,13.023492858481623,4.1000000000000005
Paulding,13.011413097980896,4.4
Ottawa,12.933776945455511,3.5999999999999996
Hancock,12.553641891251493,3.0999999999999996
Fulton,12.42799036968369,3.9
Summit,12.4006333154451,1.3999999999999997
Portage,12.049428832671765,2.4
Greene,11.948288744191228,2.4
Huron,11.851992481013465,3
Miami,11.722964792733816,3.2999999999999994
Butler,11.433516866422993,1.3999999999999997
Van Wert,11.24822111563235,3.2999999999999994
Licking,11.178511962349184,2
Wood,10.5693978047569,2.1
Mercer,10.458709236632831,3
Fairfield,10.438632426542311,2.1
Wayne,9.975630591524283,1.7999999999999998
Lake,9.775860317649052,1.7000000000000002
Putnam,9.711497602071427,2.5
Clermont,9.409729465242341,1.6
Auglaize,9.324551252163996,2.2
Medina,8.820975069449961,1.6
Geauga,8.734722371663585,2
Union,8.602070210144877,2.4
Warren,7.83765769405953,1.3
Wyandot,7.827700414710905,2.7999999999999994
Delaware,6.4975887838987685,1
