county,pov,moe
Cotton,21.922020230939104,10.4
Jefferson,20.706645412303683,6.199999999999999
Okfuskee,20.63736917814199,6.599999999999999
Johnston,20.576932392204803,6.999999999999999
Beckham,20.352822573102415,8.1
Kiowa,20.30564438205579,8
Coal,20.074048358000294,7.9
McIntosh,18.555840511313836,5.4
Pushmataha,18.356100691202634,5.3
Adair,18.34634205627519,5.1
Choctaw,18.169650979546702,4.9
McCurtain,17.942152783499647,4.5
Haskell,17.92127788715089,4.5
Texas,17.650578326778593,7.7
Delaware,17.54080146303945,3.9
Seminole,17.256000233292433,3.4999999999999996
Caddo,17.176022994602224,3.4000000000000004
Woodward,17.044442486298685,7.6
Alfalfa,16.885775722703173,10.3
Tillman,16.79130397203003,6.3
Marshall,16.78215939967209,5.599999999999999
Le Flore,16.652242371847258,2.6
Ottawa,16.466797111602517,2.3
Nowata,16.44455997453454,5.800000000000001
Dewey,16.37531059484794,6.599999999999999
Murray,16.36589022719874,6.9
Harmon,16.351322600346744,7.199999999999999
Cherokee,16.29600637844588,4.5
Pittsburg,16.287391294078148,4
Sequoyah,16.28220430944219,3.5999999999999996
Blaine,16.149790387519396,7.500000000000001
Muskogee,16.0212875119993,3.8
Craig,15.944263618116066,4.6
Hughes,15.907712066113127,5
Roger Mills,15.692265312105391,6.3
Okmulgee,15.308960425717007,3.2999999999999994
Greer,15.127887787034675,8.3
Latimer,14.965510612251917,4.4
Payne,14.925704246555185,4.9
Kay,14.918963820139423,3.8
Ellis,14.895716391754608,6.9
Stephens,14.867400627387475,3.5999999999999996
Mayes,14.6338782492351,3.7000000000000006
Cimarron,14.627709193286215,11.000000000000002
Atoka,14.121186767035324,4.1000000000000005
Harper,13.854597412652158,9.700000000000001
Washington,13.352495932457426,4
Jackson,13.071983500869294,4.4
Garfield,13.04918695230975,4.7
Love,12.853048004880446,5
Bryan,12.74010003192029,3
Grant,12.679517790094746,6.199999999999999
Pawnee,12.590212138104755,4
Logan,12.4536713205534,5.1
Garvin,12.418409678456301,3.4000000000000004
Comanche,12.328948206554559,2.5
Lincoln,12.04682443478641,2.9000000000000004
Pottawatomie,11.894940052299557,2.4
Woods,11.750071204535969,6.5
Oklahoma,11.734634911912073,1.2
Major,11.726933798022628,5.1
Washita,11.719363659833194,4.6
Kingfisher,11.294389027325645,5.4
Osage,11.178284008819613,2.9000000000000004
Tulsa,10.917699480770857,1
Pontotoc,10.777633068092603,2.9000000000000004
Creek,10.519665406336673,2.4
Carter,10.419731606897992,2.7999999999999994
Noble,9.882690500578178,6.1000000000000005
Grady,8.885572178986129,2.4
Custer,8.445091081214434,4.2
Wagoner,8.43362123243535,1.7999999999999998
Rogers,8.27080918828886,1.9
Cleveland,7.982021153318604,1.7000000000000002
Canadian,7.222196868562097,2.1
McClain,6.737848337509498,2
Beaver,6.643913917872707,4.9
