county,pov,moe
Morrow,23.007712110813234,8.7
Lake,22.5969365849208,11.8
Malheur,20.17858007847589,6.5
Sherman,19.87584440042647,7.7
Coos,19.18531954134784,4.9
Grant,19.092351895589506,6.199999999999999
Harney,18.53838492778486,8.4
Lincoln,18.11602974629428,4.8
Klamath,18.061662794453834,4.6
Josephine,17.487436610229338,3.8
Douglas,16.85163022941851,2.9000000000000004
Tillamook,16.50469509730418,4.8
Union,15.708784745809238,4.2
Yamhill,14.351891510159989,3.2999999999999994
Polk,14.049219232474023,3.4999999999999996
Lane,13.933884088668492,1.7999999999999998
Jefferson,13.663712727470218,4.2
Benton,13.512922527794718,3.2
Jackson,13.47120726882102,2.2
Marion,13.400177758166503,1.9
Umatilla,13.357083707835429,3.2999999999999994
Wallowa,13.221219259430997,6.1000000000000005
Crook,13.037109820885112,5.3
Wasco,12.654404317239209,3.4000000000000004
Clatsop,12.635316887853797,4
Wheeler,12.481464359032891,8.4
Linn,12.474226270386291,2.7
Baker,12.195434688969842,5.2
Multnomah,11.877904001484673,1.1
Columbia,11.677930592094205,3.2999999999999994
Curry,11.675907145827678,5.1
Deschutes,11.153902225443204,2.1
Washington,8.744420332897512,1.1
Clackamas,7.92305460033239,1
Hood River,7.892920713176952,2.7999999999999994
Gilliam,7.409317200687353,4.7
