county,pov,moe
Forest,24.939723066284508,16.7
Sullivan,21.589914948990838,7.9
Mifflin,20.85993695227993,6.199999999999999
Cameron,18.995066466039486,9
Jefferson,17.0069881686985,3.4000000000000004
Philadelphia,16.762344727491886,1.6
Cambria,16.75627910808818,3
Mercer,16.625678035584222,2.7999999999999994
Potter,16.601602727364217,3.9
Fayette,16.59894929608205,2.7999999999999994
McKean,16.567789882014196,4.300000000000001
Carbon,16.443896476601445,3.9
Greene,16.345497881830113,4.7
Clearfield,16.33498463761379,3.2
Erie,16.324359689494894,2.3
Luzerne,16.200268749920255,2
Venango,16.172774371809115,3.2999999999999994
Lawrence,16.070294231713145,3.2999999999999994
Columbia,16.058697220216757,3.5999999999999996
Warren,15.540799285397375,3.5999999999999996
Lycoming,15.526119547723455,2.9000000000000004
Pike,15.48799084093667,4.2
Tioga,15.479977873136308,2.6
Blair,15.421466098082458,2.9000000000000004
Fulton,15.408270137005392,3.9
Wyoming,15.4052053312386,3.0999999999999996
Northumberland,15.313905916845858,2.9000000000000004
Bradford,15.218504000305721,2.7
Huntingdon,15.20087659376259,3.2
Lehigh,14.999122104747245,1.9
Wayne,14.917201664254781,3.4999999999999996
Lackawanna,14.876928656178773,2
Susquehanna,14.835593024351782,2.9000000000000004
Lebanon,14.699396271697521,2.9000000000000004
Schuylkill,14.634563296309128,2.6
Crawford,14.621364176690449,2.3
Montour,14.55687606365365,5.699999999999999
Monroe,14.422682931159327,3.0999999999999996
Clinton,14.24898685583395,3.2999999999999994
Juniata,14.209924977393943,4
Berks,14.18107983434922,1.5
Clarion,14.119954939061286,2.7
Somerset,14.054753465061031,2.4
Beaver,13.961298222754376,2.1
Dauphin,13.877129264314108,1.7000000000000002
Indiana,13.836222309160979,2.6
Franklin,13.74173606128215,2.6
Union,13.635854464521621,4
Armstrong,13.606073277410157,3.2
Elk,13.434783389684968,3.5999999999999996
Bedford,13.103726474400585,2.4
Snyder,12.671580717954365,2.7
Northampton,12.142033868554565,1.6
Delaware,12.066830722759287,1.3
Allegheny,11.938434614089575,0.8999999999999999
Washington,11.886495340104187,1.7999999999999998
Adams,11.788613675260876,2.3
Westmoreland,11.717010488901153,1.2
Perry,11.31351254186226,2.4
York,10.537959159989347,1
Cumberland,10.387859155679108,1.3999999999999997
Centre,10.261533885468328,2
Lancaster,10.07249577393267,1.2
Butler,9.620794994239187,1.3999999999999997
Chester,9.128385372532444,1.1
Montgomery,8.532992756105635,0.8
Bucks,7.600052945744292,0.8
