county,pov,moe
Allendale,27.44532993740535,20.1
McCormick,26.360349317026454,18.5
Lee,24.24051525242885,10.3
Dillon,23.89920807286815,8.9
Barnwell,22.00941841321329,8.600000000000001
Marion,19.721242094324168,7.500000000000001
Marlboro,19.557479554599748,7.3
Union,19.10723348460578,6.800000000000001
Darlington,18.354582240638127,5.599999999999999
Bamberg,18.350305124529076,8.200000000000001
Calhoun,17.570590867527514,9.1
Orangeburg,17.496973999350534,4.1000000000000005
Georgetown,17.486152143915184,6.999999999999999
Fairfield,17.334913164371148,9.3
Williamsburg,16.88239106708299,8
Clarendon,16.86490325882518,6.199999999999999
Hampton,16.79199947541677,6.800000000000001
Jasper,16.696923369013057,8.3
Chesterfield,15.794456060947692,5.3
Greenwood,15.767222209105933,4.6
Abbeville,14.88546328848212,5.599999999999999
Chester,14.76143964849746,6
Laurens,14.674750004024375,5
Colleton,14.210104327479886,6.4
Edgefield,13.974266023651975,5.699999999999999
Newberry,13.761491782155236,5.1
Cherokee,13.751134957475324,4.300000000000001
Saluda,12.600173722723145,6.1000000000000005
Florence,12.215670090112358,3.0999999999999996
Kershaw,12.032384275878377,3.8
Oconee,11.778579591484364,4.300000000000001
Anderson,10.573326659779307,2.6
Sumter,10.473937171633366,3
Richland,10.396378653504845,2.1
Dorchester,10.04685450311561,3.7000000000000006
Aiken,9.707729107580594,2.5
Horry,9.617627317834266,2.7
Beaufort,9.329773898443547,3
Lancaster,8.702097110152216,3.4000000000000004
Spartanburg,8.540318491880928,1.9
Charleston,8.420552555139015,2.2
Berkeley,7.858664179112649,2.2
Lexington,7.435285303005977,1.9
Greenville,6.942111921929242,1.3999999999999997
Pickens,6.78451902390631,2.7999999999999994
York,5.793177283822606,1.7999999999999998
