county,pov,moe
Mellette,27.517802839891953,13.600000000000001
Bennett,26.603361747842737,17.8
Jones,25.790534785232005,16.9
Faulk,24.745397273414145,15.2
Jackson,24.0427775757381,13.700000000000001
Oglala Lakota,22.516492237522655,8.8
Fall River,22.3454279279152,11.600000000000001
Douglas,21.371326394538933,15.1
Buffalo,21.23205949258856,9.6
Tripp,20.98157579416238,9.1
Lyman,20.365819117738322,8.3
Roberts,20.27922711833479,8.200000000000001
Charles Mix,20.08683118611425,8
Ziebach,19.904801224055923,7.400000000000001
Todd,19.859898227492756,6.1000000000000005
Dewey,19.778496645966882,7.3
Corson,19.392820531172895,6.599999999999999
Bon Homme,19.140383034113313,11.000000000000002
Walworth,17.24103525412837,9.1
Brule,17.12948953557009,7.7
Day,17.052127694971976,7.1
Potter,16.71374623584139,10.1
Perkins,16.69109762526536,8.3
Miner,16.418442350526963,9.8
Davison,16.287834350095615,6.800000000000001
Lake,15.752492694961589,7.1
Haakon,15.067239254450598,8.3
Clay,14.973454533578536,6.3
Gregory,14.93681556364565,5.4
Hutchinson,14.732374302349418,9
Spink,14.513957528925166,5.3
Custer,13.880464726715264,6.999999999999999
Pennington,13.785560335390748,2.9000000000000004
Jerauld,13.472642947157274,7.199999999999999
Turner,13.40285278698539,5.2
Hanson,13.38365518639616,7.7
Brown,13.123254102882337,4.4
Hamlin,12.924106931583045,6
Hughes,12.886043153069608,5.2
Edmunds,12.872755887142306,7.8
Moody,12.687486208557441,4.1000000000000005
Grant,12.33754417489338,6.199999999999999
Hyde,11.881354024983642,6.7
Lawrence,11.478123160790068,4.5
Codington,11.359613578524641,3.2
Beadle,10.612626474839482,4.5
McCook,9.832251283102023,4.4
Sully,9.811072365960019,7.7
Marshall,9.712542759121265,4.8
Yankton,9.650092588209864,4.4
Minnehaha,9.166291194242547,1.7999999999999998
Union,9.123435677914488,3
Lincoln,9.101430050858545,2.7
Kingsbury,9.100499057669847,4.1000000000000005
McPherson,8.914812836220122,4.1000000000000005
Aurora,8.567832533227353,3.8
Meade,8.236583113448662,3.4999999999999996
Brookings,8.231200600375026,3.9
Sanborn,7.938775987451513,4.2
Clark,7.623295829744688,4
Deuel,6.982745862691399,2.7999999999999994
Hand,6.905910221610877,4.300000000000001
Butte,6.832827090277735,3.0999999999999996
Campbell,6.396505480305439,3.7000000000000006
Stanley,6.157763420513344,4.5
Harding,5.160908288997784,1.9
