county,pov,moe
Hancock,27.44655963791146,11.3
Pickett,26.082437832377348,19.3
Bledsoe,25.491177446823748,11.1
Sequatchie,22.924581267773792,9.5
Lake,21.361424374577354,10.6
Johnson,21.26677528911835,10.5
DeKalb,20.631813194702488,9.700000000000001
Haywood,19.872462009508947,8.3
Cocke,19.722325102819998,8
Morgan,19.436980745133887,7.6
Perry,18.875904938953425,12.3
Scott,18.798749370103014,6.4
Lewis,18.69737301047527,11.600000000000001
Unicoi,18.694965074427948,10
Fentress,18.588391629820077,8.9
Henry,18.540530584181685,6.199999999999999
Decatur,18.037418489883922,9.3
Jackson,17.77422641096154,8.600000000000001
Crockett,17.492565882603618,6.800000000000001
Madison,17.42508625127078,4.2
Carter,17.3381125486072,5.699999999999999
Union,17.08749682238071,8.5
Weakley,17.006754778947585,6
Hardin,16.983192443786656,6.7
Hardeman,16.822955448171168,7.3
Warren,16.688157741119632,5.699999999999999
Wayne,16.61088376971918,6.5
Lauderdale,16.582656702865556,6.7
Grainger,16.536138176760026,5.699999999999999
Chester,16.00721644267743,6.999999999999999
Hawkins,15.995805445602922,4.300000000000001
Carroll,15.958002876800084,6.4
Marshall,15.861854239703794,6.599999999999999
Loudon,15.796838476020673,6.999999999999999
Trousdale,15.561082894712655,11.5
Macon,15.539163265463607,7.500000000000001
Benton,15.524525888513008,6.9
White,15.506862594528922,6.599999999999999
Rhea,15.497540441984391,6.199999999999999
Greene,15.4684282208705,5.2
Hamblen,15.452274596618384,4.6
Hickman,15.432490159189177,7.6
Coffee,15.293721137759736,4.7
Sullivan,15.22725174674692,3.8
Campbell,15.170483419798897,5.3
Grundy,15.111007602406467,6.3
Cannon,15.025010048038528,7.8
Franklin,14.806376017634099,5.2
Marion,14.747014668903482,6.5
Monroe,14.57346277171302,5.2
Clay,14.5492312147313,8
Henderson,14.4886457998708,6.5
Bedford,14.319260064410406,5.3
Claiborne,14.288710187939207,5.500000000000001
Shelby,14.17883114916634,1.3
Overton,14.094095478341853,6.3
Smith,13.744476367212133,5.9
Van Buren,13.576375714246398,9.4
Fayette,13.444213880536488,5.599999999999999
Putnam,13.207871573347099,3.8
Obion,13.163355927203618,4.7
Lawrence,12.846203078032284,4.1000000000000005
McMinn,12.828992831647643,4.9
Humphreys,12.808637433740563,5.599999999999999
Sevier,12.479144286165253,3.5999999999999996
Anderson,12.150232156281643,4.2
Stewart,12.064806676192674,7.3
Davidson,12.010109284614986,1.7000000000000002
Roane,11.996136320348247,5.3
McNairy,11.944598056407862,4.9
Meigs,11.779409924732542,7.1
Giles,11.614076712011999,4.2
Polk,11.389130577093946,5.2
Jefferson,11.367683629180382,4.8
Washington,11.230099799682163,3.4999999999999996
Dyer,11.013813707312533,5.3
Gibson,10.871672880960851,4
Bradley,10.544425339677419,3.2999999999999994
Tipton,10.306790350387637,4.1000000000000005
Hamilton,10.16234545348405,2
Houston,10.080801291493069,6.800000000000001
Lincoln,9.70940142010755,4.6
Montgomery,9.457370082108554,2.3
Cumberland,8.964395487603644,3.0999999999999996
Dickson,8.84404441260767,4.1000000000000005
Robertson,8.616090603435662,3
Knox,8.372186198752924,1.5
Sumner,8.152394878293524,2.3
Maury,7.687591585095643,2.4
Rutherford,7.259573817164014,1.6
Blount,7.153009763418898,2
Cheatham,7.015167246123413,3.4999999999999996
Moore,6.946692093278971,4.8
Wilson,6.9082589261247325,2
Williamson,5.495136407962693,0.8
