county,pov,moe
Piute,26.247671407249236,13.8
Garfield,23.13836708591039,10.4
Grand,20.150491103443468,7.400000000000001
Carbon,19.63263706544252,6.599999999999999
Sanpete,19.24730416116855,6
San Juan,18.92907548779593,4.6
Millard,18.800646261522086,5.599999999999999
Emery,18.764201484997283,5.500000000000001
Duchesne,18.243821615198545,4.7
Kane,17.504166157242558,7.500000000000001
Cache,16.41336872267335,2.1
Sevier,16.233105017910653,4.2
Uintah,14.978417965230156,3.7000000000000006
Iron,14.739870586139192,3.9
Juab,14.523450318020492,4.1000000000000005
Rich,14.342214396187769,7.199999999999999
Wayne,13.959930525715155,7.3
Washington,12.066331226483177,2
Weber,11.309392482732662,1.5
Box Elder,11.13984398928127,2.1
Salt Lake,10.626555348069505,0.8
Beaver,10.541663708166288,4.5
Davis,10.411353926698911,1.5
Wasatch,9.579872123320637,2.4
Utah,9.175375308252843,0.658
Tooele,8.36426583361754,1.6
Summit,7.9644298958821915,1.9
Morgan,7.195048395980843,1.3999999999999997
Daggett,6.277128399666807,1.7000000000000002
